_package_filename,evidence_id,source_id,evidence_type,country_or_region,setting_or_context,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_missed_or_identified,pain_point_or_failure_mode,research_topic,person_or_group_involved,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E001,S005,workflow_obstacle,United States,VA primary care,lab interpretation / imaging interpretation / follow-up,alert fatigue,abnormal laboratory or imaging results,High EHR alert load was linked with clinicians reporting missed abnormal results.,"PCPs received many alerts and reported overload, poor usability, and handoff problems.",,,Research D — clinician-side pain points in identifying health issues early,primary care practitioners,Need for action on abnormal results was identified as a safety-critical workflow.,Abnormal results could be missed or delayed.,information overload; EHR usability; electronic handoffs,delayed care reported by some clinicians,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,"Risk-ranked result inbox with owner, severity, patient-notified status, and escalation.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E002,S006,workflow_obstacle,United States,primary care,first assessment / history / exam / tests / referral,diagnostic process breakdown,common missed diagnoses,"Reviewed diagnostic-error cases showed breakdowns across history, exam, testing, referral, and tracking.",190 diagnostic-error cases were reviewed using EHR-based triggers.,,,Research D — clinician-side pain points in identifying health issues early,PCPs,Multiple process breakdown points were identified.,"Common diseases could be missed, including pneumonia, heart failure, renal failure, cancer, UTI/pyelonephritis.",data gathering and synthesis failures,moderate to severe harm potential in many cases,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,"Return-visit flags, diagnostic checklist, and tracking for common high-harm misses.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E003,S007,workflow_obstacle,United States,primary care,medical history / first assessment / follow-up,time pressure,complex patients and limited English proficiency,Clinicians often needed more time than allotted.,Time pressure was especially high with complex psychosocial needs and limited English proficiency.,,,Research D — clinician-side pain points in identifying health issues early,physicians and advanced practice clinicians,Time mismatch was identified.,Subtle red flags or context could be missed.,short visits; complexity; language barriers,incomplete history and less thorough synthesis risk,high,https://link.springer.com/article/10.1007/s11606-019-05343-6,Previsit narrative capture and interpreter/social-complexity preparation.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E004,S008,workflow_obstacle,United Kingdom,general practice,diagnosis discussion / safety-netting / follow-up,diagnostic uncertainty,new or persistent undiagnosed symptoms,Safety-netting plans varied in specificity and responsibility.,"GPs used monitoring, treatment, and administrative risk strategies.",,,Research D — clinician-side pain points in identifying health issues early,GPs and patients,Uncertainty-management strategies were identified.,Worsening symptoms may not be acted on without a clear plan.,variable safety-net specificity; responsibility transfer,delayed re-presentation or missed escalation risk,medium-high,https://link.springer.com/article/10.1186/s12875-024-02526-x,"Safety-net plan with red flags, timescale, responsible clinician, and follow-up trigger.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E005,S009,case_example,England,general practice / ED / oncology,repeat visit / referral / emergency escalation,continuity failure,severe back pain after prior breast cancer,Multiple contacts over eight months preceded diagnosis of spinal metastatic cancer.,Back pain was treated and later investigated after spinal lump was found.,,,Research D — clinician-side pain points in identifying health issues early,"patient, ED, GP, physiotherapist, nurse, out-of-hours GPs",Spinal metastatic cancer was ultimately identified.,Repeat unresolving symptom and prior cancer history were not connected early.,fragmented care; repeated visits; poor continuity,eight-month diagnostic delay,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,Unresolved-symptom timeline and prior cancer/history surfacing.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E006,S010,case_example,England,general practice / online consultation,before visit / online intake / triage,digital intake risk,worsening skin lesion with prior skin cancer,A second online request lacked prior cancer history and was triaged as routine.,Later GP review generated an urgent referral.,,,Research D — clinician-side pain points in identifying health issues early,"patient, admin staff, GP, dermatology",Worsening skin symptoms and prior cancer were ultimately considered.,Prior cancer history and deterioration were not joined in the online triage step.,context loss in online forms; admin triage,delayed urgent suspicion after second request,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,Online intake should auto-surface major history and related recent contacts.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E007,S010,workflow_obstacle,England,general practice / telehealth,intake form / triage,digital intake design,complex or multi-symptom requests,Online forms can lose nuance when they force single-symptom routes or depend on free text.,HSSIB described risks in both structured and free-text intake.,,,Research D — clinician-side pain points in identifying health issues early,"patients, admin staff, GPs, software developers",Need for safer intake design was identified.,Complexity and patient meaning may be missed.,intake design; algorithmic routing,routine triage despite hidden risk,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,"Hybrid intake: narrative, adaptive red flags, prior-history auto-pull, complexity escape hatch.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E008,S012,systematic_review_finding,Mostly United States,emergency department,triage / assessment / testing / discharge,ED diagnostic error,"stroke, MI, aortic dissection, spinal cord compression, VTE, meningitis, sepsis, etc.",Serious ED diagnostic harms concentrated in a set of high-risk conditions.,A systematic review identified high-risk conditions and presentation patterns.,,,Research D — clinician-side pain points in identifying health issues early,ED physicians and triage teams,Atypical/subtle presentation problem was identified.,High-risk disease behind common symptoms can be missed.,atypical presentation; ED pace,"serious harm, death, or permanent disability risk",high,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,"High-risk diagnosis overlays by symptom, repeat visit, vitals, and risk factors.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E009,S013,commentary,United States,emergency department,ED-wide workflow,system overload,crowding and throughput pressure,Commentary argued ED misdiagnosis should be understood in the broader system of crowding and safety risk.,AHRQ ED diagnostic-error framing was critiqued.,,,Research D — clinician-side pain points in identifying health issues early,emergency physicians and ED leaders,Crowding/systemic risk was identified.,Diagnostic attention and follow-up may degrade under crowding.,crowding; throughput pressure,system-level patient safety risk,medium,https://psnet.ahrq.gov/issue/ahrq-report-diagnostic-errors-emergency-department-wrong-answer-wrong-question,Crowding-aware diagnostic review triggers and workload dashboards.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E010,S015,workflow_obstacle,United Kingdom,ED triage,arrival / nurse triage / acuity assignment,triage overload,urgency assessment,"Triage nurses reported pressure, cognitive strain, and emotional strain during acuity decisions.","Interviews identified training, experience, culture, and strain as decision factors.",,,Research D — clinician-side pain points in identifying health issues early,registered triage nurses,Need for training/support was identified.,High-risk patients may be under-triaged.,overcrowding; staffing pressure; cognitive load,triage misclassification risk,medium,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,"Triage co-pilot with red flags, reassessment timers, and escalation support.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
