package_key,package_filename,package_topic,table_type,internal_id,source_id,source_title,source_url_or_identifier,country_or_region,setting_or_context,patient_stage_or_process_step,condition_or_issue,topic_category_or_theme,finding_or_quote_or_case,what_happened,what_was_missed_or_identified,delay_or_timeline,product_or_system_implication,evidence_quality,source_file_path,evidence_ref
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q001,S002,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,United States,all settings,diagnostic process,,diagnostic process,Diagnosis is a collaborative effort.,"Supports tools that connect clinicians, patients, labs, radiology, and follow-up owners.",,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q001
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q002,S002,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,United States,EHR-mediated care,health IT,,health IT,Health information technology…is often a barrier.,Supports designing tools that reduce cognitive load rather than add new screens.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q002
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q003,S005,Information Overload and Missed Test Results in Electronic Health Record-Based Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,United States,VA primary care,alert fatigue,,alert fatigue,More alerts than they could effectively manage.,Shows that alert streams can become a diagnostic black zone.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q003
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q004,S008,Diagnostic uncertainty in real-world primary care consultations,https://link.springer.com/article/10.1186/s12875-024-02526-x,United States,primary care,time pressure,,time pressure,Good care is slow enough to be able to pay attention.,Highlights conflict between speed and careful diagnosis.,,,,medium-high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q004
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q005,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,online GP intake,digital intake,,digital intake,Algorithms that go down single symptom routes miss the complexity of general practice and mean the dots can’t be joined up.,Shows danger of over-structured digital triage for complex stories.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q005
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q006,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,online GP consultation,triage safety,,triage safety,Err on the side of caution.,Shows safety may depend on clinician caution instead of tool design.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q006
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q007,S014,It is the patient that suffers from poor communication: communication barriers during nurse handovers in Ghanaian hospitals,https://www.sciencedirect.com/science/article/pii/S266732152400091X,Ghana,hospital handover,handoff,,handoff,It’s the patient that suffers from poor communication.,Connects staff communication barriers to patient harm.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q007
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q008,S011,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,England,acute hospitals,fatigue,,fatigue,"We are not only risking patient safety, but staff retention…",Links fatigue to both safety and workforce sustainability.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q008
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q009,S011,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,England,acute hospitals,fatigue,,fatigue,I can’t remember how I got home.,Shows severity of fatigue beyond abstract workload metrics.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q009
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q010,S015,Assessments Under Pressure: Interviews With Triage Nurses in Emergency Care,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,United Kingdom,ED triage,triage overload,,triage overload,substantial cognitive and emotional strain.,Shows triage is cognitively and emotionally demanding.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q010
