case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
C001,Real health-system patient flows for identifying health issues,S01,"Emergency Severity Index (ESI): A Triage Tool for Emergency Department Care, Version 4",US / internationally used,emergency department,red flag missed; normal-test trap; incomplete history,undifferentiated acute illness/injury,"chief complaint, appearance, high-risk state, pain/distress, predicted resources, vital signs","Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",Identified: patients needing immediate lifesaving intervention and high-risk care; risk: triage depends on nurse pattern recognition and local resource assumptions.,none,unknown,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.",Separate emergency risk score from diagnostic uncertainty; capture clinician concern and prior visits even when ESI level is lower.,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,high,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30
C002,Real health-system patient flows for identifying health issues,S02,Diagnostic Errors in the Emergency Department: A Systematic Review,US-focused evidence,emergency department,red flag missed; repeated visits ignored; no follow-up ownership,"stroke, MI, aortic dissection, VTE, meningitis/encephalitis, sepsis, spinal cord injury/compression, lung cancer","neurologic symptoms, chest/back pain, infection signs, thromboembolic symptoms, imaging/lab findings",Systematic review estimated diagnostic error harms and common high-harm conditions.,"Missed/delayed: serious ED diagnoses, especially vascular, neurologic, infection and cancer presentations.",varies,unknown,High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Flag high-harm conditions linked to symptom clusters and require explicit exclusion/safety-netting before discharge.,https://www.ncbi.nlm.nih.gov/books/NBK588197/,high,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30
C003,Real health-system patient flows for identifying health issues,S03,Guidance for emergency departments: initial assessment,England,emergency department,poor handoff; red flag missed; no follow-up ownership,undifferentiated emergency/urgent presentations,"reason for attendance, acuity, suitability for ED vs other services","Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",Identified: sickest patients and appropriate service route; risk: redirection decisions can become unsafe if not clinically governed.,front-door targets in related guidance,unknown,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Track real elapsed time from physical arrival to clinical assessment, not just time after registration.",https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,high,Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30
C004,Real health-system patient flows for identifying health issues,S04,Initial Assessment of Emergency Department Patients,UK,emergency department,arrival; registration; red flag missed; poor handoff,undifferentiated ED attendance,"chief complaint, acuity, disposition, early warning score/vitals","Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",Identified: front-door risk; missed risk if queues are unmanaged before registration/assessment.,within minutes in standard,unknown,Operational queues can hide clinical risk before the patient is visible to the triage system.,Use queue surveillance and arrival-time capture; include deterioration prompts before formal triage is complete.,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,high,Supports the black-zone concept of pre-triage waits.,2026-05-30
C005,Real health-system patient flows for identifying health issues,S05,Emergency Department Workflow Diagrams,US,emergency department,documentation error; no one connected the dots; normal-test trap,suspected community-acquired pneumonia,"age, RR, BP, confusion, BUN, chest X-ray, CURB-65 factors",Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,Identified: pneumonia severity and disposition; risk: pneumonia mimic or alternative diagnosis may be missed if CDS anchors on CAP.,none,unknown,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,"Expose missing CURB-65 elements and create 'pursue other diagnoses' tracking, not just CAP disposition.",https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,medium,Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30
C006,Real health-system patient flows for identifying health issues,S06,Urgent care self-service,England,urgent care / ED front door,digital access gap; incomplete history; red flag missed,urgent non-life-threatening presentations,"demographics/NHS number, symptom answers, guided triage outcome, referral route","Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.","Identified: rapid symptom-led prioritisation and redirection; risk: digital access, literacy and symptom-description gaps.",none,unknown,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Add accessibility fallback, clinician override, real-time deterioration alerts and visibility of prior visits.",https://digital.nhs.uk/services/urgent-care-self-service-product,medium,A current example of digital triage embedded in urgent/emergency care.,2026-05-30
C007,Real health-system patient flows for identifying health issues,S07,Urgent treatment centres: principles and standards,England,urgent care,wrong specialty; poor handoff; no follow-up ownership,minor injuries/ailments and urgent non-life-threatening problems,"presenting problem, observations, ECG/blood tests/X-ray where available, referral need",UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,Identified: conditions manageable outside ED; risk: lack of diagnostic capability or wrong redirection.,none,unknown,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.","Show available diagnostics, escalation criteria and post-visit ownership in the same workflow.",https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,high,UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30
C008,Real health-system patient flows for identifying health issues,S08,When to visit an urgent treatment centre,England,urgent care,red flag missed; patient self-advocacy required,urgent non-life-threatening illness/injury,"pulse, blood pressure, symptoms, changes while waiting","On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",Identified: worsening symptoms during wait if patient tells staff; risk: passive reliance on patient to report deterioration.,none,unknown,The workflow depends on patients knowing when and how to report deterioration while waiting.,Provide waiting-room check-ins and explicit 'tell us now if...' symptom prompts in multiple languages.,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,medium,Patient-facing description of the real UTC arrival process.,2026-05-30
C009,Real health-system patient flows for identifying health issues,S09,Vital Signs in the Urgent Care Center,US,urgent care,normal-test trap; lab trend missed; documentation error,urgent illness/injury,"temperature, HR, RR, BP, SpO2, weight, pain score; orthostatics if indicated","Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",Identified: physiologic instability; missed: serious disease with normal or incomplete vitals.,ideally within 15 minutes of arrival,unknown,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Require abnormal-vital acknowledgment, repeat-vital timers and trend comparison across visits.",https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,medium,"Practical urgent-care policy source, not a population study.",2026-05-30
C010,Real health-system patient flows for identifying health issues,S10,Red Flags Identification and Intervention Policy for Urgent Care Centers,US,urgent care,red flag missed; incomplete history; poor handoff,emergency red-flag presentations presenting to urgent care,"distress, chest pain, shortness of breath, major trauma, bleeding, altered mental status, neurologic signs, anaphylaxis",Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,Identified: conditions too high-risk for routine urgent care; missed: red flags hidden by vague complaint or poor intake phrasing.,immediate,unknown,Non-clinical intake staff may be the first safety barrier.,Use plain-language red-flag checklist and escalation button at registration.,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,medium,Shows how triage starts before formal clinician assessment.,2026-05-30
C011,Real health-system patient flows for identifying health issues,S11,NHS 111 online,England,telehealth,incomplete history; wrong specialty; no one connected the dots,urgent symptoms not immediately life-threatening,"age, sex, postcode, main symptom, algorithmic question responses","Patient completes one symptom pathway; service gives advice such as self-care, pharmacist, GP, UTC, ED or callback.",Identified: service disposition; missed: multi-symptom or known-condition context if algorithm is used one symptom at a time.,none,unknown,Digital triage may fragment complex histories into a single main symptom.,"Allow multi-symptom summaries, 'not captured' text, prior-risk integration and easy escalation to human review.",https://111.nhs.uk/,medium,Patient-facing NHS 111 online flow.,2026-05-30
C012,Real health-system patient flows for identifying health issues,S12,NHS 111 online staff information,England,telehealth,wrong specialty; poor handoff; fragmented care,urgent symptom triage,"NHS Pathways outcome, Directory of Services match, callback need",Uses structured triage and service directory to recommend ambulance/ED/UTC/out-of-hours GP/GP/pharmacist/self-care outcomes.,Identified: appropriate service destination; missed: directory availability or local pathway mismatches can redirect incorrectly.,none,unknown,The handoff is only as good as the service directory and referral visibility.,Audit outcome-to-arrival completion and failed referral attempts; surface no-capacity conditions.,https://digital.nhs.uk/services/nhs-111-online,medium,Staff-facing service information documents integration pieces.,2026-05-30
C013,Real health-system patient flows for identifying health issues,S13,Digital tools for online consultation in general practice,England,telehealth,digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,varied primary-care requests; hidden serious illness,"free-text online request, photos, admin/clinical reason, practice capacity",Asynchronous online consultations support clinical/admin requests but may be capped or rerouted by practices for safety.,"Missed/delayed: safety incidents when digital tools reduce access, distort history or weaken proactive/long-term care.",varies,unknown,Online access can create a digital bottleneck and reduce the chance to observe/examine patients.,"Create safe fallback channels, complexity flags, remote-to-face-to-face conversion rules and continuity prompts.",https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,high,HSSIB source includes patient and staff focus groups and practice visits.,2026-05-30
C014,Real health-system patient flows for identifying health issues,S14,Telehealth and Patient Safety,US / international,telehealth,normal-test trap; incomplete physical exam; poor follow-up ownership,acute or chronic problems assessed remotely,"history quality, patient-measured vitals, visible exam findings, records, ability to test/follow up","Telehealth can be safer when embedded in a medical home with records, tests, referrals and follow-up; risk rises when exam and communication are limited.","Missed: diagnostic cues requiring auscultation, private/inaccessible body areas, objective vitals or hands-on exam.",varies,unknown,Telehealth changes the signal set available for diagnosis.,Decision support should classify problems as telehealth-suitable vs requiring in-person exam/labs/imaging.,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,high,Useful cross-setting telehealth safety evidence.,2026-05-30
C015,Real health-system patient flows for identifying health issues,S15,Modern General Practice Model,England,primary care,incomplete history; wrong specialty; no one connected the dots,broad primary-care problems,"mode of contact, request reason, urgency, preferred/appropriate professional","Modern access model directs patients via phone/online/in-person to the right professional first time, using care navigation and demand/capacity management.",Identified: routing need; missed: clinical complexity if navigation lacks enough symptom/risk context.,none,unknown,Routing can optimize capacity but also become a diagnostic gate if symptoms are under-described.,Separate admin routing from clinical triage; capture escalation flags and repeated contacts.,https://www.england.nhs.uk/long-read/modern-general-practice-model/,high,National primary-care access policy.,2026-05-30
C016,Real health-system patient flows for identifying health issues,S16,Care navigation and triage in general practice,UK,primary care,poor handoff; symptom dismissed; red flag missed,primary-care symptoms and admin requests,"reason for contact, urgency, suitable clinician/service",Care navigation signposts to appropriate clinician or service; clinical triage by nurse/GP makes early clinical decisions.,Identified: difference between signposting and clinical triage; missed: escalation if administrative navigation substitutes for clinical judgment.,none,unknown,Ambiguity over whether a contact is administrative or clinical can lose risk signals.,Make role boundaries explicit and route uncertain cases to clinical triage.,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,medium,Professional guidance clarifies first-contact roles.,2026-05-30
C017,Real health-system patient flows for identifying health issues,S17,Suspected cancer: recognition and referral (NG12),England/Wales,primary care,normal-test trap; referral delay; rare disease delay,suspected cancer,"symptoms, signs, primary-care investigation findings, risk threshold","Guideline organizes referral/investigation actions by cancer site, symptom and findings; includes safety netting and diagnostic-process advice.",Identified: cancer suspicion thresholds; missed: patients below threshold or with nonspecific/vague symptoms unless active monitoring occurs.,varies by pathway,unknown,Threshold pathways may leave low-risk but persistent symptoms in a monitoring black zone.,"Add active-monitoring tasks and symptom persistence triggers, not only referral thresholds.",https://www.nice.org.uk/guidance/NG12/,high,A key formal workflow source for primary-care suspicion/referral.,2026-05-30
C018,Real health-system patient flows for identifying health issues,S18,Safety netting,UK,primary care,normal-test trap; no follow-up ownership; repeated visits ignored,possible cancer or other unresolved condition,"persistent symptoms, negative tests, incomplete investigations, non-attendance, repeat presentations","Safety-netting gives time-bound follow-up, documents advice, ensures tests/referrals completed and monitors persistent symptoms even after negative tests.",Identified: ongoing risk despite low-risk or negative initial results; missed: no owner for follow-up tasks.,time-bound by plan,unknown,A negative test can prematurely close a diagnostic episode.,"Build safety-net plans with due dates, owner, patient-facing instructions and re-presentation counters.",https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,medium,Clear source for the normal-test trap and repeat-presentation workflows.,2026-05-30
C019,Real health-system patient flows for identifying health issues,S19,GP mythbuster: managing test results in general practice,England,primary care,abnormal result not followed up; documentation error; no follow-up ownership,any condition with ordered tests,"test ordered, attendance, result returned/not returned, abnormal result, clinician absence, patient notification","Practice needs systems for ordering, tracking attendance, return/non-return, review, filing, patient communication and abnormal follow-up.","Missed: abnormal result not acted on, result not returned, no patient communication or clinician absence gap.",varies,unknown,Test-result management crosses many people and organisations.,"Implement closed-loop result tracking, unresolved-result inboxes and backup reviewer rules.",https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,high,Regulator source supports result-management black zones.,2026-05-30
C020,Real health-system patient flows for identifying health issues,S20,Continuity of care: delayed diagnosis in GP practices,England,primary care,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,metastatic breast cancer presenting as back pain,"severe persistent back pain, prior breast cancer history, later spinal lump/CT",Over 8 months the patient saw many clinicians; eventual GP found spinal lump and sent patient to ED where CT found metastatic cancer.,Missed/delayed: unresolved symptoms and cancer-history context were not surfaced across repeat contacts.,8 months,unknown,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,"Surface unresolved symptom threads, prior high-risk history and multiple-clinician patterns in the EHR.",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,high,Named public case from national safety investigation; includes patient voice.,2026-05-30
C021,Real health-system patient flows for identifying health issues,S21,Jess's Rule: Three strikes and we rethink,England,primary care,repeated visits ignored; no one connected the dots; bias or minimization,persistent or escalating unexplained symptoms; cancer in origin story,"third presentation with same symptoms/concerns, remote-only prior contacts, red flags","After three presentations, GP teams are prompted to reflect, review and rethink, consider face-to-face exam, second opinion, tests or referral.",Identified: repeat presentation as a diagnostic signal; missed: if repeat visits are not counted across clinicians/channels.,origin story involved 5 months/20 consultations,unknown,Repeat visits are often visible only as isolated encounters.,Create automatic repeat-presentation counters across phone/online/in-person and linked symptoms.,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,medium,Current NHS initiative; useful product pattern for persistent symptoms.,2026-05-30
C022,Real health-system patient flows for identifying health issues,S22,"Years of being dismissed, ignored and belittled: Endometriosis UK diagnosis report",UK,primary care,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,endometriosis,"period pain, pelvic pain, heavy bleeding and related symptoms",Survey documented repeated GP visits and A&E attendance before diagnosis; respondents reported dismissal/minimisation.,Missed/delayed: endometriosis diagnosis; patients often required repeated self-advocacy.,average 8 years 10 months,unknown,Chronic pain and women's health symptoms can be minimized despite repeated presentations.,"Track symptom duration/severity, repeated visits and invalidating language; prompt specialist referral criteria review.",https://www.endometriosis-uk.org/diagnosis-report,medium,Advocacy survey gives patient voice and quantitative delay data.,2026-05-30
C023,Real health-system patient flows for identifying health issues,S23,The impact of waiting for care,England,primary care / specialist referral,referral delay; no follow-up ownership; patient self-advocacy required,varied unresolved conditions while waiting,"blood tests, scan/test waits, pain, lack of appointment/result clarity","Healthwatch gathered patient reports of waiting after GP referral, confusion over results and pressure to chase.","Missed/delayed: follow-up appointments, specialist action, scans/tests; GP sometimes unable to accelerate despite abnormal tests.",varies,unknown,"Referral is not a completed action unless the patient is seen, tests are done and results acted on.","Track referral state, wait risk, abnormal-test escalation and patient-visible next step.",https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care,medium,Patient voice source on referral/follow-up gaps.,2026-05-30
C024,Real health-system patient flows for identifying health issues,S24,Patients being harmed due to repeated mistakes in reading scans,England,hospital outpatient / imaging / ED,abnormal result not followed up; red flag missed; repeated visits ignored,cancer and other scan-detectable conditions,"scan ordered, scan read, lesion/abnormality, result communication","Ombudsman reported repeated failures in scan reading, carrying out scans and follow-up; a cancer case was only identified at a fifth A&E visit after lesion not reported.",Missed/delayed: abnormal scan findings and cancer diagnosis.,example six-week delay; other cases vary,unknown,"Imaging workflows fail at multiple points: ordering, performance, interpretation, communication, follow-up.","Closed-loop imaging: critical finding acknowledgment, patient notification and escalation if no action documented.",https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,high,Patient-complaint/ombudsman evidence with public family quote.,2026-05-30
C025,Real health-system patient flows for identifying health issues,S25,Failures in communication or follow-up of unexpected significant radiological findings,England,radiology / ED / primary care,poor handoff; abnormal result not followed up; no follow-up ownership,lung cancer / unexpected significant radiology finding,"chest X-ray significant finding, alert/read receipt, acknowledgment, follow-up action",Investigation traced multistep communication of unexpected significant findings and weak assurance that action occurred.,Missed/delayed: significant finding not received or acted on; read receipts not enough.,varies,unknown,"Responsibility can diffuse between radiology, ED, GP and patient.","Require an accountable result owner, escalation timer and auditable action completion, not just report delivery.",https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/,high,Important source for test-result black zones beyond labs.,2026-05-30
C026,Real health-system patient flows for identifying health issues,S26,Core Elements of Hospital Diagnostic Excellence,US,inpatient ward / hospital outpatient,poor handoff; no follow-up ownership; abnormal result not followed up,missed diagnoses after discharge; lung malignancy suspicion; pending tests,"tests pending at discharge, suspicious chest imaging, lab/radiology results",Hospital diagnostic excellence framework encourages targeting pending tests and suspicious imaging follow-up.,Identified: high-risk diagnostic follow-up areas; missed: patients leaving hospital before test closure.,varies,unknown,Discharge can sever ownership of pending results.,Create discharge-pending-test registry and patient/clinician notification loops.,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,high,Current CDC framework for hospital diagnostic excellence.,2026-05-30
C027,Real health-system patient flows for identifying health issues,S27,Referral Assessment Services - NHS e-Referral Service,England,specialist clinic,wrong specialty; referral delay; poor handoff,conditions needing specialist opinion or diagnostic pathway,"referral letter/info, triage comments, service selection, more information request","Referral Assessment Services allow provider review before booking; outcomes include booking, redirecting, requesting more info, or returning advice.",Identified: suitable pathway before appointment; missed: wrong worklist/status or insufficient referral information delays care.,varies,unknown,Referral triage creates a new work queue where responsibility can be unclear to patient and referrer.,Make referral state and owner visible to referrer and patient; alert when more information is requested or referral returned.,https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services,high,Digital pathway details from NHS e-RS documentation.,2026-05-30
C028,Real health-system patient flows for identifying health issues,S28,Diagnostic services - NHS e-Referral Service,England,hospital outpatient / diagnostic services,incomplete history; wrong specialty; documentation error,conditions suitable for direct-to-test or clinical assessment,"referral template data, diagnostic request, test appropriateness, radiology/IRMER responsibility","Diagnostic e-RS models include direct-to-test, clinical assessment then test, and one-stop consultant-led models.",Identified: bypassing first outpatient appointment for needed tests; missed: poor referral templates can omit critical context.,varies,unknown,Straight-to-test pathways are efficient only when referral information is complete.,Embed mandatory clinical context fields and feedback loops for rejected/inappropriate tests.,https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services,medium,Operational source on outpatient diagnostics.,2026-05-30
C029,Real health-system patient flows for identifying health issues,S29,Outpatient recovery and transformation improvement guide,England,hospital outpatient / specialist clinic,referral delay; no follow-up ownership; normal-test trap,gastrointestinal and other specialty referrals,"referral criteria, thresholds, advice request, diagnostic tests such as endoscopy","Improvement guide promotes advice/guidance, straight-to-test, pre-appointment hubs; one GI case cut waits through advice and e-RS.",Identified: faster specialist input; missed: advice-only management without clear follow-up if symptoms persist.,case example: new patients 2-4 weeks vs 12-14 weeks before,unknown,Advice can reduce unnecessary appointments but must not become a soft rejection of unresolved symptoms.,Record advice decisions with safety-net tasks and escalation criteria.,https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,medium,Includes clinician voice and pathway redesign example.,2026-05-30
C030,Real health-system patient flows for identifying health issues,S30,Health Center Program Compliance Manual: Continuity of Care and Hospital Admitting,US,community health center,poor handoff; fragmented care; no follow-up ownership,post-ED/hospital follow-up and ongoing primary-care needs,"hospital/ED discharge info, labs/radiology, instructions, follow-up actions",Health centers must have referral/hospital arrangements and processes to receive/record ED or hospital visit information and follow-up actions.,Identified: need for continuity; missed: discharge info not received or tracked.,varies,unknown,Safety-net clinics may be responsible for follow-up despite care occurring elsewhere.,Ingest outside discharge/test data and assign follow-up ownership automatically.,https://bphc.hrsa.gov/compliance/compliance-manual/chapter7,high,Federal compliance source for FQHC workflow expectations.,2026-05-30
C031,Real health-system patient flows for identifying health issues,S31,Health Center Program: Patient-Centered Medical Home,US,community health center,fragmented care; no follow-up ownership,chronic disease and preventive care,"care gaps, referrals, quality metrics, patient-centered care plan",PCMH recognition emphasizes care coordination and continuous quality improvement in health centers.,Identified: coordination model; missed: PCMH standards may not guarantee specific diagnostic follow-up closure without local systems.,none,unknown,"Coordination is a model, not a closed-loop diagnostic guarantee.","Translate PCMH concepts into concrete diagnostic queues, unresolved-symptom lists and abnormal-result registries.",https://bphc.hrsa.gov/technical-assistance/clinical-quality-improvement/patient-centered-medical-home,medium,Useful institutional context for community health centers.,2026-05-30
