evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E-001,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,primary care; specialist clinic; hospital inpatient,Primary care physician; gastroenterologist,medical history; labs ordered; lab interpretation; referral; repeat visit,unknown,Colon cancer after iron-deficiency anemia,unknown,unknown,unknown,unknown,Prior normal test created false reassurance while anemia persisted.,unknown,high,https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosis,Build longitudinal anemia trend + prior-normal-test guardrail that asks: does this old test still explain today's signal?,Diagnostic vs screening colonoscopy distinction matters in symptomatic elderly patients.,2026-05-30
E-002,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,primary care; specialist clinic; hospital outpatient,Primary care physician; gastroenterologist; gynecologist; surgeon,medical history; first clinician assessment; referral; specialist review,unknown,Endometriosis,unknown,unknown,unknown,unknown,Severe cyclic pain normalized and split between GI and gynecology.,unknown,high,https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosis,"Create menstrual + GI timeline capture, severity thresholds, and cross-specialty prompts for persistent dysmenorrhea.",Case shows patient and mother advocacy as a diagnostic driver.,2026-05-30
E-003,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department; primary care; specialist clinic,ED clinicians; primary care physician; psychiatrist; cardiologist,first clinician assessment; labs/imaging interpretation; referral; repeat visit,unknown,Paroxysmal supraventricular tachycardia (PSVT),unknown,unknown,unknown,unknown,Intermittent conditions can disappear during testing and become labeled psychiatric.,unknown,high,https://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attacks,Offer event-triggered monitoring workflows and a 'normal when asymptomatic' warning for episodic cardiopulmonary complaints.,"Source notes PSVT symptoms are often attributed to panic/anxiety, especially in women.",2026-05-30
E-004,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department; specialist clinic; hospital inpatient,ED physician; orthopedic surgeon; neurosurgeon,first clinician assessment; imaging ordered; imaging interpretation; repeat visit; emergency escalation,unknown,Spinal epidural abscess,unknown,unknown,unknown,unknown,Imaging a local region created false closure while symptoms progressed.,unknown,high,https://psnet.ahrq.gov/web-mm/spinal-epidural-abscess,Add imaging-scope alerts: negative limited MRI should not close diagnosis when pain/red flags are anatomically discordant.,Classic SEA triad is often absent early; severe/progressive symptoms matter.,2026-05-30
E-005,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,primary care; specialist clinic; emergency department,Primary care physician; urology physician assistant; ED clinicians,medical history; specialist review; labs ordered; follow-up; emergency escalation,unknown,Obstructive uropathy / renal failure from BPH,unknown,unknown,unknown,unknown,A high-risk measurement lacked immediate safety action and patient education.,unknown,high,https://psnet.ahrq.gov/web-mm/renal-failure-due-benign-prostatic-hyperplasia,"Create hard-stop follow-up for extreme post-void residual: creatinine, catheter plan, teach-back, and owner assignment.",Case shows relational rupture causing loss to follow-up.,2026-05-30
E-006,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department,ED clinicians; EMS,nurse triage; vitals; first clinician assessment; labs/imaging ordered; discharge; repeat visit,unknown,Pediatric sepsis / bacterial pneumonia / empyema,unknown,unknown,unknown,unknown,"Sepsis signal was fragmented across vitals, symptoms, labs, and repeat visits.",unknown,high,https://psnet.ahrq.gov/web-mm/do-not-miss-sepsis-needles-viral-haystacks,"Implement pediatric repeat-visit sepsis detector combining vitals, respiratory symptoms, labs, and recent discharge history.",A positive strep test may become an anchoring point rather than a complete explanation.,2026-05-30
E-007,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department; inpatient ward,EMS; ED clinicians; inpatient clinicians; cardiology,arrival; nurse triage; imaging/lab ordered; handoff; follow-up,unknown,ST-elevation myocardial infarction (STEMI),unknown,unknown,unknown,unknown,A critical prehospital data point failed to enter the ED decision stream.,unknown,high,https://psnet.ahrq.gov/web-mm/missing-ecg-and-missed-diagnosis-lead-dangerous-delay,Require EMS ECG ingestion/acknowledgment and serial chest-pain testing checklist when initial high-risk data exists.,Shows how a single missing artifact can reset risk assessment.,2026-05-30
E-008,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department; inpatient ward; intensive care,ED physician; hospitalist; radiologist; rapid response team; ICU,first clinician assessment; imaging interpretation; handoff; emergency escalation,unknown,Pulmonary embolism,unknown,unknown,unknown,unknown,Radiology-text severity and phone handoff did not align with treatment urgency.,unknown,high,https://psnet.ahrq.gov/web-mm/delay-appropriate-diagnosis-and-treatment-leading-death-pulmonary-embolism,Add critical-result semantics: report should classify right-heart strain as escalation-required and track acknowledgment/action.,A partial critical-result phone call can be more dangerous than no call if it downgrades urgency.,2026-05-30
E-009,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,primary care; emergency department; specialist clinic; inpatient ward,Primary care clinician; gastroenterologist; covering GI physician; ED surgeon,medical history; labs/imaging ordered; referral; follow-up; repeat visit; specialist review,unknown,Chronic mesenteric ischemia,unknown,unknown,unknown,unknown,Red-flag weight loss and repeated visits were treated as separate episodes.,unknown,high,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-mesenteric-ischemia,Build a longitudinal weight-loss + abdominal pain pattern recognizer and surface colleague concern as a tracked diagnostic signal.,Case highlights clinician-to-clinician comments as signals that need ownership.,2026-05-30
E-010,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,case/example,United States,emergency department; primary care; inpatient ward,ED clinician; primary care physician; surgeon,first clinician assessment; physical exam; imaging ordered; discharge; repeat visit,unknown,Appendicitis with perforation/abscess,unknown,unknown,unknown,unknown,Early appendicitis may look benign; delays increase perforation risk.,unknown,high,https://psnet.ahrq.gov/web-mm/missed-appendicitis,Use abdominal-pain discharge callbacks and return-triggered escalation for persistent or migrating pain.,Atypical or early appendicitis is a classic diagnostic-error pattern.,2026-05-30
