evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E001,Research D — clinician-side pain points in identifying health issues early,S005,workflow_obstacle,United States,VA primary care,primary care practitioners,lab interpretation / imaging interpretation / follow-up,alert fatigue,abnormal laboratory or imaging results,High EHR alert load was linked with clinicians reporting missed abnormal results.,"PCPs received many alerts and reported overload, poor usability, and handoff problems.",Need for action on abnormal results was identified as a safety-critical workflow.,Abnormal results could be missed or delayed.,information overload; EHR usability; electronic handoffs,delayed care reported by some clinicians,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,"Risk-ranked result inbox with owner, severity, patient-notified status, and escalation.",unknown,2026-05-30
E002,Research D — clinician-side pain points in identifying health issues early,S006,workflow_obstacle,United States,primary care,PCPs,first assessment / history / exam / tests / referral,diagnostic process breakdown,common missed diagnoses,"Reviewed diagnostic-error cases showed breakdowns across history, exam, testing, referral, and tracking.",190 diagnostic-error cases were reviewed using EHR-based triggers.,Multiple process breakdown points were identified.,"Common diseases could be missed, including pneumonia, heart failure, renal failure, cancer, UTI/pyelonephritis.",data gathering and synthesis failures,moderate to severe harm potential in many cases,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,"Return-visit flags, diagnostic checklist, and tracking for common high-harm misses.",unknown,2026-05-30
E003,Research D — clinician-side pain points in identifying health issues early,S007,workflow_obstacle,United States,primary care,physicians and advanced practice clinicians,medical history / first assessment / follow-up,time pressure,complex patients and limited English proficiency,Clinicians often needed more time than allotted.,Time pressure was especially high with complex psychosocial needs and limited English proficiency.,Time mismatch was identified.,Subtle red flags or context could be missed.,short visits; complexity; language barriers,incomplete history and less thorough synthesis risk,high,https://link.springer.com/article/10.1007/s11606-019-05343-6,Previsit narrative capture and interpreter/social-complexity preparation.,unknown,2026-05-30
E004,Research D — clinician-side pain points in identifying health issues early,S008,workflow_obstacle,United Kingdom,general practice,GPs and patients,diagnosis discussion / safety-netting / follow-up,diagnostic uncertainty,new or persistent undiagnosed symptoms,Safety-netting plans varied in specificity and responsibility.,"GPs used monitoring, treatment, and administrative risk strategies.",Uncertainty-management strategies were identified.,Worsening symptoms may not be acted on without a clear plan.,variable safety-net specificity; responsibility transfer,delayed re-presentation or missed escalation risk,medium-high,https://link.springer.com/article/10.1186/s12875-024-02526-x,"Safety-net plan with red flags, timescale, responsible clinician, and follow-up trigger.",unknown,2026-05-30
E005,Research D — clinician-side pain points in identifying health issues early,S009,case_example,England,general practice / ED / oncology,"patient, ED, GP, physiotherapist, nurse, out-of-hours GPs",repeat visit / referral / emergency escalation,continuity failure,severe back pain after prior breast cancer,Multiple contacts over eight months preceded diagnosis of spinal metastatic cancer.,Back pain was treated and later investigated after spinal lump was found.,Spinal metastatic cancer was ultimately identified.,Repeat unresolving symptom and prior cancer history were not connected early.,fragmented care; repeated visits; poor continuity,eight-month diagnostic delay,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,Unresolved-symptom timeline and prior cancer/history surfacing.,unknown,2026-05-30
E006,Research D — clinician-side pain points in identifying health issues early,S010,case_example,England,general practice / online consultation,"patient, admin staff, GP, dermatology",before visit / online intake / triage,digital intake risk,worsening skin lesion with prior skin cancer,A second online request lacked prior cancer history and was triaged as routine.,Later GP review generated an urgent referral.,Worsening skin symptoms and prior cancer were ultimately considered.,Prior cancer history and deterioration were not joined in the online triage step.,context loss in online forms; admin triage,delayed urgent suspicion after second request,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,Online intake should auto-surface major history and related recent contacts.,unknown,2026-05-30
E007,Research D — clinician-side pain points in identifying health issues early,S010,workflow_obstacle,England,general practice / telehealth,"patients, admin staff, GPs, software developers",intake form / triage,digital intake design,complex or multi-symptom requests,Online forms can lose nuance when they force single-symptom routes or depend on free text.,HSSIB described risks in both structured and free-text intake.,Need for safer intake design was identified.,Complexity and patient meaning may be missed.,intake design; algorithmic routing,routine triage despite hidden risk,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,"Hybrid intake: narrative, adaptive red flags, prior-history auto-pull, complexity escape hatch.",unknown,2026-05-30
E008,Research D — clinician-side pain points in identifying health issues early,S012,systematic_review_finding,Mostly United States,emergency department,ED physicians and triage teams,triage / assessment / testing / discharge,ED diagnostic error,"stroke, MI, aortic dissection, spinal cord compression, VTE, meningitis, sepsis, etc.",Serious ED diagnostic harms concentrated in a set of high-risk conditions.,A systematic review identified high-risk conditions and presentation patterns.,Atypical/subtle presentation problem was identified.,High-risk disease behind common symptoms can be missed.,atypical presentation; ED pace,"serious harm, death, or permanent disability risk",high,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,"High-risk diagnosis overlays by symptom, repeat visit, vitals, and risk factors.",unknown,2026-05-30
E009,Research D — clinician-side pain points in identifying health issues early,S013,commentary,United States,emergency department,emergency physicians and ED leaders,ED-wide workflow,system overload,crowding and throughput pressure,Commentary argued ED misdiagnosis should be understood in the broader system of crowding and safety risk.,AHRQ ED diagnostic-error framing was critiqued.,Crowding/systemic risk was identified.,Diagnostic attention and follow-up may degrade under crowding.,crowding; throughput pressure,system-level patient safety risk,medium,https://psnet.ahrq.gov/issue/ahrq-report-diagnostic-errors-emergency-department-wrong-answer-wrong-question,Crowding-aware diagnostic review triggers and workload dashboards.,unknown,2026-05-30
E010,Research D — clinician-side pain points in identifying health issues early,S015,workflow_obstacle,United Kingdom,ED triage,registered triage nurses,arrival / nurse triage / acuity assignment,triage overload,urgency assessment,"Triage nurses reported pressure, cognitive strain, and emotional strain during acuity decisions.","Interviews identified training, experience, culture, and strain as decision factors.",Need for training/support was identified.,High-risk patients may be under-triaged.,overcrowding; staffing pressure; cognitive load,triage misclassification risk,medium,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,"Triage co-pilot with red flags, reassessment timers, and escalation support.",unknown,2026-05-30
