Patient stage tag,Data collected,Roles handling data,Tools/forms/scores used,Examples / source URLs,Common weak points / black zones,Product-design implication
before visit,"symptoms, reason for contact, main concern, eligibility, prior visits, remote photos/vitals","patient, caregiver, online triage, care navigator, CHW","NHS 111, online consultation forms, screening invitations, HWC empanelment","https://111.nhs.uk/
https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/",digital exclusion; one-symptom framing; patient may not know red flags,"Support free-text + structured symptom capture, accessibility, prior-visit import and escalation."
arrival,"physical arrival time, mode of arrival, obvious distress, reason for visit","front desk, registration, streaming staff","ED/UTC registration, self-service kiosk","https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/
https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf
https://digital.nhs.uk/services/urgent-care-self-service-product
https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf",occult waits; distress visible before registration not captured,Record true arrival and pre-registration risk observations.
registration,"demographics, ID/NHS number/insurance, contact info, reason for visit","registration staff, digital kiosk","urgent care self-service, hospital registration","https://digital.nhs.uk/services/urgent-care-self-service-product
https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf",administrative bottleneck before clinical review,Add red-flag prompt and escalation path at registration.
intake form,"structured symptom answers, duration, severity, location, photos, patient concerns","patient, admin, care navigator","NHS 111, GP online consultation, UTC digital triage","https://111.nhs.uk/
https://digital.nhs.uk/services/nhs-111-online
https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/",form cannot capture nuance; capped requests; language/literacy gaps,"Allow 'not captured' signals, translator support and clinician escalation."
nurse triage,"chief complaint, acuity, red flags, pain/distress, prior risk, resource prediction","triage RN, OPD nurse","ESI, IITT, streaming/triage","https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf
https://link.springer.com/article/10.1186/s12245-025-01005-z
https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/","triage is risk sorting, not diagnosis; training variability",Keep diagnostic uncertainty and repeated-visit flags separate from acuity.
vitals,"BP, HR, RR, temperature, SpO2, weight, pain, mental status, early warning score",nurse/rooming staff/CHW/clinician,"urgent-care vital signs policy, early warning scores, HEARTS BP protocols","https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf
https://www.paho.org/en/hearts-americas/hypertension-clinical-pathways
https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf",vitals delayed/incomplete; no trend comparison,Require repeat abnormal vitals and trend across encounters.
first clinician assessment,"history, physical exam, differential, red flags, patient agenda","GP, ED clinician, UTC clinician, telehealth clinician","clinical assessment templates, NICE NG12","https://www.nice.org.uk/guidance/NG12/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety",history/exam shortcuts; telehealth exam limits; symptoms dismissed,"Prompt history completeness, exam-needed flags and patient concern acknowledgement."
medical history,"past diagnoses, meds, allergies, family history, prior cancer/rare disease, prior tests","clinician, patient, EHR/HIE","EHR/HIE, intake history forms","https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/",history exists but not surfaced; family history missing,Longitudinal risk summary and high-risk history banners.
physical exam,"focused exam findings, mental status, pain site, visible signs, neurologic deficits",clinician,"exam template, remote visual exam if telehealth","https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/",remote exams omit auscultation/private areas; repeated remote visits,Remote-to-in-person conversion for unresolved or exam-dependent problems.
