evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S001,case_or_example,UK,hospital / acute assessment,patient/family/clinical service,doctor did not listen,doctor did not listen,unresolved symptoms,Dismissal can occur before diagnostic reasoning is complete.,Doctor reportedly restricted history to yes/no answers.,Patient narrative and context not captured.,Patient narrative and context not captured.,Dismissal can occur before diagnostic reasoning is complete.,Emotional harm; clinical outcome unknown.,medium,https://www.careopinion.org.uk/1429947,Capture patient concern verbatim and flag interrupted histories.,Derived from cases_or_examples.csv.,2026-05-30
E002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S002,case_or_example,UK,primary care,patient/family/clinical service,one-symptom focus,one-symptom focus,"chronic pain, asthma symptoms, reflux",Visit closure can leave unresolved active concerns.,Only reflux was addressed according to patient.,Pain medication and asthma concerns not addressed.,Pain medication and asthma concerns not addressed.,Visit closure can leave unresolved active concerns.,Patient felt unheard.,medium,https://www.careopinion.org.uk/1258944,Require disposition for each patient-listed issue.,Derived from cases_or_examples.csv.,2026-05-30
E003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S003,case_or_example,"Scotland, UK",emergency department,patient/family/clinical service,normal-test trap,normal-test trap,severe pain and breathlessness,Normal tests do not equal diagnosis.,Bloods/chest X-ray considered reassuring; discharged.,Cause of severe symptoms not identified/explained.,Cause of severe symptoms not identified/explained.,Normal tests do not equal diagnosis.,Ongoing severe pain and no explanation.,medium,https://www.careopinion.org.uk/1117906,Discharge must document unresolved symptoms and return triggers.,Derived from cases_or_examples.csv.,2026-05-30
E004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S004,case_or_example,"England, UK","A&E, GP, ambulance/111",patient/family/clinical service,prior cancer history missed,prior cancer history missed,spinal cancer after bowel cancer,Prior cancer history needs active surfacing.,Multiple services reportedly dismissed pain as age-related.,Spinal cancer reportedly identified late.,Spinal cancer reportedly identified late.,Prior cancer history needs active surfacing.,Patient died.,medium,https://www.careopinion.org.uk/1349233,Prior cancer + new focal pain should trigger recurrence/metastasis consideration.,Derived from cases_or_examples.csv.,2026-05-30
E005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S005,case_or_example,"Scotland, UK",CAMHS,patient/family/clinical service,family history ignored,family history ignored,mood disorder / bipolar disorder,Family history/caregiver input can be diagnostic signal.,Initial psychiatrist reportedly dismissed family input/genetic history.,Bipolar disorder not identified until after deterioration.,Bipolar disorder not identified until after deterioration.,Family history/caregiver input can be diagnostic signal.,Inpatient admission and later treatment.,medium,https://www.careopinion.org.uk/176152,Structure family history and caregiver concern in mental-health assessments.,Derived from cases_or_examples.csv.,2026-05-30
E006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S006,case_or_example,"Scotland, UK",primary care to mental health referral,patient/family/clinical service,referral pathway failure,referral pathway failure,suspected adult ADHD,Referral rejection can be confused with diagnostic exclusion.,Psychiatry declined assessment; later no adult pathway stated.,Patient felt ADHD effectively ruled out without assessment.,Patient felt ADHD effectively ruled out without assessment.,Referral rejection can be confused with diagnostic exclusion.,Unclear pathway; patient distress.,medium,https://www.careopinion.org.uk/1167674,Make referral outcomes transparent: no pathway vs ruled out vs more info needed.,Derived from cases_or_examples.csv.,2026-05-30
E007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S008,case_or_example,"England, UK",out-of-hours GP / ambulance / ED,patient/family/clinical service,normal-test trap,normal-test trap,pulmonary embolism signs,Discordant tests should not close diagnosis.,ED diagnosed pneumonia and discharged after clear chest X-ray.,Pulmonary embolism likely missed; PE blood test not done.,Pulmonary embolism likely missed; PE blood test not done.,Discordant tests should not close diagnosis.,Patient died; PHSO found likely survival with right treatment.,high,https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,Flag pneumonia diagnosis + clear X-ray + PE signs mismatch.,Derived from cases_or_examples.csv.,2026-05-30
E008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S011,case_or_example,"England, UK","GP, out-of-hours GP, ED, oncology",patient/family/clinical service,repeat visits ignored,repeat visits ignored,metastatic male breast cancer to spine,No one connected repeated unresolved symptom pattern.,Multiple clinicians saw him over eight months.,Metastatic cancer not identified until spinal lump found.,Metastatic cancer not identified until spinal lump found.,No one connected repeated unresolved symptom pattern.,Metastatic cancer diagnosis delayed.,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,Create unresolved symptom timeline across clinicians.,Derived from cases_or_examples.csv.,2026-05-30
E009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S012,case_or_example,New Zealand,primary care,patient/family/clinical service,test not integrated,test not integrated,diabetes in child,Test completion does not ensure cognitive integration.,Urinalysis did not lead to timely diagnosis.,Diabetes not promptly identified.,Diabetes not promptly identified.,Test completion does not ensure cognitive integration.,Delayed diagnosis and risk.,high,https://www.hdc.org.nz/decisions/search-decisions/2023/20hdc02300/,Abnormal point-of-care results should interrupt clinician workflow.,Derived from cases_or_examples.csv.,2026-05-30
E010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S013,case_or_example,New Zealand,secondary public hospital / shared clinical information system,patient/family/clinical service,abnormal result not followed up,abnormal result not followed up,prostate cancer,Result ownership failure.,Staff did not understand shared clinical information system; result not actioned.,Cancer diagnosis delayed.,Cancer diagnosis delayed.,Result ownership failure.,Delayed diagnosis.,high,https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/,"Assign owner, backup, due date, patient notification.",Derived from cases_or_examples.csv.,2026-05-30
