feature_name,product_area,user,problem_statement,evidence_summary,status,patient_stage,missed_signal,why_missed,proposed_capability,data_needed,risk_level,complexity,expected_value,failure_mode,safety_guardrail,example_quote_or_case,internal_evidence_refs,source_links_count,source_links
Rich symptom timeline and patient narrative intake,Patient intake,patient; caregiver; doctor; nurse,"Short, single-symptom forms and rushed histories lose duration, severity, patient concern, prior failed visits, and functional impact before clinician review.",Patient-flow and clinician packages flag incomplete history and single-symptom routing; patient complaints show dismissal and unexplained symptoms; missed-signal cases tie patient voice/severity capture to delayed diagnosis patterns.,strongly supported,before visit; intake form; medical history; first clinician assessment,"duration, change from baseline, patient fear, functional impact, prior attempts to seek care, photos or patient-entered context",front-door workflows often sort urgency or route a single symptom rather than synthesize an episode; time pressure and digital forms compress narrative.,"Structured + free-text intake: timeline builder, “what changed from normal?”, “what worries you most?”, impact on daily life, prior visits/tests, patient theory, and optional photos/documents.","symptom onset/duration/severity, baseline comparison, patient concern, functional limits, prior visit/test references, language/accessibility needs, consent for attachments",medium,medium,high,"form burden, low-literacy exclusion, clinician note bloat, patient-entered data overinterpreted",keep narrative clearly labeled as patient-reported; summarize only clinically relevant deltas; allow clinician review/edit; support translation and accessibility,Patient complaint quote: “I felt completely dismissed and silenced.” Also clinician quote: “Algorithms that go down single symptom routes miss the complexity of general practice…”,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E015, E020, E022, C020, C022, Q002 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-020, B-022, B-023, Q-001, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: E001, C001, C003, Q001, Q003 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E011, Q005, Q004",9,"https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.endometriosis-uk.org/diagnosis-report
https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears
https://www.careopinion.org.uk/1429947
https://www.careopinion.org.uk/1117906
https://link.springer.com/article/10.1186/s12875-024-02526-x"
What-changed-from-normal and daily-function capture,Patient intake,patient; doctor; nurse,"Hidden, chronic, fluctuating, and rare conditions may look non-urgent at a single visit unless the system captures deterioration from the patient’s personal baseline.","Cases around endometriosis, POTS/dysautonomia, ME/CFS functional decline, CKD stories, rare disease delays, and clinician time-pressure sources point to baseline change and function as diagnostic signals.",supported by some evidence,before visit; intake form; follow-up; long-term monitoring,"functional decline, baseline change, fluctuating patterns, recurring impairment",single-encounter vitals/labs can look normal; patient function is often not structured or trended.,"Baseline-change module with patient-selected anchors: work/school/activity, sleep, eating/drinking, mobility, self-care, and symptom-free baseline.","patient baseline, current function score, trend over time, free-text examples, caregiver corroboration when appropriate",medium,medium,medium-high,turns subjective experience into crude scores; misses cultural/language nuance; over-alerts common fatigue/pain,"show trend and examples rather than algorithmic diagnosis; calibrate alerts to persistence, deterioration, and red flags",ME/CFS case quote: “get enough food to live”; Endometriosis reports include long symptom-tracking burden.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022, C052, E052 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-021, B-022, B-023, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C012, C013, Q009, Q010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004",8,"https://www.endometriosis-uk.org/diagnosis-report
https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://www.endometriosis-uk.org/tayas-story
https://www.endometriosis-uk.org/orlas-story
https://link.springer.com/article/10.1186/s12875-024-02526-x"
High-risk history and family-history cards,Patient intake; Doctor-facing summary,doctor; nurse; patient; caregiver,"Prior cancer, family history, previous diagnoses, and caregiver observations can exist in records or family reports but fail to influence the current diagnostic frame.",The Brian continuity-of-care case centered on prior cancer plus repeated back pain not being connected; patient-complaint cases include prior cancer and family-history signals ignored.,strongly supported,medical history; first clinician assessment; repeat visit; specialist review,"prior cancer/high-risk history, family history, caregiver concern, prior diagnosis context",record exists but is not surfaced at the point of triage/assessment; patient/caregiver history is treated as context rather than a diagnostic signal.,Persistent high-risk history card that attaches to symptom categories and repeat visits; caregiver/family-history prompt when relevant.,"prior diagnoses, surgeries, cancer history, family history, genetics/rare disease history, caregiver concern, relation and consent",medium,medium,high,irrelevant old history clutters clinician view; family report may be inaccurate or sensitive,rank by current symptom relevance and recency; keep provenance; allow clinician suppression with reason,Brian: severe back pain after prior breast cancer was not connected across multiple contacts; patient/family quote: “No one listened to us.”,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, E020 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C004, C005, Q004, Q005 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: C001, E005 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E021",5,"https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.careopinion.org.uk/1349233
https://www.careopinion.org.uk/176152
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/"
"Medication, access, and affordability as diagnostic clues",Patient intake; Global adaptation,patient; doctor; nurse; CHW; social worker,"Medication interruption, inability to pay, lack of transport, or supply/device problems may cause deterioration or block diagnostic completion but are often hidden in clinical notes.","Missed-signal product opportunities include medication/access as a clue; global and low-resource evidence shows cost, transport, and diagnostic access shape whether conditions are identified.",region-specific / needs caution,before visit; medical history; follow-up; referral,"stopped medicines, missed tests because of cost/transport, device/supply gaps, affordability barriers",patients may feel stigma; EHR fields emphasize prescriptions rather than real access; clinicians may not have time or resources to ask.,"Sensitive access-risk field with options for cost, transport, stockout, insurance, medicine interruption, device shortage, and preferred support referral.","medication list, last taken, reason stopped, affordability/transport constraints, local assistance options, consent",high,medium,medium,privacy breach or patient blame; clinicians receive problems they cannot solve; biased assumptions based on poverty or location,ask neutrally; separate from adherence judgment; route aggregate stockout/access data to system managers; show support options,Missed-signal case library includes medication/access-as-diagnostic-clue; global package warns not to blame patients when cost/transport/system delay blocks follow-up.,"research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-013 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, S020, 05_implications/product_or_system_implications.md | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017",7,"https://psnet.ahrq.gov/web-mm
https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/
https://link.springer.com/article/10.1186/s12913-021-07438-5
https://psnet.ahrq.gov/issue/diagnostic-excellence-us-rural-healthcare-call-action
https://www.gao.gov/products/gao-23-106651
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
Longitudinal unresolved-problem tracker / diagnostic episode layer,Longitudinal tracking; Doctor-facing summary,doctor; nurse; specialist; patient,"Multiple visits, labs, referrals, messages, and symptoms are treated as separate transactions, so no one sees the unresolved problem as one diagnostic episode.","All five packages repeatedly identify repeat visits, no follow-up ownership, and no-one-connected-the-dots as black zones; clinician and global packages explicitly recommend a longitudinal unresolved-problem tracker or diagnostic episode layer.",strongly supported,follow-up; repeat visit; specialist review; long-term monitoring,"same/worsening symptom over time, repeated presentations, related labs/referrals/messages, persistent symptoms after normal tests","records are encounter-centered; ownership changes across GP, ED, out-of-hours, specialist, and admin queues.","Diagnostic episode object that clusters unresolved symptoms, visits, tests, referrals, patient check-ins, and open questions until a clinician closes or reframes it.","encounter IDs, symptom tags, dates, related tests/referrals, open/closed status, owner, patient-reported persistence, clinician uncertainty notes",high,high,very high,"false clustering, alert fatigue, medico-legal anxiety, privacy across organizations",make clusters explainable; allow clinician merge/split/close with rationale; prioritize persistence + deterioration + red flags over volume alone,Brian case: eight-month delay after repeated contacts; missed-signal product opportunity: auto-cluster symptoms/labs/visits/referrals into unresolved diagnostic threads.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E020, E021, E051, C020, C051 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-001, B-009, B-014, B-020, B-021, M-005, M-006 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E005, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021, 05_implications/product_or_system_implications.md",9,"https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://psnet.ahrq.gov/web-mm
https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/"
Repeat-visit diagnostic reset,Black-zone prevention; Clinician workflow support,doctor; nurse; triage clinician,Return visits are often handled as new isolated encounters instead of an escalation signal requiring diagnostic reconsideration.,"Jess’s Rule, Brian continuity case, ED/primary-care cases, and Research B tag counts show repeated visits ignored across settings.",strongly supported,arrival; nurse triage; first clinician assessment; repeat visit; emergency escalation,"return within days/weeks/months for same or worsening complaint, repeated GP/ED/out-of-hours contacts",encounter view hides count and trajectory; different clinicians do not see the full sequence.,"Automatic repeat-presentation banner with prior diagnosis, unresolved symptom, what changed, dangerous alternatives, and required safety-net plan.","visit dates, reason codes/free text, symptom match, discharge diagnosis, current severity, prior tests and unresolved items",medium-high,medium-high,high,punishes appropriate returns; creates reflexive over-testing; false matches for unrelated problems,frame as “diagnostic reset” not error accusation; permit clinician override; require meaningful similarity/worsening criteria,Jess’s Rule: “three strikes and we rethink”; Brian had repeated contacts before metastatic cancer diagnosis.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E021, C021, C020 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-005, B-006, B-010, B-028, B-030 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021",6,"https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://wwwnc.cdc.gov/eid/article/30/1/23-0924_article
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/"
Normal-test safety net and test-scope explainer,Longitudinal tracking; Patient voice protection,doctor; patient; nurse,A normal or incomplete test can be mistaken for diagnostic closure even when symptoms persist or the test does not rule out the feared condition.,"Normal-test trap appears across ED, screening, primary care, chronic disease, and missed-signal case libraries; patient complaints include severe pain after normal bloods/X-ray and PE after clear CXR.",strongly supported,lab interpretation; imaging interpretation; diagnosis discussion; discharge; follow-up,"persistent/worsening symptoms despite normal result, test age, test limitations, body-region mismatch",result becomes closure; patients are told “normal” without a contingency plan.,"For selected tests, show date/scope/limitations, symptom status after result, “what this does not rule out,” and safety-net check-in date.","test result, indication, date, symptom status, red flags, follow-up plan, patient notification and understanding",high,medium-high,high,creates panic or overtesting; too much generic caveat text; unclear clinical responsibility,"clinician-reviewed language; targeted to persistent/red-flag symptoms; patient-facing text uses calm uncertainty, not diagnosis claims",Patient quote after ED discharge: “Still in severe pain and still have no idea.” Research B normal-test trap count: 7 case-library rows.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E018, C034, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-003, B-001, B-003, B-004, B-016 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C003, C007, Q003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md",7,"https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.ncbi.nlm.nih.gov/books/NBK588197/
https://psnet.ahrq.gov/web-mm
https://www.careopinion.org.uk/1117906
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings
https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html"
Closed-loop abnormal result ownership ledger,Black-zone prevention; Clinician workflow support,doctor; nurse; admin; patient; specialist,"Abnormal labs, imaging, pathology, microbiology, and screening results can be available or filed but not acted on, communicated, or followed to closure.","Clinician package reports alert overload and missed abnormal results; patient safety and complaint cases document missed histology, Bence Jones protein, radiology findings, and critical echo follow-up; Research B counts 9 abnormal-result-not-followed-up cases.",strongly supported,lab interpretation; imaging interpretation; discharge; follow-up; specialist review,"abnormal result, unexpected significant finding, positive screen, critical finding, patient notification status","inbox overload, unclear owner, handoff after discharge/referral, read receipt mistaken for clinical action.","Ownership ledger: result severity, named owner, due date, acknowledgement, action plan, patient notified, escalation path, closure reason.","result metadata, criticality, ordering clinician, responsible team, encounter context, patient contact, next action, closure audit trail",high,high,very high,more alerts worsen overload; ambiguous responsibility between ordering and receiving teams; false closure,risk-rank by clinical urgency; separate acknowledgement from action; escalation only when owner/deadline/action missing,NZ positive prostate cancer histology not actioned for about six months; D package metric: 29.8% reported personally missed abnormal lab/imaging results delaying care.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C024, C025, C032, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-004, B-011, B-012, B-017, B-018 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, C011, M001 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, M002, M003, M004, E015 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E006, E022",11,"https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/
https://www.sciencedirect.com/science/article/pii/S221133552300102X
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/investigation-report/
https://psnet.ahrq.gov/web-mm
https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/
https://www.hdc.org.nz/decisions/search-decisions/2012/10hdc01419/
https://www.hdc.org.nz/news-resources/search-resources/articles/follow-up-of-test-results/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753
https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/"
Pending-test discharge contract,Black-zone prevention; Patient-facing workflow,patient; doctor; nurse; admin,"Patients may leave ED/inpatient/urgent care before all results return, with no clear owner, timing expectation, or patient-facing plan.",Research B proposes a pending-test discharge contract; hospital diagnostic excellence and patient complaint cases show discharge and follow-up ownership risks.,supported by some evidence,discharge; lab interpretation; imaging interpretation; follow-up,"test ordered but not resulted, pending culture/pathology/imaging addendum, who will call patient, what symptoms should trigger return",discharge ends the visible encounter while diagnostic work remains open.,"Discharge checklist listing pending tests, expected result window, owner, patient contact plan, red flags, and escalation instructions.","pending tests, expected dates, owner/team, patient contact method, safety-net red flags, acknowledgement, follow-up appointment/task",high,medium,high,alarms patient without interpretation; owner leaves service; result returns after handoff,use calm language and explicit contact routes; integrate with ownership ledger; escalation if owner unavailable,Research B cites delayed positive blood culture and critical echo lost to follow-up cases for pending-test discharge contracts.,"research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-012, B-017, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C026, E026 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S010, C007",4,"https://psnet.ahrq.gov/web-mm
https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html
https://www.ombudsman.org.uk/publications/spotlight-sepsis-your-stories-your-rights/sepsis-caused-poor-discharge-and-lack-follow
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings"
Referral completion and wrong-specialty tracker,Black-zone prevention; Clinician workflow support,admin; doctor; specialist; patient; caregiver,"A referral being placed is often mistaken for the problem being handled, while real-world referrals can be rejected, delayed, sent to the wrong specialty, missing information, unaffordable, or never attended.","Referral-loop failure is a high-confidence theme across clinician, patient-flow, global, and complaint packages; patient stories include rejected ADHD referral and wrong-specialty rectal cancer loop.",strongly supported,referral; specialist review; follow-up; repeat visit,"referral state after placement, acceptance/rejection, missing info, booking, attendance, result returned, patient confusion","systems track “referral sent” but not completion; responsibility shifts between referrer, specialist, admin, and patient.","Referral state machine: drafted, sent, received, triaged, more-info-needed, rejected, booked, attended, report returned, next-step closed; patient-visible explanation.","referral request, service, reason, triage status, booking date, patient barriers, report, owner, escalation thresholds",medium-high,high,very high,local referral statuses differ; patient blamed for nonattendance; specialists overwhelmed by escalations,distinguish system delay/cost/transport from patient choice; local-configurable statuses; escalation by risk and elapsed time,Clinician metric cites referral-loop failure-rate range of 65–73%; patient case: adult ADHD referral rejected without meeting patient; young rectal cancer patient routed through wrong specialty loop.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C027, C028, C029, C023 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-009, B-024, B-029, B-032 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C006, C015, S016 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M008, E013, E014 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md",11,"https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services
https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/
https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/
https://www.careopinion.org.uk/1167674
https://www.hdc.org.nz/decisions/search-decisions/2025/21hdc01378/
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://bmjopenquality.bmj.com/content/10/4/e001603
https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/"
