fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F001,Research D — clinician-side pain points in identifying health issues early,S001,"AHRQ estimates 795,000 Americans die or are permanently disabled each year from disease misdiagnoses.",Burden estimate used as background anchor for diagnostic-safety importance.,United States,all settings,diagnostic burden,high,https://www.ahrq.gov/diagnostic-safety/index.html,unknown,2026-05-30
F002,Research D — clinician-side pain points in identifying health issues early,S002,"Diagnosis is framed as a collaborative, patient-centered process rather than a single physician act.",National Academies framing for team-based diagnostic work.,United States,all settings,diagnostic process,high,https://www.nationalacademies.org/read/21794/chapter/1,unknown,2026-05-30
F003,Research D — clinician-side pain points in identifying health issues early,S003,"CDC diagnostic-excellence framework includes ordering, interpreting, communicating, and acting on diagnostic tests.",Hospital diagnostic-excellence program design.,United States,hospital / acute care,diagnostic excellence,high,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,unknown,2026-05-30
F004,Research D — clinician-side pain points in identifying health issues early,S005,VA primary care practitioners in the survey reported a median of 63 EHR alerts per day.,Metric reported in completed research as an alert-load anchor.,United States,VA primary care,alert fatigue,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,unknown,2026-05-30
F005,Research D — clinician-side pain points in identifying health issues early,S005,55.6% of VA PCPs in the survey said the EHR notification system made it possible to miss test results.,Metric reported in completed research as a clinician-perceived safety risk.,United States,VA primary care,alert fatigue,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,unknown,2026-05-30
F006,Research D — clinician-side pain points in identifying health issues early,S005,29.8% of surveyed VA PCPs reported personally missing abnormal lab/imaging results that delayed care.,Metric reported in completed research.,United States,VA primary care,missed abnormal results,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,unknown,2026-05-30
F007,Research D — clinician-side pain points in identifying health issues early,S007,67% of clinicians in the time-pressure study needed more time for new patients and 53% for follow-ups.,Metric reported in completed research.,United States,primary care,time pressure,high,https://link.springer.com/article/10.1007/s11606-019-05343-6,unknown,2026-05-30
F008,Research D — clinician-side pain points in identifying health issues early,S009,The HSSIB Brian case involved an eight-month delay before diagnosis of spinal metastatic cancer.,Case timeline from official safety investigation.,England,general practice / ED / oncology,continuity failure,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,unknown,2026-05-30
F009,Research D — clinician-side pain points in identifying health issues early,S012,The AHRQ ED review found the top 15 conditions accounted for 68% of serious misdiagnosis-related harms.,Metric reported in completed research.,Mostly United States,emergency department,ED diagnostic error,high,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,unknown,2026-05-30
F010,Research D — clinician-side pain points in identifying health issues early,S016,Closed-loop referral literature cited 65%–73% failure rates for diagnostic referrals.,Metric reported in completed research.,United States,primary-specialty referrals,referral loop failure,medium-high,https://bmjopenquality.bmj.com/content/10/4/e001603,unknown,2026-05-30
F011,Research D — clinician-side pain points in identifying health issues early,S023,The Lancet diagnostics source reported that 47% of the world has little or no access to diagnostics.,Global diagnostic access gap.,Global / LMIC,low-resource care,diagnostic access,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,unknown,2026-05-30
F012,Research D — clinician-side pain points in identifying health issues early,S023,Only about 19% of low/lower-middle income populations have access to the most basic diagnostics at primary-care level.,Global diagnostic access gap.,Global / LMIC,primary care,diagnostic access,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,unknown,2026-05-30
