case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
C001,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S005,Delayed metastatic cancer diagnosis after repeated back-pain presentations,England,GP / ED / out-of-hours / physiotherapy,continuity failure,metastatic cancer / severe back pain,Patient with prior breast cancer history developed severe back pain.,"Multiple contacts occurred across ED, GP, nurse, physiotherapy and out-of-hours care; diagnosis came after repeated presentations.",Red flags and repeated symptom pattern were not connected early enough.,about 8 months,metastatic cancer identified,Continuity and IT systems must surface repeated unresolved symptoms and cancer history.,"Same-symptom clustering, unresolved-problem tracking, named follow-up owner",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,high,unknown,2026-05-30
C002,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S006,Missed bowel lesion on scan with delayed diagnosis,UK,imaging / hospital,abnormal result missed,cancer / scan abnormality,Patient had imaging that contained an abnormality.,Abnormality was not identified and later follow-up was delayed.,Scan finding missed and result follow-up failed.,six-week delay in example described,harm from delayed cancer identification,Imaging workflows need closed-loop review and patient-visible status.,Closed-loop scan tracker with escalation for unreviewed abnormal results,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,high,unknown,2026-05-30
C003,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S007,Sepsis recognition failures repeated across NHS complaints,UK,hospital / ED / inpatient,red flag missed,sepsis,Patients presented with signs that should have triggered sepsis recognition/escalation.,Delayed diagnosis/treatment and communication/follow-up failures recurred across cases.,Sepsis red flags and family concerns were not acted on quickly enough.,hours to fatal deterioration in some examples,death or severe harm in complaint examples,Emergency escalation must include family concern and deterioration tracking.,Family concern escalation field and sepsis reassessment prompts,https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade,high,unknown,2026-05-30
C004,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S010,Bedouin community access and continuity barriers,Israel / Negev Bedouin,community / primary care,underserved access,general health needs,Communities in recognized and unrecognized villages seek care through formal and sometimes out-of-system routes.,"Physical access, health-literacy barriers, and out-of-system care complicate care continuity.",Signals can be missed when care occurs outside the formal Israeli record system.,unknown,continuity risk and delayed access,Integrated records alone are insufficient for marginalized periphery communities.,Capture out-of-system visits and language/cultural access needs,https://link.springer.com/article/10.1186/s12939-025-02398-2,medium,unknown,2026-05-30
C005,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S012,Non-allopathic provider TB referral intervention,India,community / informal / TB pathway,successful community linkage,TB-like symptoms,People with TB symptoms often first consult traditional healers or AYUSH/non-allopathic providers.,Intervention linked these providers to referral and free chest x-ray.,TB identification improved; diagnostic delay reduced.,8.6-day reduction,reduced diagnostic delay,Informal providers can be part of safer identification if connected to formal diagnostics.,Referral tools and diagnostic vouchers for informal/community providers,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,high,unknown,2026-05-30
C006,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S020,Tanzania cancer diagnostic journey,Tanzania,low-resource cancer pathway,low-resource diagnostic delay,cancer symptoms,Patients developed symptoms and moved through multiple facilities as symptoms worsened.,Diagnostic capacity such as imaging/pathology was concentrated in higher-level centers and patients often self-referred.,Cancer confirmation was delayed.,median 358 days,delayed cancer diagnosis,"Referral completion, funds, transport, and diagnostic capacity determine identification.",Referral completion and diagnostic-capacity map,https://link.springer.com/article/10.1186/s12913-021-07438-5,high,unknown,2026-05-30
C007,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S021,WHO RAcE/iCCM CHW childhood illness workflow,"DRC, Malawi, Mozambique, Niger, Nigeria",community health / CHW,community-health-worker system,"malaria, pneumonia, diarrhea in children under 5",Children with acute illness were assessed near home by trained CHWs.,"CHWs diagnosed, treated, and referred according to iCCM protocols.",Danger signs and treatable childhood illnesses identified closer to community.,2013-2017 programme period,nearly 1.5 million children diagnosed/treated,"CHWs can be first-assessment nodes but require protocols, supplies, and referral loops.","Offline CHW protocols, stock status, and referral confirmation",https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,high,unknown,2026-05-30
C008,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S026,Brian Sinclair emergency department waiting-room death,Canada,emergency department,Indigenous-specific racism / triage failure,treatable medical need / referral note,Indigenous patient arrived with a referral note.,He waited 34 hours in the ED; staff reportedly assumed intoxication.,Clinical need and referral note were not acted on.,34 hours,death,Racism and social triage can block basic assessment and escalation.,"Anti-bias triage audit, Indigenous liaison escalation, did-not-wait prevention",https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,medium,unknown,2026-05-30
C009,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S028,Queensland ED cultural-safety transformation project,Australia / Queensland,emergency department,cultural safety workflow,ED presentations by Aboriginal and Torres Strait Islander patients,ED sought to improve identification and culturally safe treatment of Indigenous patients.,Project focused on culturally and clinically appropriate care and reducing did-not-wait outcomes.,Risk of leaving before diagnostic workup was targeted.,unknown,service improvement project,Cultural safety must be operationalized in triage and ED flow.,Real-time liaison routing and cultural-safety workflow,https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs,medium,unknown,2026-05-30
C010,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S025,Health Catch-UP migrant screening,UK,migrant/refugee primary care screening,migrant health screening,"hepatitis C, diabetes risk, hypercholesterolemia, immunization gaps",Migrant patients had incomplete routine screening and missing immunization records.,EHR-integrated tool prompted screening.,New conditions were identified and vaccination gaps surfaced.,unknown,12 new conditions found among 99 screened migrants,Targeted intake tools can identify hidden conditions when prior records are missing.,Migrant-specific EHR screening and vaccination reconstruction,https://link.springer.com/article/10.1186/s12916-024-03713-4,medium,unknown,2026-05-30
