package_key,package_filename,package_topic,table_type,internal_id,source_id,source_title,source_url_or_identifier,country_or_region,setting_or_context,patient_stage_or_process_step,condition_or_issue,topic_category_or_theme,finding_or_quote_or_case,what_happened,what_was_missed_or_identified,delay_or_timeline,product_or_system_implication,evidence_quality,source_file_path,evidence_ref
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E001,S005,Information Overload and Missed Test Results in Electronic Health Record-Based Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,United States,VA primary care,lab interpretation / imaging interpretation / follow-up,abnormal laboratory or imaging results,alert fatigue,High EHR alert load was linked with clinicians reporting missed abnormal results.,"PCPs received many alerts and reported overload, poor usability, and handoff problems.",Abnormal results could be missed or delayed.,,"Risk-ranked result inbox with owner, severity, patient-notified status, and escalation.",high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E001
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E002,S006,Types and Origins of Diagnostic Errors in Primary Care Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,United States,primary care,first assessment / history / exam / tests / referral,common missed diagnoses,diagnostic process breakdown,"Reviewed diagnostic-error cases showed breakdowns across history, exam, testing, referral, and tracking.",190 diagnostic-error cases were reviewed using EHR-based triggers.,"Common diseases could be missed, including pneumonia, heart failure, renal failure, cancer, UTI/pyelonephritis.",,"Return-visit flags, diagnostic checklist, and tracking for common high-harm misses.",high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E002
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E003,S007,Time Pressure During Primary Care Office Visits,https://link.springer.com/article/10.1007/s11606-019-05343-6,United States,primary care,medical history / first assessment / follow-up,complex patients and limited English proficiency,time pressure,Clinicians often needed more time than allotted.,Time pressure was especially high with complex psychosocial needs and limited English proficiency.,Subtle red flags or context could be missed.,,Previsit narrative capture and interpreter/social-complexity preparation.,high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E004,S008,Diagnostic uncertainty in real-world primary care consultations,https://link.springer.com/article/10.1186/s12875-024-02526-x,United Kingdom,general practice,diagnosis discussion / safety-netting / follow-up,new or persistent undiagnosed symptoms,diagnostic uncertainty,Safety-netting plans varied in specificity and responsibility.,"GPs used monitoring, treatment, and administrative risk strategies.",Worsening symptoms may not be acted on without a clear plan.,,"Safety-net plan with red flags, timescale, responsible clinician, and follow-up trigger.",medium-high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E004
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E005,S009,Continuity of care: delayed diagnosis in GP practices,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,England,general practice / ED / oncology,repeat visit / referral / emergency escalation,severe back pain after prior breast cancer,continuity failure,Multiple contacts over eight months preceded diagnosis of spinal metastatic cancer.,Back pain was treated and later investigated after spinal lump was found.,Repeat unresolving symptom and prior cancer history were not connected early.,,Unresolved-symptom timeline and prior cancer/history surfacing.,high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E006,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,general practice / online consultation,before visit / online intake / triage,worsening skin lesion with prior skin cancer,digital intake risk,A second online request lacked prior cancer history and was triaged as routine.,Later GP review generated an urgent referral.,Prior cancer history and deterioration were not joined in the online triage step.,,Online intake should auto-surface major history and related recent contacts.,high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E006
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E007,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,general practice / telehealth,intake form / triage,complex or multi-symptom requests,digital intake design,Online forms can lose nuance when they force single-symptom routes or depend on free text.,HSSIB described risks in both structured and free-text intake.,Complexity and patient meaning may be missed.,,"Hybrid intake: narrative, adaptive red flags, prior-history auto-pull, complexity escape hatch.",high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E007
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E008,S012,Diagnostic Errors in the Emergency Department: A Systematic Review,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,Mostly United States,emergency department,triage / assessment / testing / discharge,"stroke, MI, aortic dissection, spinal cord compression, VTE, meningitis, sepsis, etc.",ED diagnostic error,Serious ED diagnostic harms concentrated in a set of high-risk conditions.,A systematic review identified high-risk conditions and presentation patterns.,High-risk disease behind common symptoms can be missed.,,"High-risk diagnosis overlays by symptom, repeat visit, vitals, and risk factors.",high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E008
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E009,S013,AHRQ Report on Diagnostic Errors in the Emergency Department: The Wrong Answer to the Wrong Question,https://psnet.ahrq.gov/issue/ahrq-report-diagnostic-errors-emergency-department-wrong-answer-wrong-question,United States,emergency department,ED-wide workflow,crowding and throughput pressure,system overload,Commentary argued ED misdiagnosis should be understood in the broader system of crowding and safety risk.,AHRQ ED diagnostic-error framing was critiqued.,Diagnostic attention and follow-up may degrade under crowding.,,Crowding-aware diagnostic review triggers and workload dashboards.,medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E009
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E010,S015,Assessments Under Pressure: Interviews With Triage Nurses in Emergency Care,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,United Kingdom,ED triage,arrival / nurse triage / acuity assignment,urgency assessment,triage overload,"Triage nurses reported pressure, cognitive strain, and emotional strain during acuity decisions.","Interviews identified training, experience, culture, and strain as decision factors.",High-risk patients may be under-triaged.,,"Triage co-pilot with red flags, reassessment timers, and escalation support.",medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E010
