case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
C001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S001,Dismissed and silenced hospital assessment,UK,hospital / acute assessment,doctor did not listen,unresolved symptoms,Patient attended hospital after long wait and tried to describe symptoms.,Doctor reportedly restricted history to yes/no answers.,Patient narrative and context not captured.,same encounter,Emotional harm; clinical outcome unknown.,Dismissal can occur before diagnostic reasoning is complete.,Capture patient concern verbatim and flag interrupted histories.,https://www.careopinion.org.uk/1429947,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S002,Autistic patient multi-issue primary care visit,UK,primary care,one-symptom focus,"chronic pain, asthma symptoms, reflux",Patient brought advocate and prioritized list.,Only reflux was addressed according to patient.,Pain medication and asthma concerns not addressed.,chronic pain over 10 years noted,Patient felt unheard.,Visit closure can leave unresolved active concerns.,Require disposition for each patient-listed issue.,https://www.careopinion.org.uk/1258944,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S003,ED discharge after normal bloods and X-ray,"Scotland, UK",emergency department,normal-test trap,severe pain and breathlessness,Patient sent by out-of-hours GP with severe symptoms.,Bloods/chest X-ray considered reassuring; discharged.,Cause of severe symptoms not identified/explained.,same-day ED visit,Ongoing severe pain and no explanation.,Normal tests do not equal diagnosis.,Discharge must document unresolved symptoms and return triggers.,https://www.careopinion.org.uk/1117906,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S004,Back pain after bowel cancer dismissed as old age,"England, UK","A&E, GP, ambulance/111",prior cancer history missed,spinal cancer after bowel cancer,Older patient had severe back pain and recent bowel cancer history.,Multiple services reportedly dismissed pain as age-related.,Spinal cancer reportedly identified late.,diagnosed after admission; death just over two weeks later,Patient died.,Prior cancer history needs active surfacing.,Prior cancer + new focal pain should trigger recurrence/metastasis consideration.,https://www.careopinion.org.uk/1349233,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S005,CAMHS low mood vs later bipolar diagnosis,"Scotland, UK",CAMHS,family history ignored,mood disorder / bipolar disorder,Family sought specialist mental health help for daughter.,Initial psychiatrist reportedly dismissed family input/genetic history.,Bipolar disorder not identified until after deterioration.,six months before psychiatrist change,Inpatient admission and later treatment.,Family history/caregiver input can be diagnostic signal.,Structure family history and caregiver concern in mental-health assessments.,https://www.careopinion.org.uk/176152,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S006,Adult ADHD referral rejected without meeting patient,"Scotland, UK",primary care to mental health referral,referral pathway failure,suspected adult ADHD,GP sent repeated referrals with high questionnaire scores.,Psychiatry declined assessment; later no adult pathway stated.,Patient felt ADHD effectively ruled out without assessment.,eight months complaint/ombudsman pursuit noted,Unclear pathway; patient distress.,Referral rejection can be confused with diagnostic exclusion.,Make referral outcomes transparent: no pathway vs ruled out vs more info needed.,https://www.careopinion.org.uk/1167674,medium,Extracted from completed research packet; review original source before publication.,2026-05-30
C007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S008,Pulmonary embolism missed after clear chest X-ray,"England, UK",out-of-hours GP / ambulance / ED,normal-test trap,pulmonary embolism signs,"Man had breathlessness, fast heart/respiratory rate, low oxygen.",ED diagnosed pneumonia and discharged after clear chest X-ray.,Pulmonary embolism likely missed; PE blood test not done.,death next day,Patient died; PHSO found likely survival with right treatment.,Discordant tests should not close diagnosis.,Flag pneumonia diagnosis + clear X-ray + PE signs mismatch.,https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,high,Extracted from completed research packet; review original source before publication.,2026-05-30
C008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S011,Brian continuity-of-care delayed metastatic cancer diagnosis,"England, UK","GP, out-of-hours GP, ED, oncology",repeat visits ignored,metastatic male breast cancer to spine,Patient had severe back pain after previous breast cancer.,Multiple clinicians saw him over eight months.,Metastatic cancer not identified until spinal lump found.,eight months,Metastatic cancer diagnosis delayed.,No one connected repeated unresolved symptom pattern.,Create unresolved symptom timeline across clinicians.,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,high,Extracted from completed research packet; review original source before publication.,2026-05-30
C009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S012,Child diabetes delayed despite urinalysis,New Zealand,primary care,test not integrated,diabetes in child,Child had two appointments and urinalysis.,Urinalysis did not lead to timely diagnosis.,Diabetes not promptly identified.,unknown,Delayed diagnosis and risk.,Test completion does not ensure cognitive integration.,Abnormal point-of-care results should interrupt clinician workflow.,https://www.hdc.org.nz/decisions/search-decisions/2023/20hdc02300/,high,Extracted from completed research packet; review original source before publication.,2026-05-30
C010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S013,Positive prostate cancer histology not actioned,New Zealand,secondary public hospital / shared clinical information system,abnormal result not followed up,prostate cancer,Positive histology was reported.,Staff did not understand shared clinical information system; result not actioned.,Cancer diagnosis delayed.,about six months,Delayed diagnosis.,Result ownership failure.,"Assign owner, backup, due date, patient notification.",https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/,high,Extracted from completed research packet; review original source before publication.,2026-05-30
