map_id,feature_id,feature_name,evidence_ref,v1_mapping,evidence_strength,risk_level,notes,date_packaged
WB2-F001-E01,WB2-F001,Health Thread core,Research F PI001/F001,M22 Concern Tracker; M09 Graph; timeline,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F001-E02,WB2-F001,Health Thread core,SHM Health Thread,M22 Concern Tracker; M09 Graph; timeline,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F001-E03,WB2-F001,Health Thread core,KFC001,M22 Concern Tracker; M09 Graph; timeline,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F002-E01,WB2-F002,Story Memory intake,Research F PI002/PI007,symptom-logging; onboarding; M22,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F002-E02,WB2-F002,Story Memory intake,Research C key findings,symptom-logging; onboarding; M22,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F002-E03,WB2-F002,Story Memory intake,SHM M001,symptom-logging; onboarding; M22,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F003-E01,WB2-F003,Baseline change and function impact capture,Research F PI002,M10 Baseline & Anomaly; symptom-logging,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F003-E02,WB2-F003,Baseline change and function impact capture,WellBe Context Is Everything,M10 Baseline & Anomaly; symptom-logging,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F003-E03,WB2-F003,Baseline change and function impact capture,SHM Story Memory,M10 Baseline & Anomaly; symptom-logging,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F004-E01,WB2-F004,Evidence traceability layer 2.0,WellBe non-negotiable 2/3,M16 Evidence Ranking; M26 Context Integrity; smart-indexing,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F004-E02,WB2-F004,Evidence traceability layer 2.0,SHM FEAT005,M16 Evidence Ranking; M26 Context Integrity; smart-indexing,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F004-E03,WB2-F004,Evidence traceability layer 2.0,Research F safety principles,M16 Evidence Ranking; M26 Context Integrity; smart-indexing,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F005-E01,WB2-F005,Health Thread timeline and evidence graph,Research F PI001/PI009,timeline; graph-explorer; health-graph-core,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F005-E02,WB2-F005,Health Thread timeline and evidence graph,Research A patterns,timeline; graph-explorer; health-graph-core,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F005-E03,WB2-F005,Health Thread timeline and evidence graph,WellBe M09,timeline; graph-explorer; health-graph-core,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F006-E01,WB2-F006,Normal-test safety net,Research F PI006,M14 Missing Data; M16; Safety Engine,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F006-E02,WB2-F006,Normal-test safety net,Research B normal-test trap,M14 Missing Data; M16; Safety Engine,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F006-E03,WB2-F006,Normal-test safety net,Research C patterns,M14 Missing Data; M16; Safety Engine,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F006-E04,WB2-F006,Normal-test safety net,KFC003,M14 Missing Data; M16; Safety Engine,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F007-E01,WB2-F007,Personal pending result tracker,Research F PI004/PI016,M22; document-upload; medical-institution-integration,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F007-E02,WB2-F007,Personal pending result tracker,SHM F010/F011,M22; document-upload; medical-institution-integration,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F007-E03,WB2-F007,Personal pending result tracker,KFC004,M22; document-upload; medical-institution-integration,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F008-E01,WB2-F008,Referral lifecycle tracker,Research F PI005,doctor-discovery; medical-institution-integration; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F008-E02,WB2-F008,Referral lifecycle tracker,Research E high-confidence findings,doctor-discovery; medical-institution-integration; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F008-E03,WB2-F008,Referral lifecycle tracker,KFC004,doctor-discovery; medical-institution-integration; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F009-E01,WB2-F009,Post-visit plan checker,Research F PI008/PI016,investigation-triage; M22,strong/some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F009-E02,WB2-F009,Post-visit plan checker,patient-flow post-encounter black zone,investigation-triage; M22,strong/some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F009-E03,WB2-F009,Post-visit plan checker,TSX blackzone,investigation-triage; M22,strong/some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F010-E01,WB2-F010,Patient correction loop,Research F PI007,M26 Context Integrity; M22; doctor-summary,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F010-E02,WB2-F010,Patient correction loop,SHM F005,M26 Context Integrity; M22; doctor-summary,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F010-E03,WB2-F010,Patient correction loop,OpenNotes/OurDX facts in SHM,M26 Context Integrity; M22; doctor-summary,strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F011-E01,WB2-F011,User-controlled clinician visit packet,Research F PI009,doctor-summary; timeline; M16; M26,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F011-E02,WB2-F011,User-controlled clinician visit packet,Research D clinician needs,doctor-summary; timeline; M16; M26,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F011-E03,WB2-F011,User-controlled clinician visit packet,KFC005,doctor-summary; timeline; M16; M26,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
