file_path,file_type,description,row_count_if_csv,notes
00_readme/readme.md,md,Structured Shared Health Memory package file,unknown,
00_readme/scope.md,md,Structured Shared Health Memory package file,unknown,
01_source_log/source_log.csv,csv,Structured Shared Health Memory package file,21,
02_researched_facts/researched_facts.csv,csv,Structured Shared Health Memory package file,17,
02_researched_facts/researched_facts.md,md,Structured Shared Health Memory package file,unknown,
03_separated_interpretation/interpretation_notes.md,md,Structured Shared Health Memory package file,unknown,
03_separated_interpretation/interpretations.csv,csv,Structured Shared Health Memory package file,8,
04_shared_health_memory_framework/framework_components.csv,csv,Structured Shared Health Memory package file,5,
04_shared_health_memory_framework/shared_health_memory_framework.md,md,Structured Shared Health Memory package file,unknown,
04_shared_health_memory_framework/six_memories.csv,csv,Structured Shared Health Memory package file,6,
05_product_architecture/architecture.md,md,Structured Shared Health Memory package file,unknown,
05_product_architecture/user_workflows.md,md,Structured Shared Health Memory package file,unknown,
06_mvp_and_feature_backlog/feature_backlog.csv,csv,Structured Shared Health Memory package file,10,
06_mvp_and_feature_backlog/feature_backlog.md,md,Structured Shared Health Memory package file,unknown,
06_mvp_and_feature_backlog/feature_prioritization.md,md,Structured Shared Health Memory package file,unknown,
07_safety_ethics_regulatory/do_not_diagnose_rules.md,md,Structured Shared Health Memory package file,unknown,
07_safety_ethics_regulatory/risk_register.csv,csv,Structured Shared Health Memory package file,8,
07_safety_ethics_regulatory/safety_ethics_regulatory_report.md,md,Structured Shared Health Memory package file,unknown,
08_region_and_implementation_adaptations/region_adaptations.md,md,Structured Shared Health Memory package file,unknown,
09_relationship_to_research_f_package/relationship_to_research_f.md,md,Structured Shared Health Memory package file,unknown,
10_archive/manifest.md,md,Structured Shared Health Memory package file,unknown,
