traceability_id,insight_or_feature_id,insight_or_feature_name,supporting_package_filename,internal_source_ids,internal_evidence_ids,internal_quote_ids,internal_case_ids,internal_review_ids,internal_file_paths,evidence_summary,evidence_strength,notes,date_packaged,research_topic
TI001,PI001,Diagnostic episode layer / unresolved-problem tracker,unknown,unknown,B-001; B-009; B-014; B-020; B-021; C001; C008; Configure; Creates; Diagnostic; E005; EHR; Every; Repeated; S20; S21; Surfaces; Symptoms,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::04_topic_outputs/diagrams_or_flows/flow_maps.csv::FM09; S20; S21; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::04_topic_outputs/other_outputs/product_opportunities.csv::Longitudinal diagnostic signal accumulator; B-001/B-009/B-014/B-020/B-021; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C008; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI002,PI002,Rich patient intake timeline with change-from-baseline,unknown,unknown,Adaptive; B-002; B-023; C001; C002; C005; Configure; Current; E003; E006; E007; E011; EHR; Rich; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; 02_extracted_evidence/evidence_items.csv::E011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003/E006/E007; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001/C002/C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-002/B-023,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI003,PI003,Repeat-visit diagnostic reset trigger,unknown,unknown,Alert; B-006; B-010; B-028; B-030; C001; C002; C003; C009; Configure; ED; EHR; Encounter; Repeat; Return; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Repeat-visit diagnostic reset; B-006/B-010/B-028/B-030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM09; 02_extracted_evidence/cases_or_examples.csv::C002/C009; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::cases_or_examples.csv::C003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C001,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI004,PI004,Closed-loop abnormal result ownership ledger,unknown,unknown,Abnormal; B-011; B-012; B-015; B-017; B-018; C002; C010; C011; Closed; Configure; E001; E015; EHR; Risk; S013; S014; S035; S19; S24; S25; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E015; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Closed-loop abnormal result ownership; B-011/B-012/B-015/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; sources S013/S014/S035; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; sources S19/S24/S25; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C002,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI005,PI005,Referral completion and transparency tracker,unknown,unknown,B-005; B-029; B-032; C005; C006; C016; Configure; E013; E014; EHR; R007; R008; Referral; S27; S28; S29; Separate; Status; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11; sources S27/S28/S29; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C006/C016; reviews R007/R008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C005/C006; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-005/B-029/B-032,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI006,PI006,Normal-test trap explainer and persistent-symptom safety net,unknown,unknown,B-001; B-003; B-004; B-016; C003; C007; Configure; EHR; Q003; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Normal-test trap explainer; B-001/B-003/B-004/B-016; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C003/C007; quote Q003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::normal-test trap; flow FM09; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::pair normal test results with symptom status,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI007,PI007,Patient voice protection: verbatim concern + correction path,unknown,unknown,Configure; Could; EHR; Q-001; Q-004; Q-005; Q-007; Q001; Q002; Q003; Q004; Q018; Q019; Q020; Separate; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q001/Q003/Q004/Q018/Q019/Q020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::quotes.csv::Q001/Q002/Q003/Q004; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::quotes.csv::Q-001/Q-004/Q-005/Q-007; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::quotes.csv::Q001/Q004,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI008,PI008,Concern-by-concern visit closure,unknown,unknown,Adds; Allow; C002; Concern; Configure; E004; EHR; Q002; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; quote Q002; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::specific safety-netting and follow-up,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI009,PI009,Doctor-facing concise timeline and red-flag summary,unknown,unknown,Clinicians; Configure; Doctor; E015; E016; E021; EHR; Episode; Q002; Q011; Relevant; Show; Summarization; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015/E016/E021; quotes Q002/Q011; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures earlier than structured records,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI010,PI010,"Missing-data checklist for family history, medication access and prior tests",unknown,unknown,B-013; B-023; B-031; C005; Configure; E003; EHR; Risk; Sensitive; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-013/B-023/B-031; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::ask what happened before current visit,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
