Care setting,Regions/examples,Real entry points,First touch,First information collected,Vitals/tests/imaging timing,Results/referral/follow-up ownership,If symptoms continue but tests are normal,Signal-loss / black zones,Key source URLs,Evidence quality
Emergency department,US ESI; NHS England/RCEM; AHRQ ED CAP workflow,"walk-in, ambulance/EMS, NHS 111/UTC referral, urgent care escalation","registration/front desk, streaming clinician, triage RN or RAT clinician","chief complaint, appearance, acuity, high-risk state, pain/distress, prior ED/EMS info; in CAP example age/RR/BP/confusion/BUN",vitals at or after triage; ED provider orders labs/imaging; radiology/lab return into ED workflow; ESI uses danger-zone vitals after resource prediction,"ED clinician disposes: discharge, admission, specialist/SDEC, other service; results pending/discharge create ownership risk","safety-net discharge instructions, repeat ED return, GP follow-up; real failures show serious disease often found at later return",pre-triage occult waits; resource score mistaken for diagnostic confidence; high-risk mimic; pending/abnormal results after discharge,"https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf
https://www.ncbi.nlm.nih.gov/books/NBK588197/
https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/
https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf
https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf",high
Urgent care / urgent treatment centre,England UTCs and digital self-service; US urgent-care policies,"walk-in, booked appointment, NHS 111 referral, GP/ED redirection","reception/intake, digital kiosk, nurse/rooming staff, UTC clinician","reason for visit, demographics, self-triage answers, red flags; pulse/BP and other observations","US urgent care policies aim vitals early/within 15 minutes; UTCs may do ECG, blood tests and X-ray where available","onsite treatment, prescription, ED transfer, specialist/GP referral; GP update/post-event message in UTC standards","repeat urgent-care visit, GP follow-up, escalation to ED; depends on patient recognizing deterioration",non-clinical intake red-flag recognition; digital literacy/language; wrong redirection; lack of diagnostic capability,"https://digital.nhs.uk/services/urgent-care-self-service-product
https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/
https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/
https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf
https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf",medium-high
Primary care / GP / family medicine,England modern GP access/care navigation; NICE NG12; HSSIB continuity; US primary-care diagnostic error literature,"phone, online form, walk-in/reception, portal, repeat visit, hospital/ED discharge follow-up","reception/care navigator, online system, nurse/GP clinical triage","reason for contact, symptom history, duration, red flags, prior results/referrals, medication/family/history, patient concern",vitals/exam during appointment; GP orders labs/imaging or refers; results return to practice inbox and need review/action,"GP/nurse/admin team, named clinician, test-results workflow, referral pathway, safety-net plan",safety-netting with time-bound review; after 3 presentations use Jess's Rule; persistent symptoms despite negative tests need monitoring/referral,administrative routing as triage; normal-test trap; repeat visits across clinicians; EHR not surfacing unresolved symptoms; abnormal results not followed up,"https://www.england.nhs.uk/long-read/modern-general-practice-model/
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.nice.org.uk/guidance/NG12/
https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540",high
Community health center / FQHC,US HRSA health centers; FQHC FIT navigation,"scheduled/walk-in primary care, outreach, mailed FIT, hospital/ED discharge, referral from community partners","front desk, MA/nurse, clinician, care coordinator/navigator","demographics, insurance/social needs, reason for visit, vitals, preventive gaps, outside discharge data, screening results",labs/vitals in clinic; screening tests such as FIT mailed/returned; colonoscopy referral after abnormal FIT,health center must maintain referral/hospital arrangements; navigators track abnormal screening follow-up,care coordination/PCMH process; patient navigation addresses barriers and tracks completion,outside data not received; abnormal FIT not closed; GI partnership and documentation gaps; safety-net patients must chase care,"https://bphc.hrsa.gov/compliance/compliance-manual/chapter7
https://bphc.hrsa.gov/technical-assistance/clinical-quality-improvement/patient-centered-medical-home
https://www.sciencedirect.com/science/article/pii/S221133552300102X
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659
https://www.cdc.gov/cancer/php/interventions/patient-navigation.html",medium-high
Rural / low-resource clinic,Uganda rural OPD; WHO IMCI; WHO PEN,"outpatient department first contact, community referral, walk-in, child brought by caregiver","nurse/OPD triage staff, primary-care health worker, clinician","presenting complaint, danger signs, vital signs where available, history/signs/symptoms algorithm; resource/supply constraints",formal diagnostics may be limited or absent; algorithms guide management; structured triage can be paper checklist,"treat onsite, refer severe illness, counsel caregiver; referral/counter-referral often weak",return if danger signs/persistence; resource constraints may make follow-up informal,"no formal triage, stockouts, transport/referral failure, algorithm edge cases, poor documentation","https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://link.springer.com/article/10.1186/s12245-025-01005-z
https://www.who.int/initiatives/who-pen",medium-high
Telehealth / online triage,NHS 111 online; GP online consultation; AHRQ telehealth safety,"website/app/phone, online consultation form, video/phone visit, remote monitoring","patient self-entry, algorithm, admin/care navigator, remote clinician","age/sex/postcode, main symptom, structured answers/free text/photos, patient-measured vitals, prior records if available","vitals/exam limited to patient devices/visual exam; clinician may convert to in-person, labs/imaging, ED/UTC/GP/pharmacy",service disposition or callback; GP practice handles online requests; medical-home integration improves safety,convert remote to face-to-face; safety-net advice; monitor persistent symptoms and failed digital access,single-symptom algorithms; limited physical exam; digital exclusion; form caps; lost long-term/proactive care,"https://111.nhs.uk/
https://digital.nhs.uk/services/nhs-111-online
https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety",high
Specialist clinic / referral assessment,NHS e-RS Referral Assessment Services; Denmark NSSC diagnostic centres; outpatient advice/guidance,GP/referrer sends referral; advice/guidance request; direct-to-test; triage service,provider triage clinician/admin; specialist consultant; diagnostic centre,"referral letter/template, previous tests, symptoms, red flags, reason for referral, GP gut feeling in Denmark","specialist may request more info, book appointment, redirect, advise primary care, or send direct to diagnostic test",RAS/worklist owner; referrer and patient need visibility; diagnostic centre owns pathway once accepted,advice-only outcome needs explicit follow-up and re-referral criteria,wrong specialty; worklist/status errors; insufficient referral information; advice without safety net,"https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services
https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/
https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/
https://www.nature.com/articles/s41416-024-02620-y",medium-high
Hospital outpatient / diagnostic services,NHS radiology follow-up; CDC DxEx; Israel Maccabi diagnostics,referral from GP/ED/inpatient; direct-to-test; hospital follow-up; lab/imaging order,"diagnostic reception/collection site, technician, lab/radiology specialist, requesting clinician","referral/order, clinical question, samples/images, result report, critical/unexpected findings",tests performed after order; radiology/lab reports return to EHR/inbox; suspicious imaging/pending tests need closure,requesting clinician/hospital team/GP; result-owner ambiguity common across institutions,"repeat imaging/labs or specialist review; if normal but symptoms persist, safety-net owner needed",result delivered but not acted on; read receipt not monitored; patient not notified; pending discharge results,"https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/
https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html
https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/",high
Public health screening,NHS bowel/breast/cervical; CDC navigation; Japan SHC/SHG; South Korea NHIS,"invitation, mailed kit, workplace/insurer/national eligibility, outreach/navigation","programme office, lab, screening centre, navigator, insurer/authorized hospital","eligibility, questionnaire, sample/image/lab measures, attendance/non-attendance, result category, barriers",screening test first; diagnostic test after positive/abnormal; Japan collects BP/lipids/urinalysis etc.; Korea sends results and confirmation checkup,screening programme/navigator/specialist nurse; GP may receive info; diagnostic follow-up must be tracked,negative screen does not rule out symptomatic disease; repeat screening interval; primary-care presentation if symptoms,non-return/no-show; abnormal result without diagnostic completion; false reassurance; mail/result comprehension,"https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements
https://www.gov.uk/government/publications/cervical-screening-programme-pathway-requirements/cervical-screening-programme-pathway-requirements
https://www.cdc.gov/cancer/php/interventions/patient-navigation.html
https://www.shoken-kenpo.or.jp/eng/member/checkup/measure.html
https://www.nhis.or.kr/english/wbhe/policies/NationalHealthScreeningProgram.html",high
Home/community visit,Brazil FHS; India ASHA/HWC; iCCM/RAcE sub-Saharan Africa,"household visit, community outreach, CHW/caregiver contact, population empanelment","CHW/ASHA, ANM/MPW, CHO, caregiver","family registry, living conditions, symptoms, medication adherence, danger signs, screening eligibility/results",basic assessment at home; NCD/cancer screening at HWC; CHW danger-sign classification and referral,CHW relays to nurse/physician/CHO or referral facility; two-way referral/counter-referral varies,"repeat home visit, adherence support, referral chase, community registry monitoring",CHW notes not integrated; referral loop fails; supplies/training gaps; household risks not visible to clinician,"https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.childhealthtaskforce.org/hubs/iccm
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme
https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers",medium-high
