evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E001,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S001,fact,US / generalizable,all care settings,patients / clinicians / health system,varies,diagnostic safety,health issue identification,"Diagnosis is a complex collaborative process involving patients, families, clinicians, systems, and tools.",Used as conceptual anchor for global diagnostic workflows.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.nationalacademies.org/projects/IOM-HCS-13-03/publication/21794,See implications files for product mapping.,derived from facts.csv,2026-05-30
E002,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S002,fact,OECD countries,all care settings,patients / clinicians / health system,varies,diagnostic safety metric,health issue identification,"OECD report estimates that up to 15% of diagnoses in OECD countries may be inaccurate, delayed, or wrong.",Used to frame diagnostic safety as a high-income-system issue too.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,See implications files for product mapping.,derived from facts.csv,2026-05-30
E003,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S003,fact,US,all care settings,patients / clinicians / health system,varies,diagnostic harm burden,health issue identification,"AHRQ reports an estimate of 795,000 Americans annually dying or becoming permanently disabled from disease misdiagnosis.",Used as US burden metric.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.ahrq.gov/diagnostic-safety/index.html,See implications files for product mapping.,derived from facts.csv,2026-05-30
E004,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S004,fact,US,emergency department,patients / clinicians / health system,varies,ED diagnostic error,health issue identification,AHRQ PSNet ED review summary estimated roughly 1 in 18 ED patients receive an incorrect diagnosis.,Emergency department diagnostic safety metric.,identified documented workflow pattern,unknown,see fact context,see source,high,https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,See implications files for product mapping.,derived from facts.csv,2026-05-30
E005,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S005,fact,England,primary care / GP,patients / clinicians / health system,varies,continuity failure,health issue identification,HSSIB found GP systems did not reliably surface unresolved symptoms or repeated visits across different clinicians.,Used for UK GP continuity black zone.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,See implications files for product mapping.,derived from facts.csv,2026-05-30
E006,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S006,fact,UK,imaging / hospital,patients / clinicians / health system,varies,diagnostic result follow-up,health issue identification,"UK ombudsman identified repeated scan-reading and scan-follow-up failures, including abnormality not identified and results not properly followed up.",Used for abnormal-result closure black zone.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,See implications files for product mapping.,derived from facts.csv,2026-05-30
E007,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S008,fact,Israel,primary care / specialist care,patients / clinicians / health system,varies,health-system structure,health issue identification,Israel has universal NHI coverage through four competing nonprofit health plans with strong health-plan EHR integration.,Used for Israel integrated health-plan model.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/international-health-policy-center/countries/israel,See implications files for product mapping.,derived from facts.csv,2026-05-30
E008,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S010,fact,Israel / Negev Bedouin,community / primary care,patients / clinicians / health system,varies,underserved access,health issue identification,"Bedouin communities in Israel face physical access, health-literacy, language/cultural, and out-of-system continuity barriers.",Used for underserved/periphery cultural access pattern.,identified documented workflow pattern,unknown,see fact context,see source,medium,https://link.springer.com/article/10.1186/s12939-025-02398-2,See implications files for product mapping.,derived from facts.csv,2026-05-30
E009,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S011,fact,India,public/private care,patients / clinicians / health system,varies,fragmented care,health issue identification,"India has weak practical gatekeeping, a large public/private/informal ecosystem, slow EHR adoption, and no universal patient identifier.",Used for India fragmented-care model.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/8,See implications files for product mapping.,derived from facts.csv,2026-05-30
E010,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S012,fact,India,community / TB pathway,patients / clinicians / health system,varies,TB diagnostic delay,health issue identification,A referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,Used as successful low-resource/community linkage example.,identified documented workflow pattern,unknown,see fact context,see source,high,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,See implications files for product mapping.,derived from facts.csv,2026-05-30
