Principle,Why it matters,Evidence refs,Design implication
"Track diagnostic episodes over time, not only encounters.",Repeated visits and unresolved symptoms were repeatedly documented as black zones.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::key_findings.md; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::key_findings.md,"Create an unresolved-problem layer across visits, tests, referrals, messages and patient check-ins."
Separate acuity sorting from diagnostic uncertainty.,Front-door workflows sort urgency; hidden/chronic/complex issues can remain unexplained even when not emergent.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM01-FM06; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv,Show both urgency and unresolved diagnostic risk; do not let low acuity equal resolved diagnosis.
Preserve patient voice without making it the final diagnosis.,"Patient complaints reveal cut-off histories, dismissal and positive patterns of being listened to.",research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::quotes.csv; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::quotes.csv,"Store patient’s own words, daily impact and top fear separately from clinician assessment; allow corrections."
"Every result/referral/pending test needs an owner, deadline and closure state.","Abnormal-result and referral follow-up failures recur across patient-safety, clinician and complaint evidence.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E014/E015; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08/FM10,"Build ledgers with owner, backup, due date, patient notification, action, and escalation."
Normal tests must be paired with symptom status and test limitations.,"Normal-test traps appeared across ED, primary care, specialist and patient-story evidence.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Normal-test trap explainer; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C003/C007; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md,"Show date/scope/symptom context and “what remains unexplained,” with clinician-reviewed safety net."
"Minimize alert fatigue by making alerts actionable, ranked and owned.","Clinician evidence documents EHR alert overload, fatigue and cognitive load.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E011/E015; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::quotes.csv::Q003/Q008/Q010,"Few high-signal alerts, duplicate suppression, task worklists, workload monitoring, false-positive tracking."
Configure the product by care-flow model and resource level.,"Global evidence shows gatekeeper, open-access, integrated, fragmented, CHW-based, rural, migrant and Indigenous workflows differ.",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::main_report.md; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019/E020,"Do not assume one EHR, one GP owner, broadband, interpreters, or specialist access; support offline/paper/SMS paths."
Expose uncertainty clearly and never present the system as a final diagnostic authority.,"Safety notes across packages warn against false reassurance, overtesting and replacing clinical judgment.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::risks_and_safety_notes.md,"Use support language, source links, clinician review, override rationale and false positive/negative monitoring."
Make handoffs first-class product objects.,"Poor handoffs recur in ED, inpatient, referral, discharge and public/private transitions.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::cases_or_examples.csv::C004,"Structured handoff payload: diagnosis/uncertainty, pending tasks, watch-outs, receiving acknowledgment and next owner."
"Design for trust, language, culture and access barriers as diagnostic inputs.","Global evidence shows language, racism, cultural safety, cost, transport and digital exclusion affect whether symptoms are voiced, believed and followed up.",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cultural_black_zone_map.md; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C004/C008/C009/C010,"Interpreter/cultural-safety workflows, access barriers, patient-held records, liaison routing, and non-punitive resource documentation."
