master_evidence_id,record_type,source_package_or_file,internal_id,source_id,topic_or_area,stage_or_layer,fact_or_finding,product_implication_or_interpretation,evidence_quality_or_status,evidence_ref,date_packaged
RF-EVID-0001,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E001,S005,alert fatigue,lab interpretation / imaging interpretation / follow-up,High EHR alert load was linked with clinicians reporting missed abnormal results.,"Risk-ranked result inbox with owner, severity, patient-notified status, and escalation.",high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E001,2026-05-30
RF-EVID-0002,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E002,S006,diagnostic process breakdown,first assessment / history / exam / tests / referral,"Reviewed diagnostic-error cases showed breakdowns across history, exam, testing, referral, and tracking.","Return-visit flags, diagnostic checklist, and tracking for common high-harm misses.",high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E002,2026-05-30
RF-EVID-0003,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E003,S007,time pressure,medical history / first assessment / follow-up,Clinicians often needed more time than allotted.,Previsit narrative capture and interpreter/social-complexity preparation.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003,2026-05-30
RF-EVID-0004,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E004,S008,diagnostic uncertainty,diagnosis discussion / safety-netting / follow-up,Safety-netting plans varied in specificity and responsibility.,"Safety-net plan with red flags, timescale, responsible clinician, and follow-up trigger.",medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E004,2026-05-30
RF-EVID-0005,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E005,S009,continuity failure,repeat visit / referral / emergency escalation,Multiple contacts over eight months preceded diagnosis of spinal metastatic cancer.,Unresolved-symptom timeline and prior cancer/history surfacing.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005,2026-05-30
RF-EVID-0006,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E006,S010,digital intake risk,before visit / online intake / triage,A second online request lacked prior cancer history and was triaged as routine.,Online intake should auto-surface major history and related recent contacts.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E006,2026-05-30
RF-EVID-0007,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E007,S010,digital intake design,intake form / triage,Online forms can lose nuance when they force single-symptom routes or depend on free text.,"Hybrid intake: narrative, adaptive red flags, prior-history auto-pull, complexity escape hatch.",high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E007,2026-05-30
RF-EVID-0008,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E008,S012,ED diagnostic error,triage / assessment / testing / discharge,Serious ED diagnostic harms concentrated in a set of high-risk conditions.,"High-risk diagnosis overlays by symptom, repeat visit, vitals, and risk factors.",high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E008,2026-05-30
RF-EVID-0009,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E009,S013,system overload,ED-wide workflow,Commentary argued ED misdiagnosis should be understood in the broader system of crowding and safety risk.,Crowding-aware diagnostic review triggers and workload dashboards.,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E009,2026-05-30
RF-EVID-0010,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E010,S015,triage overload,arrival / nurse triage / acuity assignment,"Triage nurses reported pressure, cognitive strain, and emotional strain during acuity decisions.","Triage co-pilot with red flags, reassessment timers, and escalation support.",medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E010,2026-05-30
RF-EVID-0011,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E011,S011,fatigue and burnout,all stages / shifts / handoffs,Staff fatigue contributes directly and indirectly to patient harm but is not routinely captured.,Fatigue-aware task routing and second-check triggers for high-risk diagnostic tasks.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E011,2026-05-30
RF-EVID-0012,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E012,S014,handoff failure,handover / inpatient monitoring,"Poor handover communication was linked to documentation, training, procedure, and culture barriers.","Standardized handoff object with diagnosis, uncertainty, pending tests, watch-outs, and next owner.",medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E012,2026-05-30
RF-EVID-0013,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E013,S017,specialist communication,referral / specialist review / feedback,Communication gaps remained despite EHR diffusion.,"Referral object with clinical question, urgency, attachments, consultant response, next owner.",medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E013,2026-05-30
RF-EVID-0014,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E014,S016,referral loop failure,referral / appointment completion / follow-up,Closed diagnostic referral loops remain a safety problem.,Closed-loop referral tracker with due dates and exception handling.,medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E014,2026-05-30
RF-EVID-0015,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E015,S018,EHR usability,abnormal result management,Enhanced usability and longitudinal tracking lowered cognitive workload and improved abnormal-result management.,Longitudinal test-trend view and task-state tracking.,medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E015,2026-05-30
RF-EVID-0016,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E016,S019,note bloat,history review / specialist review / handoff,Long and redundant notes can obscure important information.,"Note-diff, copied-forward detection, concise problem timeline.",medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E016,2026-05-30
RF-EVID-0017,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E017,S020,bias and labels,first assessment,Difficult patient behavior negatively affected diagnostic performance in experiments.,Bias-aware diagnostic pause when stigmatizing labels or difficult interactions appear.,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E017,2026-05-30
RF-EVID-0018,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E018,S021,diagnostic overshadowing,ED assessment,Physical symptoms may be misattributed to mental illness.,Medical red-flag checklist for mental-health presentations and vitals/baseline trend display.,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E018,2026-05-30
RF-EVID-0019,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E019,S022,low-resource early detection,screening / referral / follow-up,CHWs reported barriers to early cancer detection and referral.,"CHW decision support, local-language education, referral navigation, follow-up queue.",medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E019,2026-05-30
RF-EVID-0020,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E020,S023,diagnostic access,labs ordered / imaging ordered / public screening,Large global diagnostic-access gap limits confirmation and monitoring.,"Resource-aware workflows, point-of-care test inventory, offline referral escalation.",high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E020,2026-05-30
RF-EVID-0021,evidence_item,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E021,S024,real workflow visibility,assessment / EHR review,Clinician commentary emphasized observing the actual clinician screen and workflow.,Field observation and screen-level workflow mapping before designing tools.,low-medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E021,2026-05-30
RF-EVID-0022,case,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C001,S009,continuity failure,continuity failure,Brian delayed spinal metastatic cancer diagnosis,Unresolved-symptom timeline and prior high-risk history surfacing.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001,2026-05-30
RF-EVID-0023,case,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C002,S010,digital intake risk,digital intake risk,Delayed urgent recognition in online skin-lesion consultation,Hybrid intake with prior-history auto-pull and adaptive red flags.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C002,2026-05-30
RF-EVID-0024,case,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C003,S006,diagnostic process breakdown,diagnostic process breakdown,Primary-care diagnostic-error trigger cases,Return-visit flags and diagnostic-process tracking.,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C003,2026-05-30
RF-EVID-0025,case,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C004,S014,handoff failure,handoff failure,Nurse handover communication barriers in Ghanaian referral hospitals,"Structured handoff including uncertainty, pending tests, and next owner.",medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C004,2026-05-30
RF-EVID-0026,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q001,S002,diagnostic process,diagnostic process,Diagnosis is a collaborative effort.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q001,2026-05-30
RF-EVID-0027,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q002,S002,health IT,health IT,Health information technology…is often a barrier.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q002,2026-05-30
RF-EVID-0028,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q003,S005,alert fatigue,alert fatigue,More alerts than they could effectively manage.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q003,2026-05-30
RF-EVID-0029,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q004,S008,time pressure,time pressure,Good care is slow enough to be able to pay attention.,,medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q004,2026-05-30
RF-EVID-0030,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q005,S010,digital intake,digital intake,Algorithms that go down single symptom routes miss the complexity of general practice and mean the dots can’t be joined up.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q005,2026-05-30
RF-EVID-0031,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q006,S010,triage safety,triage safety,Err on the side of caution.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q006,2026-05-30
RF-EVID-0032,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q007,S014,handoff,handoff,It’s the patient that suffers from poor communication.,,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q007,2026-05-30
