_package_filename,fact_id,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,research_topic,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F001,S001,"AHRQ estimates 795,000 Americans die or are permanently disabled each year from disease misdiagnoses.",Burden estimate used as background anchor for diagnostic-safety importance.,United States,all settings,diagnostic burden,high,https://www.ahrq.gov/diagnostic-safety/index.html,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F002,S002,"Diagnosis is framed as a collaborative, patient-centered process rather than a single physician act.",National Academies framing for team-based diagnostic work.,United States,all settings,diagnostic process,high,https://www.nationalacademies.org/read/21794/chapter/1,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F003,S003,"CDC diagnostic-excellence framework includes ordering, interpreting, communicating, and acting on diagnostic tests.",Hospital diagnostic-excellence program design.,United States,hospital / acute care,diagnostic excellence,high,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F004,S005,VA primary care practitioners in the survey reported a median of 63 EHR alerts per day.,Metric reported in completed research as an alert-load anchor.,United States,VA primary care,alert fatigue,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F005,S005,55.6% of VA PCPs in the survey said the EHR notification system made it possible to miss test results.,Metric reported in completed research as a clinician-perceived safety risk.,United States,VA primary care,alert fatigue,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F006,S005,29.8% of surveyed VA PCPs reported personally missing abnormal lab/imaging results that delayed care.,Metric reported in completed research.,United States,VA primary care,missed abnormal results,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F007,S007,67% of clinicians in the time-pressure study needed more time for new patients and 53% for follow-ups.,Metric reported in completed research.,United States,primary care,time pressure,high,https://link.springer.com/article/10.1007/s11606-019-05343-6,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F008,S009,The HSSIB Brian case involved an eight-month delay before diagnosis of spinal metastatic cancer.,Case timeline from official safety investigation.,England,general practice / ED / oncology,continuity failure,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F009,S012,The AHRQ ED review found the top 15 conditions accounted for 68% of serious misdiagnosis-related harms.,Metric reported in completed research.,Mostly United States,emergency department,ED diagnostic error,high,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F010,S016,Closed-loop referral literature cited 65%–73% failure rates for diagnostic referrals.,Metric reported in completed research.,United States,primary-specialty referrals,referral loop failure,medium-high,https://bmjopenquality.bmj.com/content/10/4/e001603,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
