_package_filename,quote_id,source_id,quote_text_short,quote_context,speaker_type,country_or_region,setting_or_context,topic_category,pain_point_or_theme,why_it_matters,source_url_or_identifier,research_topic,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q001,S002,Diagnosis is a collaborative effort.,National Academies diagnostic-safety framing.,expert committee,United States,all settings,diagnostic process,team diagnosis,"Supports tools that connect clinicians, patients, labs, radiology, and follow-up owners.",https://www.nationalacademies.org/read/21794/chapter/1,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q002,S002,Health information technology…is often a barrier.,National Academies discussion of HIT role in diagnosis.,expert committee,United States,EHR-mediated care,health IT,EHR burden,Supports designing tools that reduce cognitive load rather than add new screens.,https://www.nationalacademies.org/read/21794/chapter/1,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q003,S005,More alerts than they could effectively manage.,Completed research paraphrased clinician survey finding as a short direct phrase.,primary care practitioners,United States,VA primary care,alert fatigue,information overload,Shows that alert streams can become a diagnostic black zone.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,Research D — clinician-side pain points in identifying health issues early,high,Short quote retained from completed research notes; verify exact wording before publication.,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q004,S008,Good care is slow enough to be able to pay attention.,Phrase from completed research title/clinician interview framing.,primary care physicians,United States,primary care,time pressure,too little time,Highlights conflict between speed and careful diagnosis.,https://link.springer.com/article/10.1186/s12875-024-02526-x,Research D — clinician-side pain points in identifying health issues early,medium-high,Quote came from completed notes; source metadata may require review because row references the diagnostic uncertainty source rather than the JGIM interview title.,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q005,S010,Algorithms that go down single symptom routes miss the complexity of general practice and mean the dots can’t be joined up.,GP view captured in HSSIB online-consultation investigation.,GPs,England,online GP intake,digital intake,single-symptom routing,Shows danger of over-structured digital triage for complex stories.,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q006,S010,Err on the side of caution.,GPs described by HSSIB in relation to online consultation safety.,GPs,England,online GP consultation,triage safety,clinician caution,Shows safety may depend on clinician caution instead of tool design.,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q007,S014,It’s the patient that suffers from poor communication.,Title/central statement from Ghana handover study.,nurses / study voice,Ghana,hospital handover,handoff,poor communication,Connects staff communication barriers to patient harm.,https://www.sciencedirect.com/science/article/pii/S266732152400091X,Research D — clinician-side pain points in identifying health issues early,medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q008,S011,"We are not only risking patient safety, but staff retention…",Departmental manager quote from HSSIB fatigue investigation as captured in completed research.,departmental manager,England,acute hospitals,fatigue,burnout and retention,Links fatigue to both safety and workforce sustainability.,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q009,S011,I can’t remember how I got home.,Clinical staff quote from HSSIB fatigue investigation as captured in completed research.,clinical staff,England,acute hospitals,fatigue,extreme exhaustion,Shows severity of fatigue beyond abstract workload metrics.,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,Research D — clinician-side pain points in identifying health issues early,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q010,S015,substantial cognitive and emotional strain.,Triage nurse study summary phrase in completed research.,triage nurses / researchers,United Kingdom,ED triage,triage overload,decision fatigue,Shows triage is cognitively and emotionally demanding.,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,Research D — clinician-side pain points in identifying health issues early,medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
