source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Aggressive and dismissive treatment,https://www.careopinion.org.uk/1429947,public patient review,Care Opinion,unknown,2026-05-30,UK,hospital / acute assessment,medium,Patient reported feeling dismissed and silenced during a hospital encounter.,01_sources/raw_sources/reviews/s001_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Doctors are not listening to me,https://www.careopinion.org.uk/1258944,public patient review,Care Opinion,unknown,2026-05-30,UK,primary care,medium,Autistic patient reported clinician focused only on reflux and did not address pain/asthma agenda.,01_sources/raw_sources/reviews/s002_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Left in pain and sent home with no diagnosis,https://www.careopinion.org.uk/1117906,public emergency department review,Care Opinion,2023 response; review older,2026-05-30,"Scotland, UK",emergency department,medium,Patient with severe pain and breathlessness discharged after normal bloods/chest X-ray without explanation.,01_sources/raw_sources/reviews/s003_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Dismissed an elderly person,https://www.careopinion.org.uk/1349233,public family review,Care Opinion,2025 response; review older,2026-05-30,"England, UK","A&E, GP, ambulance/111",medium,Relative reported severe back pain after bowel cancer was dismissed before spinal cancer diagnosis.,01_sources/raw_sources/reviews/s004_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",My daughter’s experience at CAMHS,https://www.careopinion.org.uk/176152,public parent review,Care Opinion,unknown,2026-05-30,"Scotland, UK",CAMHS / adolescent mental health,medium,Parent reported family history ignored and later bipolar diagnosis after deterioration.,01_sources/raw_sources/reviews/s005_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Denied ADHD referral,https://www.careopinion.org.uk/1167674,public patient review with service response,Care Opinion,2024 response; review older,2026-05-30,"Scotland, UK",primary care to mental health referral,medium,Patient reported ADHD referral declined without assessment and no adult pathway existed.,01_sources/raw_sources/reviews/s006_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Wrongfully diagnosed,https://www.careopinion.org.uk/1378025,public patient review,Care Opinion,2025 response; review older,2026-05-30,"England, UK","A&E, physiotherapy, community services",medium,Patient reported documentation confusion around possible cauda equina and unresolved pain.,01_sources/raw_sources/reviews/s007_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Broken trust - clinical failings,https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,official ombudsman report,Parliamentary and Health Service Ombudsman,unknown,2026-05-30,"England, UK","hospital, ED, inpatient",high,Ombudsman casework including missed pulmonary embolism and failures listening to families.,01_sources/raw_sources/reports/s008_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures","Spotlight on sepsis: your stories, your rights",https://www.ombudsman.org.uk/spotlight-sepsis-your-stories-your-rights,official ombudsman report,Parliamentary and Health Service Ombudsman,unknown,2026-05-30,"England, UK","hospital, discharge, follow-up",high,"Sepsis complaints show failures in diagnosis, communication, record-keeping and follow-up.",01_sources/raw_sources/reports/s009_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
S010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",Sepsis caused by poor discharge and lack of follow-up,https://www.ombudsman.org.uk/publications/spotlight-sepsis-your-stories-your-rights/sepsis-caused-poor-discharge-and-lack-follow,official ombudsman case summary,Parliamentary and Health Service Ombudsman,unknown,2026-05-30,"England, UK",hospital discharge / follow-up,high,"Patient discharged after bowel cancer surgery without appropriate drain/follow-up, later died of sepsis.",01_sources/raw_sources/reports/s010_source_summary.md,Raw web page was not saved; source summary file created with URL and context.,2026-05-30
