_package_filename,case_id,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,patient_stage_or_workflow_step,failure_or_black_zone_tags,research_topic,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C001,S009,Brian delayed spinal metastatic cancer diagnosis,England,general practice / ED / oncology,continuity failure,severe back pain after prior breast cancer,Patient had severe back pain and a prior cancer history.,"Multiple contacts across ED, GPs, out-of-hours GPs, nurse, and physiotherapy preceded later diagnosis.",Prior cancer history plus repeated unresolving back pain were not connected early.,8 months,,,Research D — clinician-side pain points in identifying health issues early,Spinal metastatic cancer diagnosed after spinal lump and CT.,Repeated contacts across fragmented care should trigger a diagnostic review.,Unresolved-symptom timeline and prior high-risk history surfacing.,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C002,S010,Delayed urgent recognition in online skin-lesion consultation,England,general practice / online consultation,digital intake risk,worsening skin lesion with prior skin cancer,Patient submitted online request about skin symptoms.,A second online request lacked prior cancer history and was triaged routine; later GP review generated urgent referral.,Worsening skin signs and prior skin cancer history were not joined at intake/triage.,"2 weeks to GP suspicion after second form, plus referral wait",,,Research D — clinician-side pain points in identifying health issues early,Urgent referral later made.,Online forms need context from records and recent related contacts.,Hybrid intake with prior-history auto-pull and adaptive red flags.,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C003,S006,Primary-care diagnostic-error trigger cases,United States,primary care,diagnostic process breakdown,"common diseases including pneumonia, CHF, renal failure, cancer, UTI/pyelonephritis",Patients had primary-care encounters preceding later signals of diagnostic error.,Researchers used EHR triggers to identify and review diagnostic-error cases.,"Breakdowns occurred in history, exam, workup, referral, and tracking.",Trigger examples included hospitalization/return/ED within 14 days,,,Research D — clinician-side pain points in identifying health issues early,Many cases had moderate or severe harm potential.,Common diseases can be missed when several small process steps fail.,Return-visit flags and diagnostic-process tracking.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,high,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,C004,S014,Nurse handover communication barriers in Ghanaian referral hospitals,Ghana,"referral hospitals: ED, ICU, wards, maternity",handoff failure,"diagnosis, medication, treatment-plan continuity",Patients moved across shifts and units where nurses handed over care.,"Interviews found poor documentation, lack of formal procedures, and communication barriers.","Diagnosis, treatment plans, medication changes, and pending tasks may be missed.",unknown,,,Research D — clinician-side pain points in identifying health issues early,Study linked handover gaps to diagnostic/treatment errors and complications risk.,"Handoff quality is a diagnostic-safety issue, not only an administrative issue.","Structured handoff including uncertainty, pending tests, and next owner.",https://www.sciencedirect.com/science/article/pii/S266732152400091X,medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C001,S005,Delayed metastatic cancer diagnosis after repeated back-pain presentations,England,GP / ED / out-of-hours / physiotherapy,continuity failure,metastatic cancer / severe back pain,Patient with prior breast cancer history developed severe back pain.,"Multiple contacts occurred across ED, GP, nurse, physiotherapy and out-of-hours care; diagnosis came after repeated presentations.",Red flags and repeated symptom pattern were not connected early enough.,about 8 months,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",metastatic cancer identified,Continuity and IT systems must surface repeated unresolved symptoms and cancer history.,"Same-symptom clustering, unresolved-problem tracking, named follow-up owner",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C002,S006,Missed bowel lesion on scan with delayed diagnosis,UK,imaging / hospital,abnormal result missed,cancer / scan abnormality,Patient had imaging that contained an abnormality.,Abnormality was not identified and later follow-up was delayed.,Scan finding missed and result follow-up failed.,six-week delay in example described,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",harm from delayed cancer identification,Imaging workflows need closed-loop review and patient-visible status.,Closed-loop scan tracker with escalation for unreviewed abnormal results,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C003,S007,Sepsis recognition failures repeated across NHS complaints,UK,hospital / ED / inpatient,red flag missed,sepsis,Patients presented with signs that should have triggered sepsis recognition/escalation.,Delayed diagnosis/treatment and communication/follow-up failures recurred across cases.,Sepsis red flags and family concerns were not acted on quickly enough.,hours to fatal deterioration in some examples,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",death or severe harm in complaint examples,Emergency escalation must include family concern and deterioration tracking.,Family concern escalation field and sepsis reassessment prompts,https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C004,S010,Bedouin community access and continuity barriers,Israel / Negev Bedouin,community / primary care,underserved access,general health needs,Communities in recognized and unrecognized villages seek care through formal and sometimes out-of-system routes.,"Physical access, health-literacy barriers, and out-of-system care complicate care continuity.",Signals can be missed when care occurs outside the formal Israeli record system.,unknown,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",continuity risk and delayed access,Integrated records alone are insufficient for marginalized periphery communities.,Capture out-of-system visits and language/cultural access needs,https://link.springer.com/article/10.1186/s12939-025-02398-2,medium,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C005,S012,Non-allopathic provider TB referral intervention,India,community / informal / TB pathway,successful community linkage,TB-like symptoms,People with TB symptoms often first consult traditional healers or AYUSH/non-allopathic providers.,Intervention linked these providers to referral and free chest x-ray.,TB identification improved; diagnostic delay reduced.,8.6-day reduction,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",reduced diagnostic delay,Informal providers can be part of safer identification if connected to formal diagnostics.,Referral tools and diagnostic vouchers for informal/community providers,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C006,S020,Tanzania cancer diagnostic journey,Tanzania,low-resource cancer pathway,low-resource diagnostic delay,cancer symptoms,Patients developed symptoms and moved through multiple facilities as symptoms worsened.,Diagnostic capacity such as imaging/pathology was concentrated in higher-level centers and patients often self-referred.,Cancer confirmation was delayed.,median 358 days,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",delayed cancer diagnosis,"Referral completion, funds, transport, and diagnostic capacity determine identification.",Referral completion and diagnostic-capacity map,https://link.springer.com/article/10.1186/s12913-021-07438-5,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
