source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S01,Real health-system patient flows for identifying health issues,"Emergency Severity Index (ESI): A Triage Tool for Emergency Department Care, Version 4",https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,clinical handbook / triage algorithm,unknown,2012 edition; accessed 2026-05-30,2026-05-30,US; used internationally,emergency department,high,"Detailed nurse-triage workflow: life-saving intervention, high-risk presentation, resource prediction, danger-zone vitals.",01_sources/raw_sources/guidelines/s01_emergency_severity_index__esi___a_triage_tool_for_emerg.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S02,Real health-system patient flows for identifying health issues,Diagnostic Errors in the Emergency Department: A Systematic Review,https://www.ncbi.nlm.nih.gov/books/NBK588197/,systematic review / AHRQ report,unknown,2022,2026-05-30,"US-focused literature, broader ED relevance",emergency department,high,Quantifies ED diagnostic-error burden and identifies common serious-harm conditions.,01_sources/raw_sources/reports/s02_diagnostic_errors_in_the_emergency_department__a_system.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S03,Real health-system patient flows for identifying health issues,Guidance for emergency departments: initial assessment,https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,national guidance,unknown,2022; accessed 2026-05-30,2026-05-30,England,emergency department,high,"Defines streaming, triage and rapid assessment/treatment at the ED front door.",01_sources/raw_sources/guidelines/s03_guidance_for_emergency_departments__initial_assessment.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S04,Real health-system patient flows for identifying health issues,Initial Assessment of Emergency Department Patients,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,professional college guidance,unknown,2025 PDF; accessed 2026-05-30,2026-05-30,UK,emergency department,high,Requires registration and initial assessment processes; emphasizes occult waits and governance.,01_sources/raw_sources/guidelines/s04_initial_assessment_of_emergency_department_patients.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S05,Real health-system patient flows for identifying health issues,Emergency Department Workflow Diagrams,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,implementation workflow diagrams,unknown,accessed 2026-05-30,2026-05-30,US,emergency department,medium,"Realistic pneumonia ED flow showing triage/intake, provider assessment, labs, CXR, CURB-65, disposition.",01_sources/raw_sources/other/s05_emergency_department_workflow_diagrams.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S06,Real health-system patient flows for identifying health issues,Urgent care self-service,https://digital.nhs.uk/services/urgent-care-self-service-product,digital service description,unknown,published 2026; accessed 2026-05-30,2026-05-30,England,urgent care / ED front door,medium,Digital patient self-check-in and symptom-led prioritisation/redirection using NHS service links.,01_sources/raw_sources/other/s06_urgent_care_self_service.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S07,Real health-system patient flows for identifying health issues,Urgent treatment centres: principles and standards,https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,national service standards,unknown,20 Oct 2023; updated 23 Oct 2023,2026-05-30,England,urgent treatment centre,high,"Defines UTC model, diagnostics, records, walk-in/booked access, referral/ED co-location models.",01_sources/raw_sources/guidelines/s07_urgent_treatment_centres__principles_and_standards.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S08,Real health-system patient flows for identifying health issues,When to visit an urgent treatment centre,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,patient-facing service page,unknown,accessed 2026-05-30,2026-05-30,England,urgent treatment centre,medium,"Describes arrival, nurse observations, waiting prioritisation, tests, treatment, referral and GP update.",01_sources/raw_sources/other/s08_when_to_visit_an_urgent_treatment_centre.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S09,Real health-system patient flows for identifying health issues,Vital Signs in the Urgent Care Center,https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,urgent care clinical policy,unknown,updated Apr 2025; accessed 2026-05-30,2026-05-30,US,urgent care,medium,"Initial vitals early, ideally within 15 minutes; abnormal vitals reporting/repeat measurement.",01_sources/raw_sources/other/s09_vital_signs_in_the_urgent_care_center.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S10,Real health-system patient flows for identifying health issues,Red Flags Identification and Intervention Policy for Urgent Care Centers,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,urgent care clinical policy,unknown,updated Apr 2025; accessed 2026-05-30,2026-05-30,US,urgent care,medium,"Registration/intake staff identify distress, chest pain, shortness of breath, bleeding, neurologic signs and escalate.",01_sources/raw_sources/other/s10_red_flags_identification_and_intervention_policy_for_ur.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
