evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E001,Real health-system patient flows for identifying health issues,S01,workflow finding,US / internationally used,emergency department,triage nurse,nurse triage,red flag missed; normal-test trap; incomplete history,undifferentiated acute illness/injury,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.","Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",Identified: patients needing immediate lifesaving intervention and high-risk care; risk: triage depends on nurse pattern recognition and local resource assumptions.,Identified: patients needing immediate lifesaving intervention and high-risk care; risk: triage depends on nurse pattern recognition and local resource assumptions.,red flag missed; normal-test trap; incomplete history,none,high,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,Separate emergency risk score from diagnostic uncertainty; capture clinician concern and prior visits even when ESI level is lower.,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30
E002,Real health-system patient flows for identifying health issues,S02,workflow finding,US-focused evidence,emergency department,"ED clinicians, radiology, consultants",first clinician assessment; imaging/lab interpretation; discharge,red flag missed; repeated visits ignored; no follow-up ownership,"stroke, MI, aortic dissection, VTE, meningitis/encephalitis, sepsis, spinal cord injury/compression, lung cancer",High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Systematic review estimated diagnostic error harms and common high-harm conditions.,"Missed/delayed: serious ED diagnoses, especially vascular, neurologic, infection and cancer presentations.","Missed/delayed: serious ED diagnoses, especially vascular, neurologic, infection and cancer presentations.",red flag missed; repeated visits ignored; no follow-up ownership,varies,high,https://www.ncbi.nlm.nih.gov/books/NBK588197/,Flag high-harm conditions linked to symptom clusters and require explicit exclusion/safety-netting before discharge.,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30
E003,Real health-system patient flows for identifying health issues,S03,workflow finding,England,emergency department,registered clinician / senior nurse / RAT team,arrival; registration; nurse triage; streaming; first clinician assessment,poor handoff; red flag missed; no follow-up ownership,undifferentiated emergency/urgent presentations,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",Identified: sickest patients and appropriate service route; risk: redirection decisions can become unsafe if not clinically governed.,Identified: sickest patients and appropriate service route; risk: redirection decisions can become unsafe if not clinically governed.,poor handoff; red flag missed; no follow-up ownership,front-door targets in related guidance,high,https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,"Track real elapsed time from physical arrival to clinical assessment, not just time after registration.",Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30
E004,Real health-system patient flows for identifying health issues,S04,workflow finding,UK,emergency department,registered clinician,registration; initial assessment; vitals,arrival; registration; red flag missed; poor handoff,undifferentiated ED attendance,Operational queues can hide clinical risk before the patient is visible to the triage system.,"Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",Identified: front-door risk; missed risk if queues are unmanaged before registration/assessment.,Identified: front-door risk; missed risk if queues are unmanaged before registration/assessment.,arrival; registration; red flag missed; poor handoff,within minutes in standard,high,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,Use queue surveillance and arrival-time capture; include deterioration prompts before formal triage is complete.,Supports the black-zone concept of pre-triage waits.,2026-05-30
E005,Real health-system patient flows for identifying health issues,S05,workflow finding,US,emergency department,"front desk, triage RN, intake RN, ED provider, lab/radiology",arrival; intake; labs ordered; imaging ordered; lab interpretation; discharge/admission,documentation error; no one connected the dots; normal-test trap,suspected community-acquired pneumonia,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,Identified: pneumonia severity and disposition; risk: pneumonia mimic or alternative diagnosis may be missed if CDS anchors on CAP.,Identified: pneumonia severity and disposition; risk: pneumonia mimic or alternative diagnosis may be missed if CDS anchors on CAP.,documentation error; no one connected the dots; normal-test trap,none,medium,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,"Expose missing CURB-65 elements and create 'pursue other diagnoses' tracking, not just CAP disposition.",Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30
E006,Real health-system patient flows for identifying health issues,S06,workflow finding,England,urgent care / ED front door,"patient, digital triage system, streaming clinician, receiving service",arrival; intake form; triage; referral,digital access gap; incomplete history; red flag missed,urgent non-life-threatening presentations,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.","Identified: rapid symptom-led prioritisation and redirection; risk: digital access, literacy and symptom-description gaps.","Identified: rapid symptom-led prioritisation and redirection; risk: digital access, literacy and symptom-description gaps.",digital access gap; incomplete history; red flag missed,none,medium,https://digital.nhs.uk/services/urgent-care-self-service-product,"Add accessibility fallback, clinician override, real-time deterioration alerts and visibility of prior visits.",A current example of digital triage embedded in urgent/emergency care.,2026-05-30
E007,Real health-system patient flows for identifying health issues,S07,workflow finding,England,urgent care,"UTC multidisciplinary staff, nurse, clinician, GP/ED/specialist pathways",arrival; first clinician assessment; labs ordered; imaging ordered; referral; follow-up,wrong specialty; poor handoff; no follow-up ownership,minor injuries/ailments and urgent non-life-threatening problems,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.",UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,Identified: conditions manageable outside ED; risk: lack of diagnostic capability or wrong redirection.,Identified: conditions manageable outside ED; risk: lack of diagnostic capability or wrong redirection.,wrong specialty; poor handoff; no follow-up ownership,none,high,https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,"Show available diagnostics, escalation criteria and post-visit ownership in the same workflow.",UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30
E008,Real health-system patient flows for identifying health issues,S08,workflow finding,England,urgent care,"reception, nurse, UTC clinician",arrival; vitals; first clinician assessment; discharge/referral,red flag missed; patient self-advocacy required,urgent non-life-threatening illness/injury,The workflow depends on patients knowing when and how to report deterioration while waiting.,"On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",Identified: worsening symptoms during wait if patient tells staff; risk: passive reliance on patient to report deterioration.,Identified: worsening symptoms during wait if patient tells staff; risk: passive reliance on patient to report deterioration.,red flag missed; patient self-advocacy required,none,medium,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,Provide waiting-room check-ins and explicit 'tell us now if...' symptom prompts in multiple languages.,Patient-facing description of the real UTC arrival process.,2026-05-30
E009,Real health-system patient flows for identifying health issues,S09,workflow finding,US,urgent care,"triage/rooming staff, clinician",vitals; nurse triage; first clinician assessment,normal-test trap; lab trend missed; documentation error,urgent illness/injury,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",Identified: physiologic instability; missed: serious disease with normal or incomplete vitals.,Identified: physiologic instability; missed: serious disease with normal or incomplete vitals.,normal-test trap; lab trend missed; documentation error,ideally within 15 minutes of arrival,medium,https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,"Require abnormal-vital acknowledgment, repeat-vital timers and trend comparison across visits.","Practical urgent-care policy source, not a population study.",2026-05-30
E010,Real health-system patient flows for identifying health issues,S10,workflow finding,US,urgent care,"registration/intake staff, clinician",registration; intake form; nurse triage,red flag missed; incomplete history; poor handoff,emergency red-flag presentations presenting to urgent care,Non-clinical intake staff may be the first safety barrier.,Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,Identified: conditions too high-risk for routine urgent care; missed: red flags hidden by vague complaint or poor intake phrasing.,Identified: conditions too high-risk for routine urgent care; missed: red flags hidden by vague complaint or poor intake phrasing.,red flag missed; incomplete history; poor handoff,immediate,medium,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,Use plain-language red-flag checklist and escalation button at registration.,Shows how triage starts before formal clinician assessment.,2026-05-30
