Feature name,User,Problem solved,Evidence supporting it,Patient-stage,Data needed,Risk level,Complexity,Expected value,Failure mode,Safety guardrail,Example quote or case,Source links,Status,feature_id,date_packaged,research_topic
Diagnostic episode layer / unresolved-problem tracker,doctor; nurse; patient; specialist; admin,"Repeated visits, tests, referrals, messages and persistent symptoms are treated as separate encounters instead of one unresolved diagnostic thread.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::04_topic_outputs/diagrams_or_flows/flow_maps.csv::FM09; S20; S21; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::04_topic_outputs/other_outputs/product_opportunities.csv::Longitudinal diagnostic signal accumulator; B-001/B-009/B-014/B-020/B-021; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C008; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001,medical history; follow-up; repeat visit; specialist review; long-term monitoring,Symptoms with dates; prior visits; prior diagnoses; family/high-risk history; labs/imaging; referrals; follow-up tasks; patient concern status.,High,High,Very high,Creates noisy clusters or false reassurance if an issue is marked resolved too early.,"Every issue has status, owner, next action, uncertainty statement, and manual clinician override; monitor false positives and missed escalations.",Brian continuity-of-care delayed metastatic cancer diagnosis; anemia/colon cancer and long-COVID/POTS slow-pattern cases.,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosishttps://psnet.ahrq.gov/web-mm/delayed-diagnosis-mesenteric-ischemiahttps://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencieshttps://www.sciencedirect.com/science/article/pii/S2667321522001299https://www.dysautonomiainternational.org/page.php?ID=184https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,strongly supported,F001,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Rich patient intake timeline with change-from-baseline,patient; caregiver; nurse; doctor,"Current intake often captures a chief complaint but loses timeline, functional impact, patient fear, prior failed contacts, and what changed from normal.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; 02_extracted_evidence/evidence_items.csv::E011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003/E006/E007; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001/C002/C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-002/B-023,before visit; intake form; medical history,Free-text patient words; structured symptoms; onset/duration; severity; daily impact; patient theory/fear; prior tests; diagnoses; family history; medications; photos/documents.,Medium,Medium,High,"Long intake creates burden, excludes low-literacy users, or overweights patient self-diagnosis.",Adaptive short form; plain language; translation and caregiver mode; separate patient narrative from clinician assessment; emergency escalation language.,Patient complaint: “I felt completely dismissed and silenced”; online consultation case where prior skin-cancer history was not joined.,https://www.careopinion.org.uk/1429947https://www.careopinion.org.uk/1258944https://link.springer.com/article/10.1007/s11606-019-05343-6https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosishttps://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999,strongly supported,F002,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Repeat-visit diagnostic reset trigger,doctor; nurse triage; urgent care; ED; primary care,Return visits for the same or worsening complaint are handled as fresh visits rather than safety signals.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Repeat-visit diagnostic reset; B-006/B-010/B-028/B-030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM09; 02_extracted_evidence/cases_or_examples.csv::C002/C009; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::cases_or_examples.csv::C003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C001,arrival; nurse triage; first clinician assessment; repeat visit; emergency escalation,Encounter dates; presenting complaints; symptom similarity; discharge diagnosis; deterioration markers; new vitals/labs; prior safety-net instructions.,High,Medium,Very high,Alert fatigue or punitive framing toward appropriate return visits.,Trigger only on meaningful persistence/worsening/repeat count; present as diagnostic reset support; require clinician acknowledgment and override rationale.,"Pediatric sepsis, appendicitis, TB/COVID co-occurrence and testicular torsion cases in Research B; Jess’s Rule / three-strikes rethink flow in Research A.",https://psnet.ahrq.gov/web-mm/do-not-miss-sepsis-needles-viral-haystackshttps://psnet.ahrq.gov/web-mm/missed-appendicitishttps://wwwnc.cdc.gov/eid/article/30/1/23-0924_articlehttps://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studieshttps://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,strongly supported,F003,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Closed-loop abnormal result ownership ledger,doctor; nurse; admin; patient; specialist,"Abnormal lab, imaging, microbiology or histology results can be seen, filed, or lost without clear action, patient notification, or accountable owner.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E015; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Closed-loop abnormal result ownership; B-011/B-012/B-015/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; sources S013/S014/S035; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; sources S19/S24/S25; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C002,lab interpretation; imaging interpretation; discharge; follow-up,"Order, result, abnormality class, criticality, reviewer, owner, backup owner, deadline, action, patient-notified status, closure reason.",High,High,Very high,More alerts without ownership; patients receive alarming results without interpretation.,Risk-ranked worklist; escalation by criticality; backup owner; patient notification only with pathway to explanation; audit overdue closures.,Positive prostate cancer histology not actioned for about six months; critical echocardiogram result lost to follow-up.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/https://psnet.ahrq.gov/web-mm/out-sight-out-mind-out-office-test-result-managementhttps://psnet.ahrq.gov/web-mm/delayed-recognition-positive-blood-culturehttps://psnet.ahrq.gov/web-mm/myasthenia-crisis-after-delayed-diagnosis-medically-complex-patienthttps://psnet.ahrq.gov/web-mm/critical-echocardiogram-result-lost-followhttps://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/investigation-report/https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/https://www.hdc.org.nz/decisions/search-decisions/2012/10hdc01419/https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbustershttps://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scanshttps://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/,strongly supported,F004,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Referral completion and transparency tracker,doctor; patient; admin; specialist,"Referral placement is confused with completed specialty assessment; rejection, advice-only, wrong specialty, missing information, scheduling failure, and non-attendance are invisible.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11; sources S27/S28/S29; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C006/C016; reviews R007/R008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C005/C006; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-005/B-029/B-032,referral; specialist review; follow-up,"Referral request, clinical question, attachments, priority, destination, status, reason returned/rejected, appointment date, attendance, specialist response, next owner.",High,High,Very high,Status labels are ambiguous or patients interpret pathway absence as diagnostic exclusion.,"Separate “no pathway”, “more info needed”, “wrong service”, “clinical advice only”, and “diagnosis ruled out”; require follow-up owner for advice-only outcomes.",Adult ADHD referral rejected without meeting patient; specialist advice “discuss with” rather than “refer to” risk.,https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-serviceshttps://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-serviceshttps://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/https://bmjopenquality.bmj.com/content/10/4/e001603https://www.careopinion.org.uk/1167674https://people.com/22-year-old-diagnosed-with-terminal-cancer-after-docs-dismiss-symptoms-11855746https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416https://link.springer.com/article/10.1186/s12913-021-07438-5,strongly supported,F005,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Normal-test trap explainer and persistent-symptom safety net,doctor; nurse; patient,"Normal or old tests can close an encounter even when symptoms remain severe, persistent, anatomically discordant, episodic, or outside the test’s scope.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Normal-test trap explainer; B-001/B-003/B-004/B-016; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C003/C007; quote Q003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::normal-test trap; flow FM09; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::pair normal test results with symptom status,lab interpretation; imaging interpretation; diagnosis discussion; discharge; follow-up,"Test date, scope/body region, symptom status during test, result status, test limitations text, unresolved symptoms, safety-net plan.",High,Medium,High,May promote overtesting or patient anxiety if phrased as “test missed something.”,Use uncertainty language; show what remains unexplained; avoid automatic diagnosis; tie next steps to clinician-reviewed safety net.,Patient after normal bloods/CXR: “Still in severe pain and still have no idea”; PE after clear CXR; PSVT normal when asymptomatic.,https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosishttps://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attackshttps://psnet.ahrq.gov/web-mm/spinal-epidural-abscesshttps://psnet.ahrq.gov/web-mm/missing-large-vessel-occlusion-stroke-patient-history-seizureshttps://www.careopinion.org.uk/1117906https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,strongly supported,F006,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Patient voice protection: verbatim concern + correction path,patient; caregiver; doctor; nurse,"Patients report that histories are cut off, symptoms are minimized, and what matters to them is not documented in a way that survives the visit.",research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q001/Q003/Q004/Q018/Q019/Q020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::quotes.csv::Q001/Q002/Q003/Q004; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::quotes.csv::Q-001/Q-004/Q-005/Q-007; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::quotes.csv::Q001/Q004,intake form; medical history; diagnosis discussion; discharge; follow-up,"Patient quote, top concern, fear of missed disease, functional impact, caregiver concern, clinician response/disposition, patient correction/comment after visit.",Medium,Medium,High,Could escalate conflict or turn patient language into stigmatizing chart labels.,Separate patient voice from clinical assessment; respectful language normalization; patient-visible summary corrections; no automated accusation of dismissal.,Negative quotes: “I felt completely dismissed and silenced”; positive counter-pattern: “Gave me time whilst he listened.”,https://www.careopinion.org.uk/1429947https://www.careopinion.org.uk/1117906https://www.careopinion.org.uk/1349233https://www.careopinion.org.uk/1333013https://www.careopinion.org.uk/1065736https://www.careopinion.org.uk/1328982https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosishttps://www.dysautonomiainternational.org/page.php?ID=184https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hearshttps://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999,strongly supported,F007,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Concern-by-concern visit closure,doctor; patient; nurse; caregiver,Multi-issue visits can close one symptom while leaving other patient-listed concerns unresolved without visible disposition.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; quote Q002; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::specific safety-netting and follow-up,diagnosis discussion; discharge; follow-up,"Patient-listed concern list, clinician disposition for each, unresolved reason, follow-up owner/date, safety-net advice.",Medium,Low-medium,High,Adds documentation burden or gives false sense all issues can be solved in one visit.,Allow “deferred with plan” disposition; keep closure concise; prioritize safety-critical unresolved concerns.,Autistic patient brought multiple concerns; only acid reflux reportedly addressed.,https://www.careopinion.org.uk/1258944https://link.springer.com/article/10.1186/s12875-024-02526-x,supported by some evidence,F008,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Doctor-facing concise timeline and red-flag summary,doctor; nurse; specialist,"Clinicians need context quickly but EHR notes, messages, repeated encounters, and copied-forward content bury relevant signals.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015/E016/E021; quotes Q002/Q011; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures earlier than structured records,first clinician assessment; medical history; specialist review; handoff,"Episode timeline, abnormal results, prior diagnoses, repeated visits, red flags, unresolved issues, patient concerns, missing data checklist.",High,High,Very high,Summarization hides nuance or introduces errors; clinicians over-trust the summary.,"Show source links, timestamps, uncertainty, and missing data; user can expand raw notes/results; flag generated summary as support only.",Clinician commentary: “see what my screen looks like”; note-bloat and abnormal-result management evidence.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.htmlhttps://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,strongly supported,F009,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
"Missing-data checklist for family history, medication access and prior tests",patient; caregiver; doctor; nurse,"Family history, medication interruption, prior testing, out-of-system diagnoses, and patient/caregiver concern are treated as background rather than active diagnostic signal.",research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-013/B-023/B-031; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::ask what happened before current visit,before visit; medical history; first clinician assessment,"Family history, caregiver input, medication list, access/cost interruptions, prior tests, previous diagnoses, records outside system.",Medium,Medium,High,Sensitive financial/family data may be incomplete or privacy-risky.,Use optional patient-controlled disclosure; privacy notices; clinician confirms before action; do not infer blame from non-adherence.,Family history ignored in later bipolar diagnosis; thyroid crisis linked to medication/access context; lupus systemic pattern.,https://www.careopinion.org.uk/176152https://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencieshttps://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studieshttps://link.springer.com/article/10.1007/s11606-019-05343-6,supported by some evidence,F010,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
