case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
B-001,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Anemia and Delayed Colon Cancer Diagnosis,United States,primary care; specialist clinic; hospital inpatient,medical history; labs ordered; lab interpretation; referral; repeat visit,Colon cancer after iron-deficiency anemia,unknown,unknown,unknown,unknown,unknown,unknown,Build longitudinal anemia trend + prior-normal-test guardrail that asks: does this old test still explain today's signal?,https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosis,high,Diagnostic vs screening colonoscopy distinction matters in symptomatic elderly patients.,2026-05-30
B-002,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Endometriosis: A Common and Commonly Missed and Delayed Diagnosis,United States,primary care; specialist clinic; hospital outpatient,medical history; first clinician assessment; referral; specialist review,Endometriosis,unknown,unknown,unknown,unknown,unknown,unknown,"Create menstrual + GI timeline capture, severity thresholds, and cross-specialty prompts for persistent dysmenorrhea.",https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosis,high,Case shows patient and mother advocacy as a diagnostic driver.,2026-05-30
B-003,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Paroxysmal Supraventricular Tachycardia Masquerading as Panic Attacks,United States,emergency department; primary care; specialist clinic,first clinician assessment; labs/imaging interpretation; referral; repeat visit,Paroxysmal supraventricular tachycardia (PSVT),unknown,unknown,unknown,unknown,unknown,unknown,Offer event-triggered monitoring workflows and a 'normal when asymptomatic' warning for episodic cardiopulmonary complaints.,https://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attacks,high,"Source notes PSVT symptoms are often attributed to panic/anxiety, especially in women.",2026-05-30
B-004,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Spinal Epidural Abscess,United States,emergency department; specialist clinic; hospital inpatient,first clinician assessment; imaging ordered; imaging interpretation; repeat visit; emergency escalation,Spinal epidural abscess,unknown,unknown,unknown,unknown,unknown,unknown,Add imaging-scope alerts: negative limited MRI should not close diagnosis when pain/red flags are anatomically discordant.,https://psnet.ahrq.gov/web-mm/spinal-epidural-abscess,high,Classic SEA triad is often absent early; severe/progressive symptoms matter.,2026-05-30
B-005,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Renal Failure Due to Benign Prostatic Hyperplasia,United States,primary care; specialist clinic; emergency department,medical history; specialist review; labs ordered; follow-up; emergency escalation,Obstructive uropathy / renal failure from BPH,unknown,unknown,unknown,unknown,unknown,unknown,"Create hard-stop follow-up for extreme post-void residual: creatinine, catheter plan, teach-back, and owner assignment.",https://psnet.ahrq.gov/web-mm/renal-failure-due-benign-prostatic-hyperplasia,high,Case shows relational rupture causing loss to follow-up.,2026-05-30
B-006,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Do Not Miss Sepsis: Needles in Viral Haystacks,United States,emergency department,nurse triage; vitals; first clinician assessment; labs/imaging ordered; discharge; repeat visit,Pediatric sepsis / bacterial pneumonia / empyema,unknown,unknown,unknown,unknown,unknown,unknown,"Implement pediatric repeat-visit sepsis detector combining vitals, respiratory symptoms, labs, and recent discharge history.",https://psnet.ahrq.gov/web-mm/do-not-miss-sepsis-needles-viral-haystacks,high,A positive strep test may become an anchoring point rather than a complete explanation.,2026-05-30
B-007,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Missing ECG and Missed Diagnosis Lead to Dangerous Delay,United States,emergency department; inpatient ward,arrival; nurse triage; imaging/lab ordered; handoff; follow-up,ST-elevation myocardial infarction (STEMI),unknown,unknown,unknown,unknown,unknown,unknown,Require EMS ECG ingestion/acknowledgment and serial chest-pain testing checklist when initial high-risk data exists.,https://psnet.ahrq.gov/web-mm/missing-ecg-and-missed-diagnosis-lead-dangerous-delay,high,Shows how a single missing artifact can reset risk assessment.,2026-05-30
B-008,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Delay in Appropriate Diagnosis and Treatment Leading to Death from Pulmonary Embolism,United States,emergency department; inpatient ward; intensive care,first clinician assessment; imaging interpretation; handoff; emergency escalation,Pulmonary embolism,unknown,unknown,unknown,unknown,unknown,unknown,Add critical-result semantics: report should classify right-heart strain as escalation-required and track acknowledgment/action.,https://psnet.ahrq.gov/web-mm/delay-appropriate-diagnosis-and-treatment-leading-death-pulmonary-embolism,high,A partial critical-result phone call can be more dangerous than no call if it downgrades urgency.,2026-05-30
B-009,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Delayed Diagnosis of Mesenteric Ischemia,United States,primary care; emergency department; specialist clinic; inpatient ward,medical history; labs/imaging ordered; referral; follow-up; repeat visit; specialist review,Chronic mesenteric ischemia,unknown,unknown,unknown,unknown,unknown,unknown,Build a longitudinal weight-loss + abdominal pain pattern recognizer and surface colleague concern as a tracked diagnostic signal.,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-mesenteric-ischemia,high,Case highlights clinician-to-clinician comments as signals that need ownership.,2026-05-30
B-010,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Missed Appendicitis,United States,emergency department; primary care; inpatient ward,first clinician assessment; physical exam; imaging ordered; discharge; repeat visit,Appendicitis with perforation/abscess,unknown,unknown,unknown,unknown,unknown,unknown,Use abdominal-pain discharge callbacks and return-triggered escalation for persistent or migrating pain.,https://psnet.ahrq.gov/web-mm/missed-appendicitis,high,Atypical or early appendicitis is a classic diagnostic-error pattern.,2026-05-30
B-011,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,"Out of Sight, Out of Mind: Out-of-Office Test Result Management",United States,specialist clinic; hospital outpatient,labs ordered; lab interpretation; follow-up; specialist review,Giant cell arteritis monitoring / relapse risk,unknown,unknown,unknown,unknown,unknown,unknown,"Enforce patient-identifier confirmation, abnormal-result task persistence, and coverage acknowledgment until action completed.",https://psnet.ahrq.gov/web-mm/out-sight-out-mind-out-office-test-result-management,high,"Out-of-office workflows are diagnostic-safety workflows, not clerical side effects.",2026-05-30
B-012,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Delayed Recognition of a Positive Blood Culture,United States,inpatient ward; discharge; follow-up,lab interpretation; discharge; handoff; follow-up,Listeria bacteremia,unknown,unknown,unknown,unknown,unknown,unknown,"Create post-discharge microbiology result queue with accountable owner, escalation, and contamination-vs-pathogen context.",https://psnet.ahrq.gov/web-mm/delayed-recognition-positive-blood-culture,high,"This is a success after delayed recognition, because readmission and treatment occurred.",2026-05-30
B-013,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Delayed Diagnosis of Endocrinologic Emergencies,United States,emergency department; inpatient ward,medical history; labs ordered; lab interpretation; inpatient reassessment,Thyroid storm,unknown,unknown,unknown,unknown,unknown,unknown,Connect medication nonadherence due to cost + vital-sign pattern + pending labs into endocrine emergency alerts.,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencies,high,Medication access problems can be diagnostic clues.,2026-05-30
B-014,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Delayed Diagnosis of Endocrinologic Emergencies,United States,emergency department; inpatient ward; repeat admissions,repeat visit; medical history; lab interpretation; long-term monitoring,Myxedema coma / severe hypothyroidism,unknown,unknown,unknown,unknown,unknown,unknown,Add repeat-admission diagnostic reset that surfaces unresolved abnormal labs and medication-risk links such as amiodarone-thyroid disease.,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencies,high,Included as a repeated-visit/endocrine masking example from same PSNet analysis.,2026-05-30
B-015,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Myasthenic Crisis after Delayed Diagnosis in a Medically Complex Patient,United States,emergency department; inpatient ward; specialist clinic; follow-up,labs ordered; lab interpretation; discharge; specialist review; repeat visit,Myasthenia gravis / myasthenic crisis,unknown,unknown,unknown,unknown,unknown,unknown,Flag discordance between finalized lab results and notes that still say 'pending'; require abnormal-result diagnosis reconciliation before discharge.,https://psnet.ahrq.gov/web-mm/myasthenia-crisis-after-delayed-diagnosis-medically-complex-patient,high,Complex baseline disability increased masking risk.,2026-05-30
