Flow ID,Care setting,Country/region,Flow map,Roles involved,Tools/forms/scores,Key data collected,Decision points,Black zones embedded,Source URLs,Evidence quality
FM01,Emergency department,US/international,Arrival -> registration -> triage RN applies ESI decision A/B/C/D -> waiting/treatment area -> provider assessment -> labs/imaging/consults -> disposition,"patient, registration, triage RN, ED clinician, lab/radiology","ESI, danger-zone vitals","chief complaint, high-risk signs, vitals, resource needs",life-saving intervention? high risk? how many resources? vitals danger zone?,triage downgrade if complex but stable; pre-triage queue; prior visits not visible,"https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf
https://www.ncbi.nlm.nih.gov/books/NBK588197/",high
FM02,Emergency department,England,"Arrival -> register -> initial assessment: streaming/triage/RAT -> ED, UTC, SDEC/specialty, or off-site service -> ongoing treatment/discharge","patient, registration, registered clinician, RAT team, ED/UTC/specialty","streaming, triage, RAT, early warning scores","chief complaint, acuity, disposition, vitals",sickest first? right service? immediate treatment plan?,occult waits before registration; unsafe redirection; poor handoff between services,"https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/
https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf",high
FM03,ED pneumonia workflow,US,Walk-in/EMS -> front desk/triage RN -> intake RN -> provider evaluation -> labwork + chest X-ray -> CAP? -> CURB-65 -> admit vs outpatient antibiotics vs pursue other diagnosis,"front desk, triage RN, intake RN, provider, lab/radiology",CURB-65 CDS,"age, RR, BP, confusion, BUN, CXR",CAP likely? severity? inpatient warranted?,anchoring on CAP; missing alternative diagnoses; missing data elements,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,medium
FM04,Urgent treatment centre,England,Walk-in/booked/111 -> arrival -> nurse observations -> assessed by UTC clinician -> tests if available -> treated/prescribed or referred/escalated -> GP update,"reception, nurse, UTC clinician, GP/ED/specialist","UTC standards, observations, ECG/blood/X-ray availability","symptoms, observations, tests",treat onsite? need ED/specialist? has patient worsened?,patients wait by acuity; deterioration relies on patient telling staff; diagnostics vary,"https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/
https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/",medium-high
FM05,Urgent care digital front door,England,Arrival -> patient self-check-in on tablet/kiosk -> demographic match/NHS number -> guided symptom triage -> prioritise/redirect/refer -> clinician receives triage outcome,"patient, digital system, streaming clinician, receiving service","urgent care self-service, BaRS/service routing","demographics, symptoms, triage outcome",stay in ED/UTC? pharmacy/other service? urgent priority?,digital access/language; symptom nuance; no human observation during form completion,https://digital.nhs.uk/services/urgent-care-self-service-product,medium
FM06,NHS 111 online,England,Before visit -> patient enters age/sex/postcode + main symptom -> NHS Pathways questions -> outcome: 999/ED/UTC/GP/pharmacist/nurse callback/self-care -> receiving service,"patient, algorithm, callback clinician, Directory of Services","NHS Pathways, Directory of Services","main symptom, structured answers, location",emergency? callback? local service?,one-symptom-at-a-time; complex known conditions; directory mismatch,"https://111.nhs.uk/
https://digital.nhs.uk/services/nhs-111-online",medium
FM07,Modern GP access,England,Patient contacts by phone/online/in-person -> care navigation/admin or clinical triage -> GP/nurse/pharmacist/other professional -> labs/imaging/referral or self-care -> safety-net/follow-up,"patient, receptionist/care navigator, nurse/GP/pharmacist","care navigation, clinical triage, online consultation","reason, urgency, history, risk flags",admin request or clinical? same day? right professional?,routing without enough clinical detail; repeated contacts not linked,"https://www.england.nhs.uk/long-read/modern-general-practice-model/
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/",high
FM08,GP test result loop,England,Clinician orders test -> patient attends or not -> result returns or not -> trained staff/clinician review -> patient informed -> abnormal follow-up/referral -> filing/closure,"GP, nurse, admin, lab/imaging provider, patient","practice result protocol, EHR inbox","order, attendance, result, abnormality, reviewer, action",result returned? abnormal? who informs patient? action completed?,lost/non-returned results; clinician absence; filing without action,"https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/",high
FM09,Repeat symptom diagnostic safety-net,England,Initial visit -> low-risk/negative tests -> safety-net plan -> repeat presentation -> third presentation triggers reflect/review/rethink -> exam/peer review/tests/referral -> diagnosis or monitored plan,"patient, GP team, peer reviewer, specialist","Cancer Research UK safety netting, Jess's Rule","symptom duration, repeat count, tests, referrals, red flags",persistent? escalating? unexplained? third visit?,normal-test trap; multiple clinicians; repeat count across channels missing,"https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/",medium-high
FM10,Specialist referral assessment,England,GP/referrer creates e-RS referral -> provider RAS triages before booking -> book/redirect/return advice/request more info -> patient appointment or primary-care management -> follow-up,"referrer, provider triage clinician/admin, patient","e-RS RAS, worklists, referral templates","referral info, prior tests, triage comments",sufficient info? right service? appointment needed?,wrong worklist/status; patient confusion; advice without safety net,"https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services",high
