metric_id,research_topic,source_id,metric_name,metric_value,metric_unit,population_or_sample,country_or_region,setting_or_context,time_period,methodology_note,why_it_matters,source_url_or_identifier,evidence_quality,notes,date_packaged
M-001,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,symptom dismissed case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Patient's stated severity or persistence is treated as low-signal.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-002, B-006, B-019, B-020, B-023, B-024",2026-05-30
M-002,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,mental-health misattribution case count,3,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Physical illness is explained as anxiety/panic/stress before high-risk alternatives are ruled out.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-003, B-021, B-023",2026-05-30
M-003,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,normal-test trap case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,A normal prior/current test is overgeneralized beyond its scope or timing.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-003, B-004, B-009, B-016, B-021, B-023",2026-05-30
M-004,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,abnormal result not followed up case count,9,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Abnormal lab/imaging/result exists but does not become action.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-005, B-008, B-011, B-012, B-013, B-015, B-017, B-018, B-019",2026-05-30
M-005,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,repeated visits ignored case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Return visits are handled as new isolated encounters instead of escalation signals.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-006, B-009, B-010, B-024, B-025, B-028, B-030",2026-05-30
M-006,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,no one connected the dots case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Signals distributed across time, specialties, or notes never assemble into a pattern.",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-002, B-009, B-014, B-024, B-028, B-032",2026-05-30
M-007,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,poor handoff case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Important data crosses team/shift/setting boundaries without reliable receipt/action.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-007, B-008, B-011, B-012, B-017, B-018",2026-05-30
M-008,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,no follow-up ownership case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"A necessary next step exists, but no named accountable person owns it.",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-005, B-011, B-012, B-017, B-018, B-025, B-027",2026-05-30
M-009,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,referral delay case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Patient needs another expertise/pathway but referral is late, absent, or not completed.",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-002, B-005, B-025, B-029, B-031, B-032",2026-05-30
M-010,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,red flag missed case count,9,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Time-sensitive warning sign is present but not elevated.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-004, B-005, B-006, B-007, B-010, B-013, B-016, B-030, B-031",2026-05-30
M-011,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,patient self-advocacy required case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Diagnosis advances only after patient/family insists, researches, or returns repeatedly.",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-002, B-003, B-020, B-021, B-023, B-024",2026-05-30
M-012,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,low-resource diagnostic supply gap case count,3,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,The test/referral needed to identify disease is unavailable or unreliable.,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-025, B-026, B-027",2026-05-30
