fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F001,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S001,"Diagnosis is a complex collaborative process involving patients, families, clinicians, systems, and tools.",Used as conceptual anchor for global diagnostic workflows.,US / generalizable,all care settings,diagnostic safety,high,https://www.nationalacademies.org/projects/IOM-HCS-13-03/publication/21794,unknown,2026-05-30
F002,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S002,"OECD report estimates that up to 15% of diagnoses in OECD countries may be inaccurate, delayed, or wrong.",Used to frame diagnostic safety as a high-income-system issue too.,OECD countries,all care settings,diagnostic safety metric,high,https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,unknown,2026-05-30
F003,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S003,"AHRQ reports an estimate of 795,000 Americans annually dying or becoming permanently disabled from disease misdiagnosis.",Used as US burden metric.,US,all care settings,diagnostic harm burden,high,https://www.ahrq.gov/diagnostic-safety/index.html,unknown,2026-05-30
F004,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S004,AHRQ PSNet ED review summary estimated roughly 1 in 18 ED patients receive an incorrect diagnosis.,Emergency department diagnostic safety metric.,US,emergency department,ED diagnostic error,high,https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,unknown,2026-05-30
F005,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S005,HSSIB found GP systems did not reliably surface unresolved symptoms or repeated visits across different clinicians.,Used for UK GP continuity black zone.,England,primary care / GP,continuity failure,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,unknown,2026-05-30
F006,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S006,"UK ombudsman identified repeated scan-reading and scan-follow-up failures, including abnormality not identified and results not properly followed up.",Used for abnormal-result closure black zone.,UK,imaging / hospital,diagnostic result follow-up,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,unknown,2026-05-30
F007,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S008,Israel has universal NHI coverage through four competing nonprofit health plans with strong health-plan EHR integration.,Used for Israel integrated health-plan model.,Israel,primary care / specialist care,health-system structure,high,https://www.commonwealthfund.org/international-health-policy-center/countries/israel,unknown,2026-05-30
F008,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S010,"Bedouin communities in Israel face physical access, health-literacy, language/cultural, and out-of-system continuity barriers.",Used for underserved/periphery cultural access pattern.,Israel / Negev Bedouin,community / primary care,underserved access,medium,https://link.springer.com/article/10.1186/s12939-025-02398-2,unknown,2026-05-30
F009,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S011,"India has weak practical gatekeeping, a large public/private/informal ecosystem, slow EHR adoption, and no universal patient identifier.",Used for India fragmented-care model.,India,public/private care,fragmented care,high,https://www.commonwealthfund.org/taxonomy/term/8,unknown,2026-05-30
F010,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S012,A referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,Used as successful low-resource/community linkage example.,India,community / TB pathway,TB diagnostic delay,high,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,unknown,2026-05-30
F011,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S014,China does not generally require referrals and ED information is not routinely sent to primary-care doctors.,Used for open-access/hospital-first continuity risk.,China,hospital outpatient / ED,open access / continuity,high,https://www.commonwealthfund.org/taxonomy/term/3,unknown,2026-05-30
F012,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S017,Brazil Family Health Strategy teams cover defined households but specialty access remains a major bottleneck causing long queues and diagnostic delays.,Used for CHW and referral bottleneck pattern.,Brazil,community health / referral,CHW / referral bottleneck,high,https://www.commonwealthfund.org/taxonomy/term/5436,unknown,2026-05-30
F013,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S018,Mexico has a segmented system with private providers delivering substantial outpatient care but poorly integrated into public networks.,Used for public/private fragmentation pattern.,Mexico,public/private outpatient,fragmented care,high,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico,unknown,2026-05-30
F014,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S020,Tanzania cancer pathway study reported median delay of 358 days from first symptom to diagnosis.,Used as low-resource diagnostic delay case.,Tanzania,cancer diagnosis pathway,cancer delay,high,https://link.springer.com/article/10.1186/s12913-021-07438-5,unknown,2026-05-30
F015,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S021,"WHO RAcE/iCCM trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",Used for CHW first-assessment model.,Sub-Saharan Africa,community health,CHW workflow,high,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,unknown,2026-05-30
F016,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S022,"WHO Europe reports migrants/refugees face barriers including unclear entitlements, limited interpreters/cultural mediators, financial barriers, discrimination, and poor living conditions.",Used for migrant/refugee access black zones.,Europe,migrant/refugee care,migrant access barriers,high,https://www.who.int/europe/health-topics/refugee-and-migrant-health,unknown,2026-05-30
F017,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S023,NHS England reports people with limited English can struggle at all points and inconsistent interpreting can prevent engagement.,Used for language barrier workflow design.,England,all NHS settings,language access,high,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/,unknown,2026-05-30
F018,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S026,Canadian Indigenous patients may have symptoms taken less seriously and stereotypes can lead to misdiagnosis or neglect.,Used for cultural-safety and racism black zones.,Canada,ED / hospital,Indigenous health equity,medium,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,unknown,2026-05-30
F019,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S027,"AIHW reports 32% of Indigenous Australians who did not access needed services cited cultural reasons such as language, discrimination, or cultural appropriateness.",Used for cultural-safety access barrier metric.,Australia,all settings,cultural safety,high,https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,unknown,2026-05-30
F020,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S030,"GAO reports rural US residents face fewer providers, longer travel, transportation barriers, and less broadband.",Used for rural high-income access pattern.,Rural US,rural care / telehealth,rural access,high,https://www.gao.gov/products/gao-23-106651,unknown,2026-05-30
