fact_id,source_ids,category,fact,product_relevance,fact_or_interpretation,date_packaged,research_topic
F001,S001,Terminology,"In clinical/biological contexts, second brain can refer to the enteric nervous system in the gut.","This means product naming should clarify that the platform is a medical-memory concept, not gut-brain biology.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F002,S002,Generic second brain,"Popular second-brain systems focus on capturing, organizing, distilling, and using knowledge later.","Healthcare needs a modified model because medical memory must handle safety, uncertainty, responsibility, and review.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F003,S003,Diagnostic process,Diagnosis is collaborative and system-dependent.,"A health platform should support patient-clinician-team memory, not just individual patient storage.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F004,S004,Patient digital records,Patient-centered digital health records show possible benefits but evidence remains mixed/needs stronger studies.,Do not assume record access alone solves diagnostic continuity.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F005,S005;S020,Patient correction,"Shared notes can help patients identify errors, gaps, and safety blind spots.",Patient correction should be built into the product as a safety loop.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F006,S006,Loop closure,Portal access and reading notes can be associated with better test/referral loop closure.,"Patient-visible follow-up status may improve safety, but gaps remain.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F007,S007,Patient co-authoring,Patients can submit previsit agenda/history information through notes/portals.,Previsit Health Thread updates are feasible.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F008,S008,Patient diagnostic input,"Patient/family contributions can reveal diagnostic-process risks such as repeat visits, access barriers, test/referral issues, coordination issues, and communication breakdowns.","Patient story should be treated as diagnostic-safety evidence, not just subjective narrative.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F009,S009,Problem lists,Problem lists and longitudinal records are important but vary in quality and need curation.,Health Threads should not simply duplicate a problem list; they should curate unresolved issues.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F010,S010,Test results,Closed-loop test-result communication depends on technology plus responsibility and process clarity.,"A memory platform must assign owners and states, not just display results.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F011,S011;S012,Follow-up failures,Missed imaging and lab follow-up can contribute to diagnostic delays or harm.,Pending/abnormal-result tracking should be a core safety feature.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F012,S013;S014,PGHD workflow,Patient-generated health data is useful only when integrated into clinician workflow with clear responsibilities and trend-based views.,"The platform should summarize trends and baseline changes, not dump raw logs.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F013,S015,Health IT risk,"Electronic record systems can themselves create missed, delayed, or incorrect care.","Implementation must include usability testing, feedback, safety monitoring, and governance.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F014,S016,Clinical safety,Digital health tools require clinical risk management and documented safety assurance.,High-risk features need hazard analysis and named clinical safety ownership.,fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F015,S017,Regulation,"Clinical decision support may fall under regulatory oversight depending on function, transparency, and intended use.","Avoid early claims of autonomous diagnosis; prioritize memory, communication, and follow-up support.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F016,S018;S019,Interoperability,"FHIR/SMART APIs can support access to patient records such as problems, observations, labs, notes, and documents.","Technical implementation is possible, but integration and permissions vary by market.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
F017,S021,Low-resource implementation,"Digital health initiatives require organizational, human, technological, and financial capacity.","Low-resource adaptations may need printable summaries, SMS, CHW support, and offline-friendly workflows.",fact,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
