Setting,Typical entry,First handler,Urgency/risk sorting tool,First data,Labs/imaging trigger,Who reviews results,Referral mechanism,Follow-up mechanism,Common blind spots,Product-design implication
Emergency department,walk-in/EMS/referral,registration + triage RN/streaming clinician,"ESI, streaming, RAT, early warning/vitals","chief complaint, appearance, vitals, high-risk state",ED clinician orders based on assessment/CDS,ED clinician; radiology/lab; consultant,"admit, discharge, specialist/SDEC, outpatient","discharge instructions, pending result system, repeat return",pre-triage wait; high-risk mimics; pending results,arrival-to-action timeline + high-harm differential checklist
Urgent care,walk-in/booked/111/GP,"intake staff, digital kiosk, nurse","red-flag list, vitals, UTC streaming","reason for visit, demographics, symptoms, observations",UTC/UC capability; ECG/blood/X-ray where available,urgent-care clinician; GP update,"ED transfer, GP, specialist, pharmacy",post-event message; patient returns if worse,non-clinical red-flag missed; wrong redirection,registration red-flag escalation + reassessment while waiting
Primary care,phone/online/in-person/repeat visit,care navigator or clinical triage,"care navigation, clinical triage, NICE criteria, safety-netting","symptoms, duration, history, meds, risk factors",GP/nurse orders; referral criteria,GP/nurse/admin result workflow,"e-RS/specialist, direct diagnostics, community service","safety-net plan, test/result tracking, repeat review",repeat visits not linked; normal-test trap; abnormal result inbox,unresolved symptom thread + result/referral closed loop
Community health center / FQHC,scheduled/walk-in/outreach/discharge,MA/nurse/care coordinator,"PCMH care gaps, preventive screening, triage","reason, vitals, social needs, outside records",clinic labs/FIT/screening; external referrals,clinician/navigator; outside GI/hospital data,hospital/referral arrangements; navigators,"care coordination, navigator worklists",outside results missing; safety-net access barriers,integrate outside events + barrier-resolution tracker
Rural/low-resource OPD,walk-in/community referral,nurse/health worker,IITT/IMCI algorithm/danger signs,"history, signs/symptoms, vitals if possible",limited; algorithm may replace diagnostics,clinician if available; referral facility,"paper/referral form, transport","caregiver advice, return/referral",no triage; referral failure; supply gaps,offline algorithm + referral/counter-referral state
Telehealth / online,website/app/form/video/phone,"patient self-entry, algorithm, remote clinician","NHS Pathways, online consultation rules","main symptom, structured answers, photos, remote vitals",convert to in-person or order remotely,remote clinician / GP practice,ED/UTC/GP/pharmacy/callback,message/callback/follow-up task,physical exam absent; digital exclusion; single symptom framing,telehealth suitability gate + in-person conversion triggers
Specialist/referral assessment,GP referral/e-RS/advice request,provider triage clinician/admin,"RAS triage, referral criteria, diagnostic centre pathways","referral info, prior tests, symptom/risk details",direct-to-test or clinic-first decision,specialist/diagnostic service,book/redirect/return advice/request info,worklist + referrer/patient notifications,wrong worklist; insufficient info; advice-only no safety net,visible referral state + mandatory context fields
Hospital outpatient diagnostics,GP/ED/inpatient order/referral,diagnostic admin/technician,"critical-result alert, diagnostic appropriateness","order, clinical question, sample/image",ordered test performed,lab/radiology/requesting clinician,back to GP/specialist/inpatient team,"result acknowledgment, patient notification",report delivered but not acted on,action-required result owner + escalation timer
Public health screening,invitation/outreach/eligibility,programme/lab/screening centre/navigator,"risk age bands, FIT/mammography/HPV, metabolic risk strata","eligibility, sample/image/labs, questionnaire",abnormal screen triggers diagnostic tests,"programme, specialist nurse, clinician, insurer",colonoscopy/assessment clinic/colposcopy/guidance,"recall interval, navigation, confirmation checkup",non-return; positive screen no diagnostic closure; false reassurance,invitation-to-diagnosis funnel + non-return outreach
Home/community visit,household visit/CHW outreach,CHW/ASHA/CHO,"danger signs, empanelment, screening registry","family/household data, symptoms, adherence, social risks",screening or referral to HWC/clinic,CHO/nurse/doctor/referral facility,two-way referral/counter-referral,"home revisit, registry, adherence support",community signal not in clinical record; referral loop fails,structured CHW notes + two-way referral closure
