Black-zone tag,Where it appears,Documented examples,Signals lost,Likely mechanism,Design implication,Example source URLs,Evidence quality
doctor did not listen / symptom dismissed,"primary care, A&E, specialist",Endometriosis UK survey; PHSO family quote in scan case; Healthwatch waiting reports,"pain severity, patient concern, duration","bias/minimization, time pressure, normal tests",Capture patient concern verbatim; repeat concerns prompt review.,"https://www.endometriosis-uk.org/diagnosis-report
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care",medium-high
mental-health misattribution,"primary care, telehealth, ED",Jess's Rule origin story and many rare/chronic patient stories show unexplained symptoms attributed to benign causes,"progressive symptoms, objective change, patient baseline","anchoring, demographic assumptions",Require 'what else could this be?' differential when persistent symptoms recur.,"https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://www.rarediseaseday.org/heroes/the-diagnosis-they-missed-a-journey-from-dismissal-to-advocacy/",medium-low
normal-test trap,"primary care, screening, ED",Cancer safety-netting explicitly says monitor persistent symptoms after negative tests; NHS bowel screening says negative FIT does not rule out cancer if symptoms occur,ongoing symptoms despite normal lab/imaging/screen,test result treated as diagnosis closure,Negative result should trigger symptom-status check and follow-up plan.,"https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/",high
abnormal result not followed up,"GP labs, radiology, screening, hospital discharge",CQC test result guidance; HSSIB radiology; PHSO scan failures; FQHC abnormal FIT navigation,"abnormal value/finding, critical imaging, positive FIT",no owner; inbox/worklist failure; patient not notified,"Closed-loop result action with owner, due date, patient notification and escalation.","https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.sciencedirect.com/science/article/pii/S221133552300102X",high
referral delay,"primary care to specialist, HWC to referral facility, FQHC to colonoscopy",Healthwatch waits; e-RS RAS; PRECISE/FQHC navigation; India HWC referral,referral sent but not accepted/booked/completed,"waitlists, more-info loops, transport/cost barriers","Track referral state as steps, not binary referred/not referred.","https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care
https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf",medium-high
wrong specialty / wrong service,"urgent care redirection, e-RS, NHS 111",NHS 111 Directory of Services; e-RS redirect/return; UTC redirection,clinical fit to service,service directory mismatch; insufficient triage context,Show confidence and alternatives; audit redirect failures and returns.,"https://digital.nhs.uk/services/nhs-111-online
https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/",medium
fragmented care / no one connected the dots,"primary care repeat visits, ED returns, chronic disease",Brian HSSIB case; primary-care diagnostic error trigger studies; Israel/EMR caveat,"repeated presentations, prior cancer, outside visits",multiple clinicians and systems; history not surfaced,Episode-based timeline across channels and organizations.,"https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/",high
incomplete history,"telehealth, care navigation, ED/UC intake, low-resource algorithms","AHRQ telehealth, BMA navigation, UCA red flags, IMCI","family history, prior results, duration, red flags","short forms, role boundaries, patient language/literacy",Progressive history capture: minimal fields + clinician review for uncertainty.,"https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/",medium-high
missing family/history / prior-risk context,primary care and ED,Brian case: prior breast cancer not integrated with repeated back pain pattern,"prior cancer or high-risk condition, family history",record exists but not prominent in workflow,High-risk history cards tied to current symptom categories.,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,high
lab/vital trend missed,"primary care, HEARTS, HWC, urgent care","BP protocols, HWC NCD screening, urgent care vitals, CKD stories",worsening BP/eGFR/labs/vitals over time,single-visit view; no trend alert,Trend graph + threshold crossing + overdue review.,"https://www.paho.org/en/hearts-americas/hypertension-clinical-pathways
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf
https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/",medium
