review_id,research_topic,source_id,source_platform_or_type,country_or_region,setting_or_context,review_or_complaint_excerpt_short,complaint_context,process_step,complaint_type,what_person_wanted,what_service_or_staff_did,what_was_missed_or_failed,outcome_if_known,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
R001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S001,public patient review,UK,hospital / acute assessment,I felt completely dismissed and silenced.,Patient described doctor cutting off symptom history and demanding yes/no answers.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1429947,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S002,public patient review,UK,primary care,They decided to only treat the acid reflux.,Autistic patient brought advocate and list of priorities; only reflux addressed.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1258944,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S003,public emergency department review,"Scotland, UK",emergency department,Still in severe pain and still have no idea.,Patient discharged from ED after bloods and X-ray interpreted as reassuring.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1117906,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S004,public family review,"England, UK","A&E, GP, ambulance/111",No one listened to us.,Relative reported severe back pain after bowel cancer dismissed across services.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1349233,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S005,public parent review,"Scotland, UK",CAMHS / adolescent mental health,Refused to listen properly.,Parent said initial CAMHS psychiatrist dismissed family input and genetics/family history.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/176152,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S006,public patient review with service response,"Scotland, UK",primary care to mental health referral,Not even meeting me.,Patient said psychiatrist declined ADHD assessment without patient encounter.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1167674,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S007,public patient review,"England, UK","A&E, physiotherapy, community services",No one had told me initially.,Patient found diagnostic language in portal and felt letters framed things inconsistently.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1378025,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S018,advocacy patient story,UK,GP to specialist gynecology,Too many women worry about endometriosis.,Patient recalled specialist comment during endometriosis referral review.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/tayas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S019,advocacy patient story,UK,"primary care, fertility clinic, gynecology",Normal part of womanhood.,Patient said severe adolescent symptoms were normalized.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/orlas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
R010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S020,advocacy patient story,UK,primary care to gynecology,Finally had answers after 27 years.,Patient reflected on long endometriosis diagnostic delay.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/dipikas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30
