Region / system type,Evidence refs,Product adaptation,May not work if,date_packaged,research_topic
UK / NHS GP-gatekeeper + e-RS + online consultation,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM07-FM11; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E005/E006/E007; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::S011/S036,"Repeat-visit reset, GP continuity view, online intake complexity escape hatch, e-RS referral status taxonomy, Martha’s Rule-style escalation path.",Primary care capacity and referral queues cannot accept extra work without owner/worklist design.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
US / insurance-network and fragmented EHR ecosystem,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001/E002/E014/E015/E016; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S30/S31/S52/S56; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-031,"Cross-organization record import, result/referral closure, cost/insurance/medication access fields, EHR inbox prioritization.",Interoperability or consent barriers prevent data sharing.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Israel / integrated health plans + underserved periphery,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::E007/E008; C004,"Leverage integrated health-plan data for longitudinal tracking; add out-of-system visits, language/cultural access and transport barriers for Bedouin/periphery communities.",Out-of-system/private care remains invisible or digital access is poor.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
India / fragmented public-private-informal + HWC/ASHAs,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::E009/E010/C005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM12; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E019,"Patient-held record import, CHW/informal referral capture, diagnostic vouchers, offline/low-bandwidth referral tracking, local-language education.","No supervision, no referral slots, no diagnostic capacity or no patient identifier.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
China / open-access specialist and hospital-first pathways,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::E011,Do not assume a stable GP owner; patient-held diagnostic episode and hospital-to-primary handoff summaries are critical.,Hospitals do not share data or patients shop across facilities without common ID.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Brazil / Family Health Strategy and CHW household model,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::E012; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S43,"Household registry, CHW follow-up queues, referral bottleneck dashboard, counter-referral tracking.",Specialty queues remain long and unresolved referrals cannot be acted on.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
"Sub-Saharan Africa / low-resource cancer, malaria, iCCM pathways",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C006/C007; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-025/B-026/B-027; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S39/S40/S41/S42,"Stockout-aware protocols, referral completion maps, community danger-sign algorithms, paper/SMS workflows, transport/cost fields.","Tools assign tasks without diagnostics, medicines or referral transport.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Indigenous communities / cultural-safety overlay,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C008/C009; S026/S027/S028,"Cultural liaison routing, anti-bias triage audit, did-not-wait prevention, family/community concern capture.","No staffing, no Indigenous governance, or data used without community trust.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Migrant/refugee health overlay,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C010; S022/S023/S024/S025,"Interpreter workflow, translated summaries, screening/immunization reconstruction, entitlement/registration help, patient-held record import.","Eligibility fear, privacy concerns or lack of interpreter capacity prevent use.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Japan/Korea / national screening-heavy workflows,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S45/S46; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::S015/S016,"Screening result follow-up, abnormal-screen diagnostic completion, clear “negative screen does not rule out symptoms” messaging.",Screening programs and symptomatic care records are not connected.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Rural high-income settings,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::S029/S030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::rural/telehealth notes,"Telehealth-to-in-person conversion criteria, broadband/transport fields, local diagnostic availability map, referral travel planning.","Broadband, transport and specialist scarcity are not addressed.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
