backlog_id,feature_name,priority,release_theme,evidence_status,risk_level,complexity,expected_value,primary_user,problem_solved,acceptance_criteria,must_have_guardrail,internal_evidence_refs,source_links
F-01,Rich symptom timeline and patient narrative intake,P0,MVP patient voice,strongly supported,medium,medium,high,patient; caregiver; doctor; nurse,"Short, single-symptom forms and rushed histories lose duration, severity, patient concern, prior failed visits, and functional impact before clinician review.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",keep narrative clearly labeled as patient-reported; summarize only clinically relevant deltas; allow clinician review/edit; support translation and accessibility,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E015, E020, E022, C020, C022, Q002 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-020, B-022, B-023, Q-001, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: E001, C001, C003, Q001, Q003 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E011, Q005, Q004","https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.endometriosis-uk.org/diagnosis-report
https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears
https://www.careopinion.org.uk/1429947
https://www.careopinion.org.uk/1117906
https://link.springer.com/article/10.1186/s12875-024-02526-x"
F-02,What-changed-from-normal and daily-function capture,P2,Longitudinal intake,supported by some evidence,medium,medium,medium-high,patient; doctor; nurse,"Hidden, chronic, fluctuating, and rare conditions may look non-urgent at a single visit unless the system captures deterioration from the patient’s personal baseline.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.","show trend and examples rather than algorithmic diagnosis; calibrate alerts to persistence, deterioration, and red flags","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022, C052, E052 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-021, B-022, B-023, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C012, C013, Q009, Q010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004","https://www.endometriosis-uk.org/diagnosis-report
https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://www.endometriosis-uk.org/tayas-story
https://www.endometriosis-uk.org/orlas-story
https://link.springer.com/article/10.1186/s12875-024-02526-x"
F-03,High-risk history and family-history cards,P1,Context surfacing,strongly supported,medium,medium,high,doctor; nurse; patient; caregiver,"Prior cancer, family history, previous diagnoses, and caregiver observations can exist in records or family reports but fail to influence the current diagnostic frame.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",rank by current symptom relevance and recency; keep provenance; allow clinician suppression with reason,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, E020 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C004, C005, Q004, Q005 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: C001, E005 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E021","https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.careopinion.org.uk/1349233
https://www.careopinion.org.uk/176152
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/"
F-04,"Medication, access, and affordability as diagnostic clues",P3,Social/access signal layer,region-specific / needs caution,high,medium,medium,patient; doctor; nurse; CHW; social worker,"Medication interruption, inability to pay, lack of transport, or supply/device problems may cause deterioration or block diagnostic completion but are often hidden in clinical notes.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",ask neutrally; separate from adherence judgment; route aggregate stockout/access data to system managers; show support options,"research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-013 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, S020, 05_implications/product_or_system_implications.md | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017","https://psnet.ahrq.gov/web-mm
https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/
https://link.springer.com/article/10.1186/s12913-021-07438-5
https://psnet.ahrq.gov/issue/diagnostic-excellence-us-rural-healthcare-call-action
https://www.gao.gov/products/gao-23-106651
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
F-05,Longitudinal unresolved-problem tracker / diagnostic episode layer,P0,MVP safety backbone,strongly supported,high,high,very high,doctor; nurse; specialist; patient,"Multiple visits, labs, referrals, messages, and symptoms are treated as separate transactions, so no one sees the unresolved problem as one diagnostic episode.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",make clusters explainable; allow clinician merge/split/close with rationale; prioritize persistence + deterioration + red flags over volume alone,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E020, E021, E051, C020, C051 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-001, B-009, B-014, B-020, B-021, M-005, M-006 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E005, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021, 05_implications/product_or_system_implications.md","https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://psnet.ahrq.gov/web-mm
https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/"
F-06,Repeat-visit diagnostic reset,P0,MVP safety backbone,strongly supported,medium-high,medium-high,high,doctor; nurse; triage clinician,Return visits are often handled as new isolated encounters instead of an escalation signal requiring diagnostic reconsideration.,"Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",frame as “diagnostic reset” not error accusation; permit clinician override; require meaningful similarity/worsening criteria,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E021, C021, C020 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-005, B-006, B-010, B-028, B-030 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021","https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://wwwnc.cdc.gov/eid/article/30/1/23-0924_article
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/"
F-07,Normal-test safety net and test-scope explainer,P1,Safety-netting,strongly supported,high,medium-high,high,doctor; patient; nurse,A normal or incomplete test can be mistaken for diagnostic closure even when symptoms persist or the test does not rule out the feared condition.,"Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.","clinician-reviewed language; targeted to persistent/red-flag symptoms; patient-facing text uses calm uncertainty, not diagnosis claims","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E018, C034, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-003, B-001, B-003, B-004, B-016 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C003, C007, Q003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md","https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.ncbi.nlm.nih.gov/books/NBK588197/
https://psnet.ahrq.gov/web-mm
https://www.careopinion.org.uk/1117906
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings
https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html"
F-08,Closed-loop abnormal result ownership ledger,P0,MVP safety backbone,strongly supported,high,high,very high,doctor; nurse; admin; patient; specialist,"Abnormal labs, imaging, pathology, microbiology, and screening results can be available or filed but not acted on, communicated, or followed to closure.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",risk-rank by clinical urgency; separate acknowledgement from action; escalation only when owner/deadline/action missing,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C024, C025, C032, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-004, B-011, B-012, B-017, B-018 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, C011, M001 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, M002, M003, M004, E015 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E006, E022","https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/
https://www.sciencedirect.com/science/article/pii/S221133552300102X
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/investigation-report/
https://psnet.ahrq.gov/web-mm
https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/
https://www.hdc.org.nz/decisions/search-decisions/2012/10hdc01419/
https://www.hdc.org.nz/news-resources/search-resources/articles/follow-up-of-test-results/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753
https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/"
F-09,Pending-test discharge contract,P1,Closed-loop care,supported by some evidence,high,medium,high,patient; doctor; nurse; admin,"Patients may leave ED/inpatient/urgent care before all results return, with no clear owner, timing expectation, or patient-facing plan.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",use calm language and explicit contact routes; integrate with ownership ledger; escalation if owner unavailable,"research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-012, B-017, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C026, E026 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S010, C007","https://psnet.ahrq.gov/web-mm
https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html
https://www.ombudsman.org.uk/publications/spotlight-sepsis-your-stories-your-rights/sepsis-caused-poor-discharge-and-lack-follow
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings"
F-10,Referral completion and wrong-specialty tracker,P1,Closed-loop care,strongly supported,medium-high,high,very high,admin; doctor; specialist; patient; caregiver,"A referral being placed is often mistaken for the problem being handled, while real-world referrals can be rejected, delayed, sent to the wrong specialty, missing information, unaffordable, or never attended.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",distinguish system delay/cost/transport from patient choice; local-configurable statuses; escalation by risk and elapsed time,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C027, C028, C029, C023 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-009, B-024, B-029, B-032 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C006, C015, S016 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M008, E013, E014 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md","https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services
https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services
https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/
https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/
https://www.careopinion.org.uk/1167674
https://www.hdc.org.nz/decisions/search-decisions/2025/21hdc01378/
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://bmjopenquality.bmj.com/content/10/4/e001603
https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/"
