insight,status,problem_statement,evidence_basis,interpretation,contradictions_or_limits,next_evidence_needed,internal_evidence_refs
Rich symptom timeline and patient narrative intake,strongly supported,"Short, single-symptom forms and rushed histories lose duration, severity, patient concern, prior failed visits, and functional impact before clinician review.",Patient-flow and clinician packages flag incomplete history and single-symptom routing; patient complaints show dismissal and unexplained symptoms; missed-signal cases tie patient voice/severity capture to delayed diagnosis patterns.,"Structured + free-text intake: timeline builder, “what changed from normal?”, “what worries you most?”, impact on daily life, prior visits/tests, patient theory, and optional photos/documents.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E015, E020, E022, C020, C022, Q002 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-020, B-022, B-023, Q-001, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: E001, C001, C003, Q001, Q003 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E011, Q005, Q004"
What-changed-from-normal and daily-function capture,supported by some evidence,"Hidden, chronic, fluctuating, and rare conditions may look non-urgent at a single visit unless the system captures deterioration from the patient’s personal baseline.","Cases around endometriosis, POTS/dysautonomia, ME/CFS functional decline, CKD stories, rare disease delays, and clinician time-pressure sources point to baseline change and function as diagnostic signals.","Baseline-change module with patient-selected anchors: work/school/activity, sleep, eating/drinking, mobility, self-care, and symptom-free baseline.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022, C052, E052 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-021, B-022, B-023, Q-005 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C012, C013, Q009, Q010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004"
High-risk history and family-history cards,strongly supported,"Prior cancer, family history, previous diagnoses, and caregiver observations can exist in records or family reports but fail to influence the current diagnostic frame.",The Brian continuity-of-care case centered on prior cancer plus repeated back pain not being connected; patient-complaint cases include prior cancer and family-history signals ignored.,Persistent high-risk history card that attaches to symptom categories and repeat visits; caregiver/family-history prompt when relevant.,No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, E020 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C004, C005, Q004, Q005 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: C001, E005 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E021"
"Medication, access, and affordability as diagnostic clues",region-specific / needs caution,"Medication interruption, inability to pay, lack of transport, or supply/device problems may cause deterioration or block diagnostic completion but are often hidden in clinical notes.","Missed-signal product opportunities include medication/access as a clue; global and low-resource evidence shows cost, transport, and diagnostic access shape whether conditions are identified.","Sensitive access-risk field with options for cost, transport, stockout, insurance, medicine interruption, device shortage, and preferred support referral.",Evidence supports this in some system types; may not fit integrated high-resource systems or settings without referral capacity. Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-013 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, S020, 05_implications/product_or_system_implications.md | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017"
Longitudinal unresolved-problem tracker / diagnostic episode layer,strongly supported,"Multiple visits, labs, referrals, messages, and symptoms are treated as separate transactions, so no one sees the unresolved problem as one diagnostic episode.","All five packages repeatedly identify repeat visits, no follow-up ownership, and no-one-connected-the-dots as black zones; clinician and global packages explicitly recommend a longitudinal unresolved-problem tracker or diagnostic episode layer.","Diagnostic episode object that clusters unresolved symptoms, visits, tests, referrals, patient check-ins, and open questions until a clinician closes or reframes it.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E020, E021, E051, C020, C051 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-001, B-009, B-014, B-020, B-021, M-005, M-006 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E005, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021, 05_implications/product_or_system_implications.md"
Repeat-visit diagnostic reset,strongly supported,Return visits are often handled as new isolated encounters instead of an escalation signal requiring diagnostic reconsideration.,"Jess’s Rule, Brian continuity case, ED/primary-care cases, and Research B tag counts show repeated visits ignored across settings.","Automatic repeat-presentation banner with prior diagnosis, unresolved symptom, what changed, dangerous alternatives, and required safety-net plan.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E021, C021, C020 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-005, B-006, B-010, B-028, B-030 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C008, M002 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E005, E021"
Normal-test safety net and test-scope explainer,strongly supported,A normal or incomplete test can be mistaken for diagnostic closure even when symptoms persist or the test does not rule out the feared condition.,"Normal-test trap appears across ED, screening, primary care, chronic disease, and missed-signal case libraries; patient complaints include severe pain after normal bloods/X-ray and PE after clear CXR.","For selected tests, show date/scope/limitations, symptom status after result, “what this does not rule out,” and safety-net check-in date.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E018, C034, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-003, B-001, B-003, B-004, B-016 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C003, C007, Q003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md"
Closed-loop abnormal result ownership ledger,strongly supported,"Abnormal labs, imaging, pathology, microbiology, and screening results can be available or filed but not acted on, communicated, or followed to closure.","Clinician package reports alert overload and missed abnormal results; patient safety and complaint cases document missed histology, Bence Jones protein, radiology findings, and critical echo follow-up; Research B counts 9 abnormal-result-not-followed-up cases.","Ownership ledger: result severity, named owner, due date, acknowledgement, action plan, patient notified, escalation path, closure reason.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C024, C025, C032, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-004, B-011, B-012, B-017, B-018 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, C011, M001 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, M002, M003, M004, E015 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E006, E022"
Pending-test discharge contract,supported by some evidence,"Patients may leave ED/inpatient/urgent care before all results return, with no clear owner, timing expectation, or patient-facing plan.",Research B proposes a pending-test discharge contract; hospital diagnostic excellence and patient complaint cases show discharge and follow-up ownership risks.,"Discharge checklist listing pending tests, expected result window, owner, patient contact plan, red flags, and escalation instructions.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-012, B-017, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C026, E026 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S010, C007"
Referral completion and wrong-specialty tracker,strongly supported,"A referral being placed is often mistaken for the problem being handled, while real-world referrals can be rejected, delayed, sent to the wrong specialty, missing information, unaffordable, or never attended.","Referral-loop failure is a high-confidence theme across clinician, patient-flow, global, and complaint packages; patient stories include rejected ADHD referral and wrong-specialty rectal cancer loop.","Referral state machine: drafted, sent, received, triaged, more-info-needed, rejected, booked, attended, report returned, next-step closed; patient-visible explanation.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C027, C028, C029, C023 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-009, B-024, B-029, B-032 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C006, C015, S016 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M008, E013, E014 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md"
