source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S001,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Improving Diagnosis in Health Care,https://www.nationalacademies.org/projects/IOM-HCS-13-03/publication/21794,medical literature / national report,"National Academies of Sciences, Engineering, and Medicine",2015,2026-05-30,US / generalizable,all care settings,high,Diagnosis is framed as a complex collaborative process; diagnostic errors occur across settings and most people may experience one in their lifetime.,01_sources/raw_sources/reports/s001_improving_diagnosis_in_health_care.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S002,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",The Economics of Diagnostic Safety,https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,public health-system report,OECD,2025,2026-05-30,OECD countries,all care settings,high,"OECD diagnostic-safety report estimating that up to 15% of diagnoses may be inaccurate, delayed, or wrong.",01_sources/raw_sources/reports/s002_oecd_diagnostic_safety.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S003,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Diagnostic Safety and Quality,https://www.ahrq.gov/diagnostic-safety/index.html,patient safety / government resource,AHRQ,unknown,2026-05-30,US,all care settings,high,AHRQ resource reporting high burden of death and permanent disability from disease misdiagnosis.,01_sources/raw_sources/reports/s003_ahrq_diagnostic_safety.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S004,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Diagnostic Errors in the Emergency Department: A Systematic Review,https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,evidence review summary,AHRQ PSNet,unknown,2026-05-30,US,emergency department,high,ED diagnostic-error review summary; estimated roughly 1 in 18 ED patients receive incorrect diagnosis.,01_sources/raw_sources/reviews/s004_ed_diagnostic_errors.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S005,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Continuity of care: delayed diagnosis in GP practices,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,patient safety investigation,HSSIB,2025,2026-05-30,England,primary care / GP / ED / physiotherapy,high,Investigation using delayed metastatic-cancer diagnosis case to show continuity and IT failures in GP practice workflows.,01_sources/raw_sources/reports/s005_hssib_continuity_gp.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S006,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Patients being harmed due to repeated mistakes reading scans,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,patient complaint / ombudsman report,Parliamentary and Health Service Ombudsman,2025,2026-05-30,UK,imaging / hospital / ED,high,Ombudsman report on scan interpretation and follow-up failures causing patient harm.,01_sources/raw_sources/reports/s006_phso_scan_failures.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S007,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",More action on sepsis needed as NHS Ombudsman still seeing same failings a decade on,https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade,patient complaint / ombudsman report,Parliamentary and Health Service Ombudsman,2023,2026-05-30,UK,hospital / ED / inpatient,high,"Ombudsman report describing repeated failures in sepsis diagnosis, treatment, communication, and follow-up.",01_sources/raw_sources/reports/s007_phso_sepsis.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S008,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: Israel,https://www.commonwealthfund.org/international-health-policy-center/countries/israel,health-system profile,Commonwealth Fund,unknown,2026-05-30,Israel,primary care / specialist / ED,high,"Profile of Israel universal health plans, access, referral structure, and care coordination features.",01_sources/raw_sources/reports/s008_commonwealth_israel.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S009,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Health Systems in Action: Israel 2024,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-israel-2024,health-system report,European Observatory on Health Systems and Policies,2024,2026-05-30,Israel,health system / periphery access,high,System profile noting regional workforce disparities and other health-system challenges.,01_sources/raw_sources/reports/s009_israel_hsia.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S010,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Healthcare access and barriers among Bedouin communities in Israel,https://link.springer.com/article/10.1186/s12939-025-02398-2,peer-reviewed study,International Journal for Equity in Health / authors unknown,2025,2026-05-30,Israel / Negev Bedouin,community / primary care,medium,"Study of physical access, health-literacy, and out-of-system care barriers among Bedouin communities.",01_sources/raw_sources/articles/s010_bedouin_healthcare_barriers.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S011,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: India,https://www.commonwealthfund.org/taxonomy/term/8,health-system profile,Commonwealth Fund,unknown,2026-05-30,India,public/private primary care / CHC / hospital,high,"Profile of Indian public, private, AYUSH, informal, and referral structures; notes weak gatekeeping and limited EHR adoption.",01_sources/raw_sources/reports/s011_commonwealth_india.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S012,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Non-allopathic provider referral intervention for TB diagnosis,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,peer-reviewed intervention study,PLOS Global Public Health / authors unknown,2026,2026-05-30,India,community / informal / TB diagnostic pathway,high,Referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,01_sources/raw_sources/articles/s012_india_tb_referral.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
