fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F-001,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'symptom dismissed' appeared in 6 case-library rows.,Patient's stated severity or persistence is treated as low-signal.,multiple,multiple care settings,symptom dismissed,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-002, B-006, B-019, B-020, B-023, B-024",2026-05-30
F-002,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'mental-health misattribution' appeared in 3 case-library rows.,Physical illness is explained as anxiety/panic/stress before high-risk alternatives are ruled out.,multiple,multiple care settings,mental-health misattribution,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-003, B-021, B-023",2026-05-30
F-003,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'normal-test trap' appeared in 7 case-library rows.,A normal prior/current test is overgeneralized beyond its scope or timing.,multiple,multiple care settings,normal-test trap,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-001, B-003, B-004, B-009, B-016, B-021, B-023",2026-05-30
F-004,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'abnormal result not followed up' appeared in 9 case-library rows.,Abnormal lab/imaging/result exists but does not become action.,multiple,multiple care settings,abnormal result not followed up,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-005, B-008, B-011, B-012, B-013, B-015, B-017, B-018, B-019",2026-05-30
F-005,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'repeated visits ignored' appeared in 7 case-library rows.,Return visits are handled as new isolated encounters instead of escalation signals.,multiple,multiple care settings,repeated visits ignored,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-006, B-009, B-010, B-024, B-025, B-028, B-030",2026-05-30
F-006,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'no one connected the dots' appeared in 7 case-library rows.,"Signals distributed across time, specialties, or notes never assemble into a pattern.",multiple,multiple care settings,no one connected the dots,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-001, B-002, B-009, B-014, B-024, B-028, B-032",2026-05-30
F-007,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'poor handoff' appeared in 6 case-library rows.,Important data crosses team/shift/setting boundaries without reliable receipt/action.,multiple,multiple care settings,poor handoff,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-007, B-008, B-011, B-012, B-017, B-018",2026-05-30
F-008,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'no follow-up ownership' appeared in 7 case-library rows.,"A necessary next step exists, but no named accountable person owns it.",multiple,multiple care settings,no follow-up ownership,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-005, B-011, B-012, B-017, B-018, B-025, B-027",2026-05-30
F-009,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'referral delay' appeared in 7 case-library rows.,"Patient needs another expertise/pathway but referral is late, absent, or not completed.",multiple,multiple care settings,referral delay,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-001, B-002, B-005, B-025, B-029, B-031, B-032",2026-05-30
F-010,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'red flag missed' appeared in 9 case-library rows.,Time-sensitive warning sign is present but not elevated.,multiple,multiple care settings,red flag missed,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-004, B-005, B-006, B-007, B-010, B-013, B-016, B-030, B-031",2026-05-30
F-011,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'patient self-advocacy required' appeared in 6 case-library rows.,"Diagnosis advances only after patient/family insists, researches, or returns repeatedly.",multiple,multiple care settings,patient self-advocacy required,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-002, B-003, B-020, B-021, B-023, B-024",2026-05-30
F-012,"Research B - missed signals, diagnostic errors, and late discovery cases",derived_from_case_library,Pattern 'low-resource diagnostic supply gap' appeared in 3 case-library rows.,The test/referral needed to identify disease is unavailable or unreliable.,multiple,multiple care settings,low-resource diagnostic supply gap,derived synthesis,04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,"B-025, B-026, B-027",2026-05-30
