research_topic,taxonomy_group,tag,definition,common_signal,example_case_ids,date_packaged
"Research B - missed signals, diagnostic errors, and late discovery cases",Cognitive closure,anchoring / premature closure,A plausible first label stops diagnostic search.,"Asthma, COVID, anxiety, gastroenteritis, seizure history","B-003, B-008, B-010, B-016, B-028",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Cognitive closure,normal-test trap,Normal old/wrong-scope/asymptomatic test falsely reassures.,Prior normal colonoscopy; normal resting ECG; limited MRI; noncontrast CT,"B-001, B-003, B-004, B-016",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Signal fragmentation,no one connected the dots,Symptoms/labs/visits across time and specialties remain separate.,Weight loss + abdominal pain; anemia trend; recurrent admissions,"B-001, B-009, B-014, B-024",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Signal fragmentation,wrong specialty / silo,Patient is routed to specialty that sees only one symptom domain.,GI vs gynecology; psychiatry vs cardiology; eating-disorder clinic vs GI,"B-002, B-003, B-024",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Result-management failure,abnormal result not followed up,A finalized abnormal test/result does not trigger patient care action.,"CRP, blood culture, thyroid test, AChR antibody, echo vegetation, radiology report","B-011, B-012, B-013, B-015, B-017, B-018",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Transition failure,poor handoff,"Critical information fails at EMS/ED, discharge, coverage, or team transition.","EMS ECG, radiology phone call, discharge pending result, out-of-office coverage","B-007, B-008, B-011, B-017",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Patient voice failure,doctor did not listen / symptom dismissed,"Patient-reported severity, persistence, or intuition is discounted.","Severe pain, persistent long-COVID symptoms, severe ME/CFS nutrition risk","B-002, B-019, B-020, B-022",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Bias/misattribution,mental-health misattribution,Symptoms attributed to anxiety/stress before physical conditions are addressed.,"Palpitations, dysautonomia symptoms, lupus symptoms","B-003, B-021, B-023",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Equity/resource failure,access barrier,"Insurance, distance, payment, or plural care pathway interrupts diagnosis.",No primary care/insurance; Ghana pathway; Kenya care-seeking,"B-025, B-026, B-031",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Equity/resource failure,low-resource diagnostic supply gap,Clinic lacks test supplies/equipment needed to confirm disease.,RDT stock-out; no microscopy,"B-026, B-027",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Repeat-visit failure,repeated visits ignored,Return visits do not trigger escalation or diagnostic reset.,"Sepsis, appendicitis, mesenteric ischemia, torsion","B-006, B-009, B-010, B-030",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",Rare/complex disease,rare disease delay,Unfamiliar conditions hide under common symptoms.,"LAM pneumothorax, MG fatigue, POTS, endometriosis","B-002, B-021, B-029, B-032",2026-05-30
