source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S001,Research D — clinician-side pain points in identifying health issues early,AHRQ Diagnostic Safety and Quality,https://www.ahrq.gov/diagnostic-safety/index.html,federal agency program page,AHRQ,current page accessed 2026-05-30,2026-05-30,United States,all settings,high,Burden and diagnostic-safety framing; includes diagnostic errors across settings and annual US harm estimate.,01_sources/raw_sources/reports/s001_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S002,Research D — clinician-side pain points in identifying health issues early,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,consensus report,"National Academies of Sciences, Engineering, and Medicine",2015,2026-05-30,United States,all settings,high,Diagnosis framed as collaborative and patient-centered; health IT can help or hinder.,01_sources/raw_sources/reports/s002_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S003,Research D — clinician-side pain points in identifying health issues early,Core Elements of Hospital Diagnostic Excellence,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,federal framework,CDC,2026,2026-05-30,United States,hospital / acute care,high,"Framework for diagnostic-excellence programs, testing, communication, teamwork, monitoring.",01_sources/raw_sources/guidelines/s003_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S004,Research D — clinician-side pain points in identifying health issues early,Diagnostic Errors: Technical Series on Safer Primary Care,https://www.who.int/publications/i/item/9789241511636,technical document,WHO,2016,2026-05-30,Global,primary care,high,Global framing of diagnostic error in primary care as a patient-safety problem.,01_sources/raw_sources/guidelines/s004_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S005,Research D — clinician-side pain points in identifying health issues early,Information Overload and Missed Test Results in Electronic Health Record-Based Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,peer-reviewed survey,Singh et al.,2013,2026-05-30,United States,VA primary care,high,Alert overload and missed abnormal laboratory/imaging results among primary care practitioners.,01_sources/raw_sources/articles/s005_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S006,Research D — clinician-side pain points in identifying health issues early,Types and Origins of Diagnostic Errors in Primary Care Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,peer-reviewed study,Singh et al.,2013,2026-05-30,United States,primary care,high,"Reviewed diagnostic-error cases and breakdowns in history, exam, tests, referrals, tracking.",01_sources/raw_sources/articles/s006_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S007,Research D — clinician-side pain points in identifying health issues early,Time Pressure During Primary Care Office Visits,https://link.springer.com/article/10.1007/s11606-019-05343-6,peer-reviewed prospective analysis,Prasad et al.,2019,2026-05-30,United States,primary care,high,"Clinicians reported insufficient time, especially with complex patients and limited English proficiency.",01_sources/raw_sources/articles/s007_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S008,Research D — clinician-side pain points in identifying health issues early,Diagnostic uncertainty in real-world primary care consultations,https://link.springer.com/article/10.1186/s12875-024-02526-x,peer-reviewed qualitative study,Russell et al.,2024,2026-05-30,United Kingdom,general practice,medium-high,Safety-netting and uncertainty-management plans varied in specificity and responsibility.,01_sources/raw_sources/articles/s008_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S009,Research D — clinician-side pain points in identifying health issues early,Continuity of care: delayed diagnosis in GP practices,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,official safety investigation,HSSIB,2023,2026-05-30,England,general practice / ED / oncology,high,Repeated visits and continuity failures in delayed metastatic cancer diagnosis.,01_sources/raw_sources/reports/s009_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S010,Research D — clinician-side pain points in identifying health issues early,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,official safety investigation,HSSIB,2024,2026-05-30,England,general practice / online consultation,high,Digital intake and triage can lose patient history and force single-symptom routes.,01_sources/raw_sources/reports/s010_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S011,Research D — clinician-side pain points in identifying health issues early,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,official safety investigation,HSSIB,2025,2026-05-30,England,acute hospitals,high,Staff fatigue contributes directly and indirectly to patient harm but is not routinely captured.,01_sources/raw_sources/reports/s011_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S012,Research D — clinician-side pain points in identifying health issues early,Diagnostic Errors in the Emergency Department: A Systematic Review,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,systematic review,AHRQ / Newman-Toker et al.,2022,2026-05-30,Mostly United States,emergency department,high,High-risk ED conditions and atypical/subtle presentation patterns in serious diagnostic harm.,01_sources/raw_sources/reviews/s012_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S013,Research D — clinician-side pain points in identifying health issues early,AHRQ Report on Diagnostic Errors in the Emergency Department: The Wrong Answer to the Wrong Question,https://psnet.ahrq.gov/issue/ahrq-report-diagnostic-errors-emergency-department-wrong-answer-wrong-question,peer-reviewed commentary summary,Kelen et al. / PSNet,2023,2026-05-30,United States,emergency department,medium,Counterpoint emphasizing crowding/systemic causes of ED diagnostic safety problems.,01_sources/raw_sources/articles/s013_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S014,Research D — clinician-side pain points in identifying health issues early,It is the patient that suffers from poor communication: communication barriers during nurse handovers in Ghanaian hospitals,https://www.sciencedirect.com/science/article/pii/S266732152400091X,peer-reviewed qualitative study,unknown,2024,2026-05-30,Ghana,"referral hospitals: ED, ICU, wards, maternity",medium,"Nurse handover gaps linked to documentation, training, formal procedures, and communication barriers.",01_sources/raw_sources/articles/s014_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S015,Research D — clinician-side pain points in identifying health issues early,Assessments Under Pressure: Interviews With Triage Nurses in Emergency Care,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,peer-reviewed qualitative study,unknown,2025/2026,2026-05-30,United Kingdom,emergency department triage,medium,"Triage nurse decisions affected by training, experience, culture, and cognitive/emotional strain.",01_sources/raw_sources/articles/s015_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S016,Research D — clinician-side pain points in identifying health issues early,Closing the loop on diagnostic referrals,https://bmjopenquality.bmj.com/content/10/4/e001603,peer-reviewed systems-engineering analysis,unknown,2021,2026-05-30,United States,primary-specialty referrals,medium-high,Referral-loop failures and delays; redesign principles for closed-loop diagnostic referral.,01_sources/raw_sources/articles/s016_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S017,Research D — clinician-side pain points in identifying health issues early,Primary care-specialist communication gaps despite electronic health record diffusion,https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/,peer-reviewed survey,unknown,2022,2026-05-30,United States,primary / specialty care,medium-high,Communication gaps between PCPs and specialists remain despite EHR diffusion.,01_sources/raw_sources/articles/s017_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
S018,Research D — clinician-side pain points in identifying health issues early,EHR usability and abnormal test-result management simulation,https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/,JAMA Network Open quality-improvement simulation,unknown,2019,2026-05-30,United States,EHR test-result management,medium-high,Enhanced usability and longitudinal tracking reduced cognitive workload and improved abnormal-result management.,01_sources/raw_sources/articles/s018_source_summary.md,Raw source file was not downloaded; source summary file created from completed research notes.,2026-05-30
