fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F001,Real health-system patient flows for identifying health issues,S01,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.","Stage: nurse triage; action: Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",US / internationally used,emergency department,red flag missed; normal-test trap; incomplete history,high,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30
F002,Real health-system patient flows for identifying health issues,S02,High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Stage: first clinician assessment; imaging/lab interpretation; discharge; action: Systematic review estimated diagnostic error harms and common high-harm conditions.,US-focused evidence,emergency department,red flag missed; repeated visits ignored; no follow-up ownership,high,https://www.ncbi.nlm.nih.gov/books/NBK588197/,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30
F003,Real health-system patient flows for identifying health issues,S03,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Stage: arrival; registration; nurse triage; streaming; first clinician assessment; action: Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",England,emergency department,poor handoff; red flag missed; no follow-up ownership,high,https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30
F004,Real health-system patient flows for identifying health issues,S04,Operational queues can hide clinical risk before the patient is visible to the triage system.,"Stage: registration; initial assessment; vitals; action: Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",UK,emergency department,arrival; registration; red flag missed; poor handoff,high,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,Supports the black-zone concept of pre-triage waits.,2026-05-30
F005,Real health-system patient flows for identifying health issues,S05,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,Stage: arrival; intake; labs ordered; imaging ordered; lab interpretation; discharge/admission; action: Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,US,emergency department,documentation error; no one connected the dots; normal-test trap,medium,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30
F006,Real health-system patient flows for identifying health issues,S06,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Stage: arrival; intake form; triage; referral; action: Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.",England,urgent care / ED front door,digital access gap; incomplete history; red flag missed,medium,https://digital.nhs.uk/services/urgent-care-self-service-product,A current example of digital triage embedded in urgent/emergency care.,2026-05-30
F007,Real health-system patient flows for identifying health issues,S07,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.",Stage: arrival; first clinician assessment; labs ordered; imaging ordered; referral; follow-up; action: UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,England,urgent care,wrong specialty; poor handoff; no follow-up ownership,high,https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30
F008,Real health-system patient flows for identifying health issues,S08,The workflow depends on patients knowing when and how to report deterioration while waiting.,"Stage: arrival; vitals; first clinician assessment; discharge/referral; action: On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",England,urgent care,red flag missed; patient self-advocacy required,medium,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,Patient-facing description of the real UTC arrival process.,2026-05-30
F009,Real health-system patient flows for identifying health issues,S09,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Stage: vitals; nurse triage; first clinician assessment; action: Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",US,urgent care,normal-test trap; lab trend missed; documentation error,medium,https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,"Practical urgent-care policy source, not a population study.",2026-05-30
F010,Real health-system patient flows for identifying health issues,S10,Non-clinical intake staff may be the first safety barrier.,Stage: registration; intake form; nurse triage; action: Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,US,urgent care,red flag missed; incomplete history; poor handoff,medium,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,Shows how triage starts before formal clinician assessment.,2026-05-30
