entity,purpose,key_fields,example_evidence_refs,required_or_optional,privacy_safety_notes
PatientProfile,Core patient context without making diagnosis,"patient_id, language, communication preferences, accessibility needs, consent flags, cultural-safety preferences",E:S023/S024; C:Q017,"required, privacy-sensitive",Avoid inferred identity labels; patient-controlled visibility where possible
DiagnosticEpisode,Longitudinal unresolved-problem container,"episode_id, status, owner, open_questions, linked encounters/tests/referrals, closure reason",A:E020/E021; B:M-005/M-006; D:product_implications,core,Clinician-owned; explain clustering; audit merge/split/close
Encounter,Visit/contact record,"encounter_id, setting, arrival time, first handler, triage level, chief concern, disposition",A:flow_maps; D:triage findings,core,Separate acuity from diagnostic uncertainty
SymptomTimelineEvent,Patient or clinician symptom event,"symptom, onset, duration, severity, baseline change, function impact, location, triggers, red flags",B:patient voice; C:Q003; A:stage_data_matrix,core,Patient-reported provenance and timestamp required
PatientConcern,Patient voice protection,"verbatim_quote, main_fear, own_theory, what_matters_most, concern_status",C:Q001/Q018/Q019; D:Q004,core,Respectful display; original preserved but summarized for clinician
HighRiskHistory,Relevant prior/family history card,"prior cancer/condition, family history, surgeries, rare disease/genetic history, relevance tags",A:C020; C:C004/C005,core for complex/longitudinal,Relevance ranking; avoid permanent irrelevant alerts
MedicationAccessSignal,Medication and access as diagnostic context,"medication, last_taken, interruption reason, cost/transport/device barriers, support referral",B:B-013; E:low-resource risks,optional/sensitive,Neutral wording; do not blame patient
ClinicalObservation,Vitals/exam/triage observation,"vitals, abnormal flags, physical exam limitation, visible distress, triage notes",A:S01/S09/S10; B:B-006,core in acute settings,Capture true arrival and reassessment timestamps
TestOrder,Diagnostic test intent and status,"test, indication, ordered_by, expected_result_time, pending_at_discharge, availability/provenance",A:S19; B:pending test cases,core,Link to result ownership ledger
TestResult,Result value with scope/provenance,"result_id, value/finding, abnormality, criticality, date, source lab/radiology, test limitations",D:E001; C:C010/C011,core,Distinguish normal result from symptom resolution
ResultTask,Closed-loop result ownership,"owner, due_date, acknowledged, action_taken, patient_notified, escalation, closure",D:M002-M004; B:M-004,core safety,Read receipt is not closure
ReferralTask,Referral state machine,"requested_service, reason, triage status, missing_info, booked, attended, report_returned, barriers",D:M008; A:e-RS flows; C:C006/C015,core safety,Do not mark complete until report/next step returned
DischargePlan,Unresolved/pending items at discharge,"pending_tests, red_flags, return_instructions, follow_up_owner, appointment, patient_understanding",B:pending-test contract; C:S010,core in ED/inpatient,Emergency instructions separate from portal messages
FollowUpCheckIn,Symptom persistence after visit/test,"check_in_date, symptoms_resolved, worse/new red flags, patient_response, escalation_status",A:S18; C:Q003,core for safety-net episodes,Use targeted cadence to avoid fatigue
VisitSummaryCorrection,Patient correction/clarification workflow,"summary_id, patient_comment, urgency, clinician_response, status",C:diagnosis-status clarity,optional/high-value,Avoid adversarial framing; triage urgent concerns
LanguageInterpreterEvent,Interpreter/cultural-safety execution,"requested_language, interpreter_provided, mode, translated_materials, issues",E:S023/S024/S027,required in multilingual settings,"Track provision, not just preference"
ResourceAvailability,Local diagnostic capability,"facility, test/supply availability, stockout, fallback plan, timestamp, manager escalation",D:M009/M010; B:M-012,region-specific,Non-punitive infrastructure reporting
CHWReferral,Community/informal first-contact record,"CHW/provider, danger signs, referral reason, facility, attendance, counter-referral, supervision",E:S012/S021; A:S38/S43,region-specific,Scope-of-practice and supervision required
AuditAndSafetyOutcome,Safety monitoring,"alert_shown, override, closure, false_positive/negative review, diagnostic outcome, patient-reported trust",all packages safety notes,core for deployment,"Monitor harm, bias, alert burden, and missed cases"
