analysis_id,area,verdict,note,source_file,date_packaged
WBA001,Longitudinal memory — Principle 5,Confirmed,Research B/C/D all independently document that temporal disconnection is the direct cause of harm.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA002,Context Is Everything — Principle 3,Confirmed,The normal-test trap is the most recurring failure mode across all 5 packages. Decontextualized results cause documented diagnostic harm.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA003,M22 Concern Tracker,Confirmed,Research C: 'simply receiving/viewing/filing a result is not enough.' Ownership vacuum is the #1 finding.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA004,doctor-summary feature,Confirmed,Research D's list of what clinicians need earlier reads almost as a feature spec.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA005,User Narrative Primacy — Principle 11,Confirmed,"Research C: patient language ('dismissed', 'still no idea') maps to concrete process failures. Patient voice is diagnostic signal.",wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA006,M14 Missing Data Detection,Confirmed,Research B identifies 'what the test cannot rule out' as a critical surfacing failure — validated across all five packages.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA007,investigation-triage flow,Needs Extension,"Good for pre-visit. Research A+B show the black zone is post-encounter: pending results lost, safety-net forgotten, referrals vanished.",wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA008,Pattern Detection — M11,Needs Extension,"Correlation detection validated but insufficient. Research demands typed diagnostic episodes with resolution state, not just surfaced signals.",wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA009,Patient data → changed clinical outcomes,Challenged,Research C: patient voice is systematically overridden by clinical authority even when correct. A better-structured summary fed to a dismissive clinician doesn't change the dismissal dynamic.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA010,Compounding Intelligence timeline,Challenged,Month 12 / Year 3 power assumes sustained engagement. Consumer health apps rarely achieve this without strong re-engagement mechanisms.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA011,Closed-loop result ownership,Critical Gap,Not in 33 modules. Research B: 9 case rows. Research F: strongly supported (LI-004). Every stream converges here.,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA012,Diagnostic Episode as persistent entity,Critical Gap,"Pattern detection finds correlations; it doesn't maintain a thread accumulating across visits, tests, referrals with open/closed resolution status.",wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA013,Full referral lifecycle tracking,Critical Gap,"doctor-discovery treats referral as a single event. Research A + Research F (LI-005) show it's 6+ steps, each a failure point.",wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA014,Post-encounter continuity layer,Opportunity,Research A+B converge: most failures happen after the first encounter. Research F confirms (LI-009: pending-test discharge contract).,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA015,Pre-consultation intake (B2B2C),Opportunity,Research D implies WellBe could be the structured pre-visit intake layer sold to practices. Research F: rich patient intake timeline (LI-002).,wellbe-research-synthesis.canvas.tsx,2026-05-30
WBA016,Patient-held record for fragmented systems,Opportunity,Research E + Research F (LI-019): patient-held records work across system types where formal records don't travel.,wellbe-research-synthesis.canvas.tsx,2026-05-30
