black_zone_id,black_zone_name,patient_stage,what_gets_lost,supporting_package_filenames,supporting_evidence_ids,proposed_feature_or_control,risk_level,safety_guardrail,notes,date_packaged,research_topic
BZ001,"Access barriers, informal/private care, persistent symptoms or high-risk history never enter stable diagnostic pathway.",Before visit,"Access barriers, informal/private care, persistent symptoms or high-risk history never enter stable diagnostic pathway.",unknown,Access; Before; C004; C005; C006; CHW; SMS,Patient-held record import; access-barrier fields; CHW/informal referral capture; incomplete-workup registry.,varies by implementation,Provenance labels; offline/SMS/paper mode; clinician verification.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ002,"Repeat visit, family history, referral note or deterioration not visible before triage.",Arrival / registration,"Repeat visit, family history, referral note or deterioration not visible before triage.",unknown,Arrival; Avoid; C008; Repeat,Front-door repeat-visit banner; referral-note visibility; arrival-to-assessment timer; family/caregiver concern field.,varies by implementation,Avoid algorithmic downgrades; registration escalation button.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ003,"Single-symptom routing loses complexity, prior cancer/high-risk history, or patient meaning.",Intake form / digital triage,"Single-symptom routing loses complexity, prior cancer/high-risk history, or patient meaning.",unknown,Accessibility; C002; E006; E007; Q005; Single,"Hybrid intake: multi-symptom, free text, prior-history auto-pull, “not captured” and human-review escape hatch.",varies by implementation,Accessibility/language fallback; emergency warning; human override.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ004,"Abnormal vitals, repeat visits and red flags lose salience under cognitive strain.",Nurse triage / vitals,"Abnormal vitals, repeat visits and red flags lose salience under cognitive strain.",unknown,Abnormal; B-006; B-016; E010; Q010; Support,"Triage co-pilot, repeat-vital timers, deterioration check-in, acuity plus diagnostic-uncertainty view.",varies by implementation,Support nurse judgment; calibrated timers; monitor over-alerting.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ005,First plausible diagnosis or mental-health/age/gender label closes inquiry.,First clinician assessment,First plausible diagnosis or mental-health/age/gender label closes inquiry.,unknown,B-003; B-020; B-021; B-024; Diagnostic; Do; E017; E018; Q009; Q010; Q014,"Diagnostic time-out: dangerous-to-miss alternatives, bias/misattribution guardrail, patient quote visible.",varies by implementation,Do not accuse; require clinician-reviewed red-flag check only when signals are discordant.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ006,"Family history, medication access, patient’s own theory, functional impact and prior test context are not integrated.",Medical history,"Family history, medication access, patient’s own theory, functional impact and prior test context are not integrated.",unknown,B-013; B-023; B-031; C005; E003; Risk; Sensitive,Risk-context checklist and structured timeline with patient/caregiver input.,varies by implementation,Sensitive-data controls and nonjudgmental wording.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ007,Time-sensitive exams absent or delayed; telehealth gap hides required in-person exam.,Physical exam,Time-sensitive exams absent or delayed; telehealth gap hides required in-person exam.,unknown,Clinician; Complaint; S033; S14,Complaint-linked exam checklist; telehealth-to-in-person conversion criteria; timer for torsion/appendicitis-like pathways.,varies by implementation,Clinician override; avoid rigid protocols.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ008,"Wrong test, no test, stockout, or wrong imaging scope.",Labs / imaging ordered,"Wrong test, no test, stockout, or wrong imaging scope.",unknown,B-004; B-026; B-027; Do; E020,Order-set suggestions; imaging-scope warning; unavailable-test alternate plan; resource availability capture.,varies by implementation,Do not force testing; adapt to local resources.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ009,"Abnormal result exists but is not communicated, acknowledged or acted on.",Lab / imaging interpretation,"Abnormal result exists but is not communicated, acknowledged or acted on.",unknown,Abnormal; B-008; B-011; B-012; B-017; B-018; C010; C011; E001; E015; Result; Risk,"Result/finding lifecycle tracker, owner/deadline, critical semantics, patient notification status.",varies by implementation,Risk-ranked worklist and backup owner; explanation path for patient release.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
BZ010,"Uncertainty, pending tests and unresolved symptoms disappear from patient plan.",Diagnosis discussion / discharge,"Uncertainty, pending tests and unresolved symptoms disappear from patient plan.",unknown,Avoid; C003; Concern; Diagnosis; E004; Q003,Concern-by-concern closure; “what remains unexplained”; pending-test contract; specific safety-net.,varies by implementation,Avoid panic; plain language and clear contact routes.,Generated from black-zone map,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
