fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S029,"Patient complaints can reveal diagnosis-related safety concerns including return visits, interpersonal issues, and diagnostic testing problems.",AHRQ PSNet summary of BMJ Quality & Safety complaint-analysis study.,United States / general,complaint review / diagnostic safety,complaint mining,high,https://psnet.ahrq.gov/issue/use-patient-complaints-identify-diagnosis-related-safety-concerns-mixed-method-evaluation,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S011,"HSSIB found delayed diagnosis risk in GP practices can involve repeated contacts, continuity gaps, and IT limitations.",Brian case and national investigation on continuity of care.,"England, UK","GP, out-of-hours, ED",continuity failure,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S015,HDC guidance emphasizes responsibility for follow-up of abnormal test results and patient communication.,Follow-up of test results article.,New Zealand,primary and secondary care,result follow-up,high,https://www.hdc.org.nz/news-resources/search-resources/articles/follow-up-of-test-results/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S036,"Martha’s Rule creates a rapid review route when patients, families, or carers feel deterioration concerns are not being answered.",NHS England current patient safety initiative.,"England, UK",inpatient acute care,patient/family escalation,high,https://www.england.nhs.uk/patient-safety/marthas-rule/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S031,Emergency departments are a recognized setting for diagnostic error and delayed/missed diagnosis research.,AHRQ/NCBI systematic review on ED diagnostic errors.,US / international evidence base,emergency department,diagnostic error,high,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S032,Symptom invalidation in difficult-to-diagnose chronic conditions can cause lasting psychological and care-seeking harms.,Rutgers Health summary of review of qualitative studies.,international,chronic/difficult-to-diagnose conditions,invalidation harm,high,https://rutgershealth.org/news/when-doctors-dismiss-symptoms-patients-suffer-lasting-harm,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S024,Bowel Cancer UK reports repeated GP visits and family-history gaps among younger bowel-cancer diagnostic experiences.,Never Too Young campaign page.,UK,primary care/referral,younger bowel cancer delay,medium,https://www.bowelcanceruk.org.uk/campaigning/never-too-young/never-too-young-the-campaign/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S028,"South India cancer-delay study identified patient, family, practitioner, and system-level delay factors including access and referral barriers.",Peer-reviewed qualitative study in Bengaluru.,"Bengaluru, South India",cancer help-seeking/referral,cancer diagnostic delay,high,https://link.springer.com/article/10.1007/s40847-022-00221-0,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S033,Virtual care diagnostic safety depends on recognizing physical examination limitations and ensuring in-person alternatives.,AHRQ PSNet case review.,United States,telehealth,telehealth limitation,high,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-setting-virtual-care-remembering-physical-examination,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
F010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S013,A positive prostate cancer histology result was not actioned for about six months due to shared-system understanding gaps.,HDC decision.,New Zealand,secondary hospital / shared system,abnormal result not followed up,high,https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/,Fact extracted from completed research summary; verify original source for exact wording.,2026-05-30
