Insight ID,Insight,Status,Evidence refs,Why it matters,Open questions / cautions,Next evidence needed
LI-001,Diagnostic episode layer / unresolved-problem tracker,strongly supported,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::04_topic_outputs/diagrams_or_flows/flow_maps.csv::FM09; S20; S21; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::04_topic_outputs/other_outputs/product_opportunities.csv::Longitudinal diagnostic signal accumulator; B-001/B-009/B-014/B-020/B-021; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C008; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001,"Repeated visits, tests, referrals, messages and persistent symptoms are treated as separate encounters instead of one unresolved diagnostic thread.","Creates noisy clusters or false reassurance if an issue is marked resolved too early. Guardrail: Every issue has status, owner, next action, uncertainty statement, and manual clinician override; monitor false positives and missed escalations.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-002,Rich patient intake timeline with change-from-baseline,strongly supported,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; 02_extracted_evidence/evidence_items.csv::E011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003/E006/E007; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001/C002/C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-002/B-023,"Current intake often captures a chief complaint but loses timeline, functional impact, patient fear, prior failed contacts, and what changed from normal.","Long intake creates burden, excludes low-literacy users, or overweights patient self-diagnosis. Guardrail: Adaptive short form; plain language; translation and caregiver mode; separate patient narrative from clinician assessment; emergency escalation language.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-003,Repeat-visit diagnostic reset trigger,strongly supported,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Repeat-visit diagnostic reset; B-006/B-010/B-028/B-030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM09; 02_extracted_evidence/cases_or_examples.csv::C002/C009; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::cases_or_examples.csv::C003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C001,Return visits for the same or worsening complaint are handled as fresh visits rather than safety signals.,Alert fatigue or punitive framing toward appropriate return visits. Guardrail: Trigger only on meaningful persistence/worsening/repeat count; present as diagnostic reset support; require clinician acknowledgment and override rationale.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-004,Closed-loop abnormal result ownership ledger,strongly supported,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E015; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Closed-loop abnormal result ownership; B-011/B-012/B-015/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; sources S013/S014/S035; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; sources S19/S24/S25; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C002,"Abnormal lab, imaging, microbiology or histology results can be seen, filed, or lost without clear action, patient notification, or accountable owner.",More alerts without ownership; patients receive alarming results without interpretation. Guardrail: Risk-ranked worklist; escalation by criticality; backup owner; patient notification only with pathway to explanation; audit overdue closures.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-005,Referral completion and transparency tracker,strongly supported,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11; sources S27/S28/S29; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C006/C016; reviews R007/R008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C005/C006; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-005/B-029/B-032,"Referral placement is confused with completed specialty assessment; rejection, advice-only, wrong specialty, missing information, scheduling failure, and non-attendance are invisible.","Status labels are ambiguous or patients interpret pathway absence as diagnostic exclusion. Guardrail: Separate “no pathway”, “more info needed”, “wrong service”, “clinical advice only”, and “diagnosis ruled out”; require follow-up owner for advice-only outcomes.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-006,Normal-test trap explainer and persistent-symptom safety net,strongly supported,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Normal-test trap explainer; B-001/B-003/B-004/B-016; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C003/C007; quote Q003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::normal-test trap; flow FM09; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::pair normal test results with symptom status,"Normal or old tests can close an encounter even when symptoms remain severe, persistent, anatomically discordant, episodic, or outside the test’s scope.",May promote overtesting or patient anxiety if phrased as “test missed something.” Guardrail: Use uncertainty language; show what remains unexplained; avoid automatic diagnosis; tie next steps to clinician-reviewed safety net.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-007,Patient voice protection: verbatim concern + correction path,strongly supported,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q001/Q003/Q004/Q018/Q019/Q020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::quotes.csv::Q001/Q002/Q003/Q004; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::quotes.csv::Q-001/Q-004/Q-005/Q-007; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::quotes.csv::Q001/Q004,"Patients report that histories are cut off, symptoms are minimized, and what matters to them is not documented in a way that survives the visit.",Could escalate conflict or turn patient language into stigmatizing chart labels. Guardrail: Separate patient voice from clinical assessment; respectful language normalization; patient-visible summary corrections; no automated accusation of dismissal.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-008,Concern-by-concern visit closure,supported by some evidence,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; quote Q002; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::specific safety-netting and follow-up,Multi-issue visits can close one symptom while leaving other patient-listed concerns unresolved without visible disposition.,Adds documentation burden or gives false sense all issues can be solved in one visit. Guardrail: Allow “deferred with plan” disposition; keep closure concise; prioritize safety-critical unresolved concerns.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-009,Doctor-facing concise timeline and red-flag summary,strongly supported,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015/E016/E021; quotes Q002/Q011; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures earlier than structured records,"Clinicians need context quickly but EHR notes, messages, repeated encounters, and copied-forward content bury relevant signals.","Summarization hides nuance or introduces errors; clinicians over-trust the summary. Guardrail: Show source links, timestamps, uncertainty, and missing data; user can expand raw notes/results; flag generated summary as support only.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-010,"Missing-data checklist for family history, medication access and prior tests",supported by some evidence,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-013/B-023/B-031; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::ask what happened before current visit,"Family history, medication interruption, prior testing, out-of-system diagnoses, and patient/caregiver concern are treated as background rather than active diagnostic signal.",Sensitive financial/family data may be incomplete or privacy-risky. Guardrail: Use optional patient-controlled disclosure; privacy notices; clinician confirms before action; do not infer blame from non-adherence.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-011,Triage red-flag co-pilot with reassessment timers,strongly supported,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM01/FM02/FM04; sources S01/S03/S04/S09/S10; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E010; quote Q010; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::nurse triage/vitals; B-006/B-016; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009,"Arrival, registration and triage sort urgency under pressure; red flags, worsening while waiting, and abnormal vitals can lose salience.","Over-alerting nurses, deskilling triage, or unsafe algorithmic downgrades. Guardrail: Support not replace nurse judgment; make timers actionable; require human reassessment; audit overrides and missed deteriorations.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
