feature_id,feature_name,phase,primary_user,secondary_users,problem_solved,v1_mapping,research_refs,data_needed,evidence_strength,risk_level,complexity,expected_value,safety_guardrail,status
WB2-F001,Health Thread core,MVP,patient,caregiver; clinician via user-shared packet,"Symptoms, visits, tests and questions are scattered instead of one unresolved concern.",M22 Concern Tracker; M09 Graph; timeline,Research F PI001/F001; SHM Health Thread; KFC001,symptom episodes; dates; linked documents; results; referrals; user notes; thread status,strong,high,high,very high,Show why items are linked; allow unlink/correction; never infer diagnosis as final.,core build
WB2-F002,Story Memory intake,MVP,patient,caregiver,"Patient concern, fear, timeline, and daily impact are lost in short visits or single-symptom forms.",symptom-logging; onboarding; M22,Research F PI002/PI007; Research C key findings; SHM M001,own words; main concern; what changed; onset; severity; function; fear; own theory; caregiver view,strong,medium,medium,high,Separate patient words from clinical facts; adaptive form; low-literacy and translation modes.,core build
WB2-F003,Baseline change and function impact capture,MVP,patient,clinician via summary,Clinical records often miss 'what changed from normal for me'.,M10 Baseline & Anomaly; symptom-logging,Research F PI002; WellBe Context Is Everything; SHM Story Memory,baseline statements; functional limits; prior ability; trend dates; optional wearable metrics,strong,medium,medium,high,Avoid overinterpreting subjective change; label as patient-reported unless verified.,core build
WB2-F004,Evidence traceability layer 2.0,MVP,patient,clinician; caregiver,AI summaries lose trust when they cannot show sources.,M16 Evidence Ranking; M26 Context Integrity; smart-indexing,WellBe non-negotiable 2/3; SHM FEAT005; Research F safety principles,source links; event IDs; timestamps; author/source type; confidence; evidence quality,strong,medium,medium,very high,Every generated claim must be source-linked or marked unknown/unsupported.,core build
WB2-F005,Health Thread timeline and evidence graph,MVP,patient,clinician via packet,"People cannot easily show the sequence of symptoms, tests, visits and changes.",timeline; graph-explorer; health-graph-core,Research F PI001/PI009; Research A patterns; WellBe M09,events; thread links; source refs; stage; confidence; evidence quality,strong,medium,medium-high,high,Default to chronological fact display; separate inferred relationships from raw events.,core build
WB2-F006,Normal-test safety net,MVP,patient,clinician via packet,Normal results are treated as closure while symptoms persist.,M14 Missing Data; M16; Safety Engine,Research F PI006; Research B normal-test trap; Research C patterns; KFC003,test result; date; scope/body area; symptoms at time; current symptom status; follow-up plan,strong,high,medium,very high,"Use uncertainty language; explain limitations only generally; recommend clinician discussion, not diagnosis.",core build
WB2-F007,Personal pending result tracker,MVP,patient,caregiver,"Users do not know what test is pending, when to expect it, or whom to contact.",M22; document-upload; medical-institution-integration,Research F PI004/PI016; SHM F010/F011; KFC004,order date; test name; expected date; result status; source; user-designated contact; closure status,strong,high,medium-high,very high,"If owner/contact unknown, mark unknown; do not alarm without explanation path; urgent results use emergency-safe language.",core build
WB2-F008,Referral lifecycle tracker,MVP,patient,caregiver; clinician via packet,Referral placed is confused with referral completed.,doctor-discovery; medical-institution-integration; M22,Research F PI005; Research E high-confidence findings; KFC004,request; specialty; clinical question; attachments; status; appointment; attendance; response; next action,strong,high,medium-high,very high,"Use clear status taxonomy: requested, sent, accepted, returned, scheduled, completed, advice-only, next owner unknown.",core build
WB2-F009,Post-visit plan checker,MVP,patient,caregiver,"Uncertainty, pending tests, unresolved symptoms and return precautions disappear after the visit.",investigation-triage; M22,Research F PI008/PI016; patient-flow post-encounter black zone; TSX blackzone,visit summary; concerns; disposition; pending tests; follow-up instructions; safety net; user comprehension,strong/some,medium-high,medium,high,User checklist does not alter clinical record; correction requests go into user memory/share packet.,core build
WB2-F010,Patient correction loop,MVP,patient,caregiver; clinician if shared,"Wrong, missing, or unaddressed concerns persist and compound.",M26 Context Integrity; M22; doctor-summary,Research F PI007; SHM F005; OpenNotes/OurDX facts in SHM,correction text; target event/summary; reason; status; share flag; audit trail,strong,medium,medium,high,Corrections do not overwrite clinical facts; preserve as patient correction with provenance.,core build
WB2-F011,User-controlled clinician visit packet,MVP,patient,doctor; nurse; specialist,"Clinicians need concise relevant history earlier, but cannot read a giant notebook.",doctor-summary; timeline; M16; M26,Research F PI009; Research D clinician needs; KFC005,thread summary; patient words; timeline; results/referrals; unresolved items; source links; missing data,strong,high,medium-high,very high,User chooses share scope; one-page default; source links; uncertainty label; no direct diagnosis claim.,core build
WB2-F012,Repeat-visit and persistence view,Near-term,patient,clinician via packet,Return visits are treated as isolated rather than one unresolved issue.,M11/M12; timeline; M22,Research F PI003; SHM FEAT007; Research B repeated visits ignored,encounter dates; symptoms; dispositions; similarity score; worsening markers; current status,strong,high,medium,high,Frame as 'this has persisted' not 'doctor missed'; threshold meaningful repeat/worsening.,near-term
