quote_id,research_topic,source_id,quote_text_short,quote_context,speaker_type,country_or_region,setting_or_context,topic_category,pain_point_or_theme,why_it_matters,source_url_or_identifier,evidence_quality,notes,date_packaged
Q001,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S001,I felt completely dismissed and silenced.,Patient described doctor cutting off symptom history and demanding yes/no answers.,patient,UK,hospital / acute assessment,dismissal during assessment,doctor did not listen,Shows patient narrative may be suppressed at the first clinician assessment.,https://www.careopinion.org.uk/1429947,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q002,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S002,They decided to only treat the acid reflux.,Autistic patient brought advocate and list of priorities; only reflux addressed.,patient,UK,primary care,one-symptom focus,fragmented care,Shows agenda-setting and multi-issue visit closure problem.,https://www.careopinion.org.uk/1258944,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q003,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S003,Still in severe pain and still have no idea.,Patient discharged from ED after bloods and X-ray interpreted as reassuring.,patient,"Scotland, UK",emergency department,normal-test trap,unexplained severe symptom,Shows discharge without explanation or unresolved problem plan.,https://www.careopinion.org.uk/1117906,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q004,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S004,No one listened to us.,Relative reported severe back pain after bowel cancer dismissed across services.,family member,"England, UK","A&E, GP, ambulance/111",prior cancer red flag missed,family concern ignored,Shows repeated presentations and caregiver concern not integrated.,https://www.careopinion.org.uk/1349233,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q005,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S005,Refused to listen properly.,Parent said initial CAMHS psychiatrist dismissed family input and genetics/family history.,family member,"Scotland, UK",CAMHS / adolescent mental health,family history ignored,mental-health diagnostic delay,Shows caregiver and family-history signals can be excluded.,https://www.careopinion.org.uk/176152,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q006,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S006,Not even meeting me.,Patient said psychiatrist declined ADHD assessment without patient encounter.,patient,"Scotland, UK",referral triage,referral rejection,unknown,Shows administrative triage can feel like unsupported diagnosis.,https://www.careopinion.org.uk/1167674,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q007,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S007,No one had told me initially.,Patient found diagnostic language in portal and felt letters framed things inconsistently.,patient,"England, UK",documentation / portal,documentation ambiguity,unknown,Shows patient-facing records can confuse diagnosis status.,https://www.careopinion.org.uk/1378025,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q008,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S008,He should have been in hospital.,Family quote/context from PHSO PE case where man was discharged and died.,family member,"England, UK",out-of-hours GP / ED,unsafe discharge,unknown,Shows discordance between clinical signs and discharge decision.,https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,high,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q009,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S018,Too many women worry about endometriosis.,Patient recalled specialist comment during endometriosis referral review.,clinician as reported by patient,UK,specialist gynecology,gendered dismissal,unknown,Shows concern about endometriosis can be minimized.,https://www.endometriosis-uk.org/tayas-story,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q010,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S019,Normal part of womanhood.,Patient said severe adolescent symptoms were normalized.,clinician as reported by patient,UK,primary care,normalization of symptoms,unknown,Shows severe function-impacting symptoms may be reframed as normal.,https://www.endometriosis-uk.org/orlas-story,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
