source_id,title,url,source_type,author_or_org,publication_date,access_date,country_or_region,topic_area,key_fact,evidence_quality,notes
S001,The Brain-Gut Connection,https://www.hopkinsmedicine.org/health/wellness-and-prevention/the-brain-gut-connection,medical education page,Johns Hopkins Medicine,unknown,2026-05-30,United States,biological meaning of second brain,"In medicine, second brain commonly refers to the enteric nervous system in the gut, not a product concept.",medium,Used only to distinguish biological term from product framing.
S002,Building a Second Brain overview,https://fortelabs.com/blog/basboverview/,framework/blog,Forte Labs,unknown,2026-05-30,United States/global,personal knowledge management,"The second-brain product concept is commonly framed around capture, organization, distillation, and later use/expression of knowledge.",low,Not medical evidence; used to compare generic second-brain framing with medical adaptation.
S003,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,major diagnostic safety report,"National Academies of Sciences, Engineering, and Medicine",2015,2026-05-30,United States,diagnostic error and diagnostic process,"Diagnosis is a collaborative process involving patients, families, clinicians, and health systems; diagnostic error is often system-related, not only individual clinician error.",high,"Core support for collaborative memory, workflow, monitoring, and feedback."
S004,Patient-Centered Digital Health Records and Their Effects on Health Outcomes: Systematic Review,https://www.jmir.org/2022/12/e43086,systematic review,Journal of Medical Internet Research,2022,2026-05-30,multiple/global,patient-centered digital health records,"Patient-centered digital records may improve engagement, self-management, knowledge, adherence, and some outcomes, but stronger evidence is still needed.",high,"Supports records access and patient engagement, but not passive portal-only design."
S005,OpenNotes Patient Safety Toolkit,https://www.opennotes.org/patient-safety-toolkit/,patient safety toolkit,OpenNotes,unknown,2026-05-30,United States/global,shared notes and patient safety,Shared notes can support patient safety by improving transparency and enabling patients to identify errors or gaps.,medium,Used for patient correction loop and patient voice protection.
S006,Association of patient portal access to notes with loop closure in primary care,https://academic.oup.com/jamia/article-abstract/31/3/622/7504885,observational study,Journal of the American Medical Informatics Association,2024,2026-05-30,United States,test/referral loop closure and patient portal note access,"Portal registration and reading notes were associated with higher odds of test/referral loop closure, but safety gaps remained.",medium,Supports follow-up loop tracking and patient access to notes.
S007,OurNotes: Patients and Clinicians Creating Notes Together,https://www.jmir.org/2021/11/e29951,implementation study,Journal of Medical Internet Research,2021,2026-05-30,United States,patient co-generated visit notes,Patients can contribute previsit interval history and agendas to notes through portals.,medium,Supports patient story memory and previsit Health Thread updates.
S008,OurDX: Patient and family contributions to diagnostic safety,https://pmc.ncbi.nlm.nih.gov/articles/PMC10879445/,peer-reviewed article,PMC / authors of OurDX study,2024,2026-05-30,United States,patient/family diagnostic safety contributions,"Patient and family previsit contributions can reveal diagnostic-process risks including repeated visits, access barriers, test/referral problems, care coordination issues, and communication breakdowns.",high,Strong direct support for Shared Health Memory.
S009,High quality patient records,https://www.england.nhs.uk/long-read/high-quality-patient-records/,health-system guidance,NHS England,unknown,2026-05-30,England,problem lists and longitudinal records,"Problem lists can summarize past and present conditions and GP records can become longitudinal records, but problem-list quality varies and requires curation.",high,Supports Health Threads as an improved problem-memory layer.
S010,Closing the loop in test result communication,https://link.springer.com/article/10.1186/s12913-020-05737-x,review,BMC Health Services Research,2020,2026-05-30,multiple/global,test result follow-up and closed-loop communication,"Technology can help close communication loops, but responsibility, communication, and streamlined processes are essential.",high,Core support for responsibility memory and pending-result ownership.
S011,Missed imaging follow-up and diagnostic delay,https://bmjopenquality.bmj.com/content/12/3/e002334,quality improvement / diagnostic safety article,BMJ Open Quality,2023,2026-05-30,United States/health system specific,missed imaging follow-up,Failures to order or follow up diagnostic testing can contribute to diagnostic error and delay.,medium,Supports black-zone tracking for imaging follow-up.
S012,Abnormal laboratory result follow-up program,https://academic.oup.com/jalm/article/10/5/1362/8154383,clinical laboratory medicine article,Journal of Applied Laboratory Medicine,2025,2026-05-30,United States,abnormal lab follow-up,Failure to follow up lab tests is common; practical methods to reduce harm remain sparse.,medium,Supports abnormal-result ownership and follow-up tools.
S013,Integrating patient-generated health data into EHRs: scoping review,https://academic.oup.com/jamiaopen/article/3/4/619/5999185,scoping review,JAMIA Open,2020,2026-05-30,multiple/global,patient-generated health data integration,Integrating patient-generated health data into EHRs is important if clinicians are to use such data effectively.,high,Supports selective ingestion and workflow integration.
S014,Clinical responsibilities and patient-generated health data,https://www.nature.com/articles/s41746-025-01680-5,digital medicine article,npj Digital Medicine / Nature Portfolio,2025,2026-05-30,United States/health systems,patient-generated health data responsibilities,"Clinicians need clear expectations, staffing models, workflows, escalation pathways, and clarity that some patient-generated data is not monitored in real time; trend views are preferred over isolated readings.",high,Core safety support for avoiding raw data dumping.
S015,Electronic patient record systems thematic review,https://www.hssib.org.uk/patient-safety-investigations/electronic-patient-record-epr-systems-thematic-review/investigation-report/,patient safety investigation report,Health Services Safety Investigations Body,2025,2026-05-30,United Kingdom,EPR safety and health IT risk,"Electronic patient record systems can improve care but can also contribute to patient safety incidents, missed care, delayed care, or incorrect care if poorly configured or implemented.",high,Supports careful governance and workflow testing.
S016,Digital clinical safety assurance,https://www.england.nhs.uk/long-read/digital-clinical-safety-assurance/,clinical safety guidance,NHS England,unknown,2026-05-30,England,clinical safety assurance,"Digital clinical safety assurance requires clinical risk management, hazard analysis, mitigation, documentation, and clinical safety accountability.",high,"Supports clinical safety case, governance, and clinician review requirements."
S017,Clinical Decision Support Software guidance,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-decision-support-software,regulatory guidance,U.S. Food and Drug Administration,2022,2026-05-30,United States,clinical decision support regulation,"Some CDS functions may be excluded from device regulation, while software functions meeting device definitions remain subject to digital health policies; patient/caregiver-facing functions require careful consideration.",high,Supports avoiding autonomous diagnosis and designing for transparency.
