feature_id,feature_name,user,problem_solved,implementation_phase,risk_level,complexity,expected_value,supporting_source_ids,evidence_strength_or_status,date_packaged,research_topic
FEAT001,Health Thread intake,Patient,"Capture unresolved concern, timeline, baseline change, daily impact, prior care, and main fear.",MVP,low,medium,high,S007;S008,Supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT002,Clinician one-page Health Thread summary,Doctor/nurse,"Source-linked summary of story, timeline, tests, referrals, pending items, unresolved questions, and missing data.",MVP,medium,medium,high,S003;S008;S009;S014,Supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT003,Pending result and referral loop tracker,Patient/doctor/admin,"Tracks pending labs, imaging, referrals, owners, due dates, completion, and patient notification.",MVP,medium,high,high,S006;S010;S011;S012,Strongly supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT004,Patient correction loop,Patient/clinician,Lets patient mark missing/wrong/unaddressed information after visit; routes to review queue.,MVP,medium,medium,high,S005;S020,Supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT005,Evidence traceability layer,All users,"Every generated statement links to patient-entered, clinician-documented, lab, referral, or note source.",MVP,medium,medium,high,S016;S017;S018,Strongly supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT006,Trend over noise PGHD summarizer,Doctor/patient,Transforms patient-generated logs into trends and baseline changes with monitoring disclaimers.,Near-term,medium,high,medium-high,S013;S014,Supported with caution,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT007,Repeat-visit/unresolved-symptom escalation view,Doctor/nurse/admin,Shows recurring visits or symptoms still unresolved after normal tests or multiple encounters.,Near-term,medium,high,high,S003;S008;S009,Supported,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT008,Clinical decision memory module,Doctor,"Tracks what was considered, ruled out, uncertain, and what should trigger reassessment.",Later,high,high,high,S003;S016;S017,Caution,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT009,Cross-specialty pattern map,Specialist/doctor,Connects unresolved threads across specialties and institutions.,Later,high,very_high,medium-high,S003;S009;S015,Caution,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
FEAT010,Autonomous diagnosis or rare-disease prediction,Patient/doctor,System predicts hidden condition directly.,Avoid early,very_high,very_high,uncertain,S015;S016;S017,Unsafe or needs strict governance,2026-05-30,Shared Health Memory: a medical second-brain approach for unresolved health issues
