metric_id,research_topic,source_id,metric_name,metric_value,metric_unit,population_or_sample,country_or_region,setting_or_context,time_period,methodology_note,why_it_matters,source_url_or_identifier,evidence_quality,notes,date_packaged
M001,Research D — clinician-side pain points in identifying health issues early,S001,Annual death or permanent disability from disease misdiagnoses,795000,people per year,United States population,United States,all settings,current page accessed 2026-05-30,AHRQ burden estimate,Shows scale of diagnostic-safety problem.,https://www.ahrq.gov/diagnostic-safety/index.html,high,unknown,2026-05-30
M002,Research D — clinician-side pain points in identifying health issues early,S005,Median EHR alerts per day,63,alerts/day,VA primary care practitioners,United States,VA primary care,survey period unknown,Survey measure reported in completed research,Quantifies alert load on clinicians.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,high,unknown,2026-05-30
M003,Research D — clinician-side pain points in identifying health issues early,S005,Practitioners saying EHR notification system made it possible to miss test results,55.6,percent,VA primary care practitioners,United States,VA primary care,survey period unknown,Survey self-report,Shows clinician-perceived result-follow-up safety risk.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,high,unknown,2026-05-30
M004,Research D — clinician-side pain points in identifying health issues early,S005,Practitioners reporting personally missed abnormal lab/imaging results delaying care,29.8,percent,VA primary care practitioners,United States,VA primary care,past year,Survey self-report,Shows alert overload can translate into delayed care.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,high,unknown,2026-05-30
M005,Research D — clinician-side pain points in identifying health issues early,S007,Clinicians needing more time for new patients,67,percent,clinicians in 34 primary care practices,United States,primary care,study period unknown,Prospective clinician report,Quantifies time pressure in first assessments.,https://link.springer.com/article/10.1007/s11606-019-05343-6,high,unknown,2026-05-30
M006,Research D — clinician-side pain points in identifying health issues early,S007,Clinicians needing more time for follow-up visits,53,percent,clinicians in 34 primary care practices,United States,primary care,study period unknown,Prospective clinician report,Shows time pressure also affects follow-up.,https://link.springer.com/article/10.1007/s11606-019-05343-6,high,unknown,2026-05-30
M007,Research D — clinician-side pain points in identifying health issues early,S012,Serious ED misdiagnosis harms accounted for by top 15 conditions,68,percent,serious ED misdiagnosis-related harms,Mostly United States,emergency department,review period unknown,Systematic review synthesis,Shows harms concentrate in a manageable set of high-risk conditions.,https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/,high,unknown,2026-05-30
M008,Research D — clinician-side pain points in identifying health issues early,S016,Referral-loop failure-rate range cited,65-73,percent,diagnostic referrals / referral loops,United States,primary-specialty referrals,not specified in completed research,Cited in systems-engineering analysis,Shows referral completion/follow-up is a major diagnostic black zone.,https://bmjopenquality.bmj.com/content/10/4/e001603,medium-high,unknown,2026-05-30
M009,Research D — clinician-side pain points in identifying health issues early,S023,World population with little or no diagnostic access,47,percent,world population,Global / LMIC,diagnostic access,2021 source,Commission estimate cited in completed research,Shows low-resource diagnostic scarcity.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,high,unknown,2026-05-30
M010,Research D — clinician-side pain points in identifying health issues early,S023,Low/lower-middle-income population with access to basic diagnostics at primary-care level,19,percent,low/lower-middle-income populations,Global / LMIC,primary care,2021 source,Commission estimate cited in completed research,Shows basic diagnostics are often unavailable where first contact occurs.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,high,unknown,2026-05-30
